"Explorações, SAU e MB segundo a origem do rendimento do agregado doméstico do produtor",,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA,,Rendimento proveniente,,,,,,,,,,,,,,,
Nut III,,Exclusivamente da actividade da exploração            ,,,Principalmente da actividade da exploração           ,,,Principalmente de origem exterior à exploração,,,,,,,,,
Concelho,,Expl (nº),SAU (ha),MB (1000 esc),Expl (nº),SAU (ha),MB (1000 esc),Expl (nº),SAU (ha),MB (1000 esc),,,,,,,
ALENTEJO,,  3 406 ,  447 527 , 21 456 511 ,  7 769 ,  678 412 , 33 542 414 ,  23 270 ,  284 364 , 16 741 067 ,,,,,,,
Alentejo Litoral,,   736 ,  75 806 , 3 219 750 ,  1 782 ,  117 301 , 5 303 735 ,  2 950 ,  44 410 , 2 334 582 ,,,,,,,
,Alcácer do Sal,   121 ,  20 526 ,  690 172 ,   308 ,  33 913 , 1 461 583 ,   389 ,  7 973 ,  480 421 ,,,,,,,
,Grândola,   118 ,  11 947 ,  396 395 ,   336 ,  16 821 ,  798 472 ,   524 ,  7 362 ,  364 701 ,,,,,,,
,Odemira,   269 ,  21 363 , 1 003 933 ,   614 ,  37 850 , 1 598 816 ,   995 ,  12 008 ,  625 924 ,,,,,,,
,Santiago do Cacém,   199 ,  18 895 , 1 002 776 ,   408 ,  25 448 , 1 211 780 ,   974 ,  15 887 ,  807 986 ,,,,,,,
,Sines,   29 ,  3 075 ,  126 474 ,   116 ,  3 269 ,  233 084 ,   68 ,  1 180 ,  55 550 ,,,,,,,
Alto Alentejo,,   755 ,  99 470 , 4 290 776 ,  1 413 ,  145 949 , 6 045 662 ,  8 699 ,  70 972 , 4 858 477 ,,,,,,,
,Alter do Chão,   45 ,  9 436 ,  303 991 ,   41 ,  10 274 ,  302 821 ,   247 ,  4 306 ,  188 868 ,,,,,,,
,Arronches,   40 ,  7 529 ,  312 315 ,   76 ,  7 546 ,  241 857 ,   347 ,  3 282 ,  120 439 ,,,,,,,
,Avis,   48 ,  10 431 ,  475 794 ,   102 ,  12 727 ,  678 329 ,   287 ,  4 356 ,  215 579 ,,,,,,,
,Campo Maior,   51 ,  1 903 ,  213 672 ,   215 ,  8 497 ,  711 325 ,   385 ,  3 389 ,  190 352 ,,,,,,,
,Castelo de Vide,   24 ,  3 166 ,  99 883 ,   46 ,  9 091 ,  178 559 ,   228 ,  4 117 ,  199 952 ,,,,,,,
,Crato,   37 ,  6 596 ,  229 247 ,   94 ,  6 915 ,  265 809 ,   319 ,  3 752 ,  192 441 ,,,,,,,
,Elvas,   93 ,  12 425 ,  714 768 ,   199 ,  16 353 , 1 006 944 ,   475 ,  5 068 ,  389 293 ,,,,,,,
,Fronteira,   28 ,  4 361 ,  218 734 ,   76 ,  6 566 ,  465 512 ,   130 ,  2 138 ,  119 232 ,,,,,,,
,Gavião,   9 ,   276 ,  28 256 ,   24 ,   197 ,  44 699 ,   925 ,  3 458 ,  415 168 ,,,,,,,
,Marvão,   85 ,  3 869 ,  145 458 ,   42 ,  1 821 ,  53 441 ,   427 ,  3 144 ,  198 253 ,,,,,,,
,Monforte,   29 ,  7 090 ,  242 496 ,   55 ,  7 744 ,  277 992 ,   138 ,  4 181 ,  197 204 ,,,,,,,
,Mora,   35 ,  10 183 ,  282 980 ,   52 ,  17 374 ,  520 864 ,   415 ,  6 035 ,  351 169 ,,,,,,,
,Nisa,   47 ,  5 798 ,  155 218 ,   106 ,  9 718 ,  301 880 ,  1 235 ,  9 581 ,  459 420 ,,,,,,,
,Ponte de Sor,   67 ,  8 813 ,  456 707 ,   154 ,  23 413 ,  679 153 ,  1 772 ,  7 456 ,  905 267 ,,,,,,,
,Portalegre,   117 ,  7 594 ,  411 257 ,   131 ,  7 713 ,  316 477 ,  1 369 ,  6 709 ,  715 840 ,,,,,,,
Alentejo Central,,   669 ,  110 067 , 5 876 774 ,  1 628 ,  170 937 , 9 438 908 ,  6 342 ,  86 555 , 5 169 125 ,,,,,,,
,Alandroal,   78 ,  7 892 ,  365 838 ,   137 ,  11 288 ,  507 826 ,   662 ,  10 022 ,  348 310 ,,,,,,,
,Arraiolos,   52 ,  13 052 ,  594 835 ,   72 ,  14 185 ,  501 966 ,   242 ,  7 931 ,  363 532 ,,,,,,,
,Borba,   30 ,  1 362 ,  212 307 ,   88 ,  2 076 ,  398 986 ,   380 ,  1 518 ,  287 119 ,,,,,,,
,Estremoz,   74 ,  6 290 ,  481 610 ,   192 ,  11 587 ,  846 720 ,   793 ,  8 487 ,  715 524 ,,,,,,,
,Évora,   92 ,  23 424 , 1 195 963 ,   188 ,  29 617 , 1 489 480 ,   785 ,  13 178 ,  683 396 ,,,,,,,
,Montemor-o-Novo,   110 ,  19 014 ,  861 179 ,   188 ,  25 894 , 1 066 661 ,   449 ,  11 280 ,  554 873 ,,,,,,,
,Mourão,   17 ,  5 749 ,  177 772 ,   50 ,  5 370 ,  234 280 ,   283 ,  4 482 ,  252 475 ,,,,,,,
,Portel,   23 ,  4 582 ,  133 822 ,   70 ,  14 289 ,  515 553 ,   649 ,  5 717 ,  336 103 ,,,,,,,
,Redondo,   33 ,  3 835 ,  390 067 ,   145 ,  10 491 ,  999 964 ,   466 ,  3 829 ,  366 822 ,,,,,,,
,Reguengos de Monsaraz,   63 ,  8 400 ,  516 907 ,   284 ,  16 737 , 1 549 932 ,   619 ,  4 234 ,  368 775 ,,,,,,,
,Sousel,   29 ,  2 771 ,  276 191 ,   75 ,  6 647 ,  554 716 ,   403 ,  4 881 ,  281 475 ,,,,,,,
,Vendas Novas,   7 ,  6 010 ,  218 141 ,   33 ,  4 383 ,  156 594 ,   179 ,  2 437 ,  170 309 ,,,,,,,
,Viana do Alentejo,   47 ,  6 376 ,  387 417 ,   53 ,  13 260 ,  474 981 ,   197 ,  5 667 ,  260 764 ,,,,,,,
,Vila Viçosa,   14 ,  1 310 ,  64 725 ,   53 ,  5 113 ,  141 249 ,   235 ,  2 892 ,  179 648 ,,,,,,,
Baixo Alentejo,,  1 246 ,  162 184 , 8 069 211 ,  2 946 ,  244 225 , 12 754 109 ,  5 279 ,  82 427 , 4 378 883 ,,,,,,,
,Aljustrel,   79 ,  9 218 ,  669 131 ,   255 ,  19 493 , 1 257 636 ,   125 ,  1 826 ,  106 720 ,,,,,,,
,Almodôvar,   105 ,  12 709 ,  353 197 ,   279 ,  17 298 ,  478 469 ,   329 ,  6 472 ,  212 454 ,,,,,,,
,Alvito,   40 ,  4 175 ,  197 461 ,   38 ,  5 549 ,  262 186 ,   137 ,  1 267 ,  85 856 ,,,,,,,
,Barrancos,   17 ,  5 571 ,  109 479 ,   10 ,  3 473 ,  78 931 ,   252 ,  4 430 ,  95 974 ,,,,,,,
,Beja,   129 ,  20 543 , 1 297 220 ,   422 ,  37 837 , 2 373 046 ,   579 ,  8 018 ,  618 433 ,,,,,,,
,Castro Verde,   51 ,  11 634 ,  389 479 ,   100 ,  21 483 ,  733 624 ,   103 ,  5 492 ,  319 782 ,,,,,,,
,Cuba,   25 ,  1 233 ,  262 699 ,   137 ,  6 103 ,  524 963 ,   263 ,  3 523 ,  232 269 ,,,,,,,
,Ferreira do Alentejo,   130 ,  13 173 ,  996 375 ,   303 ,  20 925 , 1 548 978 ,   281 ,  3 788 ,  327 878 ,,,,,,,
,Mértola,   95 ,  21 454 ,  552 905 ,   218 ,  34 021 ,  914 740 ,   371 ,  10 507 ,  290 698 ,,,,,,,
,Moura,   205 ,  19 775 , 1 091 270 ,   407 ,  22 745 , 1 479 322 ,   937 ,  12 505 ,  846 212 ,,,,,,,
,Ourique,   83 ,  11 688 ,  375 875 ,   160 ,  17 932 ,  657 008 ,   397 ,  7 080 ,  230 995 ,,,,,,,
,Serpa,   229 ,  23 893 , 1 254 708 ,   337 ,  27 033 , 1 525 083 ,  1 252 ,  15 608 ,  822 950 ,,,,,,,
,Vidigueira,   58 ,  7 118 ,  519 412 ,   280 ,  10 333 ,  920 123 ,   253 ,  1 911 ,  188 662 ,,,,,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
