Mão-de-obra agrícola não familiar (UTA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA,,Mão - de -obra não familiar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nut III,,Total,Permanente,,,Trabalhadores eventuais agrícolas,Trabalhadores eventuais agrícolas não contratados pelo produtor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concelho,,,Total,Dirigente,Outros trabalhadores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALENTEJO,ind (nº),- ,  13 154 ,  1 547 ,  11 607 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,  19 152 ,  11 844 ,   925 ,  10 941 ,  6 829 ,   479 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alentejo Litoral,ind (nº),- ,  2 077 ,   231 ,  1 846 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,  2 925 ,  1 855 ,   125 ,  1 735 ,   972 ,   98 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcácer do Sal,ind (nº),- ,   604 ,   59 ,   545 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   797 ,   536 ,   33 ,   504 ,   238 ,   23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grândola,ind (nº),- ,   263 ,   54 ,   209 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   288 ,   199 ,   25 ,   174 ,   81 ,   8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odemira,ind (nº),- ,   693 ,   50 ,   643 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,  1 119 ,   654 ,   30 ,   626 ,   424 ,   41 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santiago do Cacém,ind (nº),- ,   474 ,   62 ,   412 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UTA,   671 ,   426 ,   33 ,   395 ,   221 ,   24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
