Características da habitação do produtor singular (< 30 anos),,,,,,,,,,
,,,,,,,,,,Pág 1/3
REGIÃO AGRÁRIA,Total de explorações,,,,,Total de explorações com produtor residente na exploração,,,,
Nut III / Concelho,Total,Electricidade,Água canalizada,Instalação sanitária,Electrodomésticos,Total,Electricidade,Água canalizada,Instalação sanitária,Electrodomésticos
,Idade da habitação < 30 anos,,,,,,,,,
ALENTEJO,  10 435 ,  10 356 ,  10 278 ,  10 247 ,  10 340 ,  2 779 ,  2 707 ,  2 649 ,  2 631 ,  2 705 
Alentejo Litoral,  2 080 ,  2 034 ,  2 000 ,  1 986 ,  2 029 ,   837 ,   793 ,   766 ,   755 ,   792 
Alcácer do Sal,   424 ,   423 ,   421 ,   419 ,   422 ,   55 ,   54 ,   54 ,   53 ,   54 
Grândola,   396 ,   389 ,   382 ,   383 ,   389 ,   167 ,   161 ,   154 ,   155 ,   161 
Odemira,   600 ,   571 ,   551 ,   540 ,   566 ,   357 ,   329 ,   313 ,   303 ,   327 
Santiago do Cacém,   589 ,   582 ,   579 ,   576 ,   583 ,   223 ,   216 ,   213 ,   211 ,   217 
Sines,   71 ,   69 ,   67 ,   68 ,   69 ,   35 ,   33 ,   32 ,   33 ,   33 
Alto Alentejo,  3 206 ,  3 195 ,  3 180 ,  3 181 ,  3 194 ,   872 ,   863 ,   851 ,   853 ,   863 
Alter do Chão,   104 ,   103 ,   103 ,   103 ,   103 ,   10 ,   9 ,   9 ,   9 ,   9 
Arronches,   109 ,   108 ,   107 ,   107 ,   108 ,   32 ,   32 ,   31 ,   31 ,   32 
Avis,   150 ,   150 ,   150 ,   150 ,   150 ,   7 ,   7 ,   7 ,   7 ,   7 
Campo Maior,   214 ,   214 ,   214 ,   214 ,   214 ,   17 ,   17 ,   17 ,   17 ,   17 
Castelo de Vide,   38 ,   38 ,   38 ,   37 ,   38 ,   8 ,   8 ,   8 ,   7 ,   8 
Crato,   125 ,   125 ,   124 ,   124 ,   125 ,   11 ,   11 ,   10 ,   10 ,   11 
Elvas,   302 ,   302 ,   299 ,   299 ,   302 ,   56 ,   56 ,   54 ,   55 ,   56 
Fronteira,   71 ,   71 ,   71 ,   71 ,   71 ,   11 ,   11 ,   11 ,   11 ,   11 
Gavião,   219 ,   219 ,   219 ,   218 ,   219 ,   85 ,   85 ,   85 ,   84 ,   85 
Marvão,   114 ,   114 ,   107 ,   114 ,   114 ,   39 ,   39 ,   33 ,   39 ,   39 
Monforte,   74 ,   74 ,   74 ,   74 ,   74 ,   7 ,   7 ,   7 ,   7 ,   7 
