Características da habitação do produtor singular (entre 30 e 50 anos),,,,,,,,,,
,,,,,,,,,,Pág 2/3
REGIÃO AGRÁRIA,Total de explorações,,,,,Total de explorações com produtor residente na exploração,,,,
Nut III / Concelho,Total,Electricidade,Água canalizada,Instalação sanitária,Electrodomésticos,Total,Electricidade,Água canalizada,Instalação sanitária,Electrodomésticos
,Idade da habitação entre 30 e 50 anos,,,,,,,,,
ALENTEJO,  7 197 ,  7 077 ,  6 934 ,  6 831 ,  7 048 ,  2 286 ,  2 182 ,  2 067 ,  1 985 ,  2 162 
Alentejo Litoral,  1 281 ,  1 214 ,  1 148 ,  1 104 ,  1 199 ,   666 ,   606 ,   549 ,   512 ,   595 
Alcácer do Sal,   251 ,   242 ,   237 ,   231 ,   243 ,   50 ,   44 ,   43 ,   40 ,   45 
Grândola,   265 ,   253 ,   241 ,   227 ,   249 ,   130 ,   120 ,   109 ,   100 ,   117 
Odemira,   386 ,   349 ,   317 ,   302 ,   340 ,   258 ,   222 ,   194 ,   178 ,   215 
Santiago do Cacém,   318 ,   312 ,   302 ,   293 ,   309 ,   189 ,   183 ,   173 ,   164 ,   181 
Sines,   61 ,   58 ,   51 ,   51 ,   58 ,   39 ,   37 ,   30 ,   30 ,   37 
Alto Alentejo,  2 825 ,  2 813 ,  2 782 ,  2 758 ,  2 807 ,   967 ,   956 ,   933 ,   912 ,   953 
Alter do Chão,   81 ,   80 ,   81 ,   81 ,   80 ,   5 ,   4 ,   5 ,   5 ,   4 
Arronches,   96 ,   95 ,   94 ,   88 ,   96 ,   35 ,   34 ,   33 ,   30 ,   35 
Avis,   169 ,   169 ,   169 ,   169 ,   169 ,   14 ,   14 ,   14 ,   14 ,   14 
Campo Maior,   129 ,   129 ,   129 ,   129 ,   129 ,   4 ,   4 ,   4 ,   4 ,   4 
Castelo de Vide,   29 ,   28 ,   29 ,   29 ,   28 ,   5 ,   4 ,   5 ,   5 ,   4 
Crato,   86 ,   84 ,   85 ,   85 ,   83 ,   5 ,   3 ,   4 ,   4 ,   3 
Elvas,   178 ,   178 ,   176 ,   175 ,   178 ,   29 ,   29 ,   28 ,   27 ,   29 
Fronteira,   45 ,   45 ,   44 ,   43 ,   45 ,   10 ,   10 ,   9 ,   9 ,   10 
Gavião,   271 ,   271 ,   271 ,   271 ,   269 ,   111 ,   111 ,   111 ,   111 ,   110 
Marvão,   94 ,   94 ,   82 ,   93 ,   93 ,   20 ,   20 ,   9 ,   19 ,   20 
Monforte,   55 ,   55 ,   55 ,   54 ,   55 ,   1 ,   1 ,   1 ,- ,   1 
