"Explorações que recorreram a subsídios segundo a SAU, a dimensão económica e a OTE (OTE / Alto Alentejo - Gavião)",,,,,,,,
,,,,,,,,Pág 4/14
,,Avis,Campo Maior,Castelo de Vide,Crato,Elvas,Fronteira,Gavião
OTE,expl (nº),   463 ,   679 ,   304 ,   468 ,   829 ,   253 ,   966 
,SAL (ha),  42 425 ,  21 086 ,  20 712 ,  25 913 ,  57 486 ,  17 797 ,  7 911 
Cereais plantas olea./proteaginosas,expl (nº),   29 ,   71 ,   1 ,   5 ,   134 ,   21 ,   10 
,SAL (ha),  3 990 ,  5 752 ,... ,   88 ,  12 982 ,  2 180 ,   480 
Culturas agrícolas diversas,expl (nº),   54 ,   19 ,   10 ,   5 ,   52 ,   16 ,   14 
,SAL (ha),  4 239 ,  2 644 ,   15 ,   34 ,  4 599 ,  2 965 ,   43 
Horticultura,expl (nº),   8 ,   1 ,   25 ,   1 ,   17 ,- ,   95 
,SAL (ha),   17 ,... ,   488 ,... ,   188 ,- ,   280 
Viticultura,expl (nº),   1 ,   8 ,- ,   5 ,   4 ,- ,   63 
,SAL (ha),... ,   15 ,- ,   4 ,   117 ,- ,   122 
Fruticultura,expl (nº),   1 ,   8 ,- ,- ,   32 ,   3 ,   21 
,SAL (ha),... ,   81 ,- ,- ,   93 ,   37 ,   50 
Olivicultura,expl (nº),   171 ,   416 ,   68 ,   118 ,   274 ,   48 ,   302 
,SAL (ha),  2 334 ,  2 969 ,   533 ,  1 664 ,  2 580 ,  1 502 ,  1 562 
Culturas permanentes diversas,expl (nº),   6 ,   23 ,   28 ,   11 ,   34 ,   2 ,   124 
,SAL (ha),   104 ,   275 ,   332 ,   231 ,   309 ,... ,   363 
Bovinos de leite,expl (nº),   2 ,- ,   1 ,   3 ,   1 ,   5 ,   1 
,SAL (ha),... ,- ,... ,   49 ,... ,   160 ,... 
Bovinos para gado/carne,expl (nº),   7 ,   2 ,   19 ,   42 ,   30 ,   7 ,- 
,SAL (ha),  4 572 ,... ,  5 187 ,  8 921 ,  10 316 ,  1 067 ,- 
Bovinos para leite/gado/carne,expl (nº),   1 ,- ,   1 ,   2 ,   1 ,   1 ,   1 
,SAL (ha),... ,- ,... ,... ,... ,... ,... 
Ovinos/caprinos/out. herbívoros,expl (nº),   55 ,   19 ,   28 ,   96 ,   78 ,   43 ,   25 
,SAL (ha),  5 121 ,   158 ,  5 789 ,  10 565 ,  2 090 ,  1 746 ,  1 523 
Granívoros,expl (nº),   1 ,   4 ,- ,   1 ,   7 ,   3 ,   12 
,SAL (ha),... ,   5 ,- ,... ,   410 ,   105 ,   9 
Policultura,expl (nº),   56 ,   65 ,   58 ,   53 ,   51 ,   37 ,   182 
,SAL (ha),  7 466 ,  4 925 ,  1 119 ,   989 ,  4 124 ,  2 945 ,  2 616 
Polipecuária-herbívoros,expl (nº),   9 ,   9 ,   10 ,   22 ,   18 ,   14 ,   17 
,SAL (ha),  3 460 ,  1 010 ,  1 412 ,   492 ,  1 971 ,  1 019 ,   70 
Polipecuária-granívoros,expl (nº),   2 ,   3 ,- ,   10 ,   10 ,   2 ,   10 
,SAL (ha),... ,   10 ,- ,   8 ,  1 067 ,... ,   14 
Agricultura geral e herbívoros,expl (nº),   16 ,   12 ,   5 ,   10 ,   39 ,   19 ,   6 
,SAL (ha),  7 456 ,  2 685 ,   881 ,  1 397 ,  15 607 ,  3 269 ,   214 
Culturas diversas e gado,expl (nº),   33 ,   13 ,   50 ,   83 ,   32 ,   31 ,   80 
,SAL (ha),  3 153 ,   276 ,  4 614 ,  1 420 ,   740 ,   631 ,   555 
Não classificadas,expl (nº),   11 ,   6 ,- ,   1 ,   15 ,   1 ,   3 
,SAL (ha),   85 ,   20 ,- ,... ,   118 ,... ,   7 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,
