Principais culturas temporárias,,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 1/3
Região Agrária,,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
,Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
,,Concelho,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
Algarve,,,,,,,,,,,,,
,,,Culturas temporárias,"8,257","20,192","7,410","18,833","2,016","1,358",346,118,"1,742","1,234"
,,,Cereais para grão,"3,268","8,854","3,043","8,417",530,442,87,46,451,394
,,,Leguminosas secas para grão,"1,703",818,"1,536",712,233,102,27,4,209,98
,,,Prados temporários,165,810,150,774,18,36,- ,- ,18,36
,,,Culturas forrageiras,"2,132","6,090","1,954","5,738",380,353,128,32,256,323
,,,Batata,"3,326",667,"2,969",607,469,52,69,16,402,35
,,,Beterraba sacarina,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,39,113,39,113,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,"4,946","2,566","4,194","2,192","1,031",372,82,24,963,347
,,,Flores e plantas ornamentais,66,64,65,64,1,... ,- ,- ,1,... 
,,,Sementes de culturas forrageiras,3,1,3,1,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,9,3,9,3,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,498,114,476,114,24,2,9,o ,15,2
,Algarve,,,,,,,,,,,,
,,,Culturas temporárias,"8,257","20,192","7,410","18,833","2,016","1,358",346,118,"1,742","1,234"
,,,Cereais para grão,"3,268","8,854","3,043","8,417",530,442,87,46,451,394
,,,Leguminosas secas para grão,"1,703",818,"1,536",712,233,102,27,4,209,98
,,,Prados temporários,165,810,150,774,18,36,- ,- ,18,36
,,,Culturas forrageiras,"2,132","6,090","1,954","5,738",380,353,128,32,256,323
,,,Batata,"3,326",667,"2,969",607,469,52,69,16,402,35
,,,Beterraba sacarina,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,39,113,39,113,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,"4,946","2,566","4,194","2,192","1,031",372,82,24,963,347
,,,Flores e plantas ornamentais,66,64,65,64,1,... ,- ,- ,1,... 
,,,Sementes de culturas forrageiras,3,1,3,1,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,9,3,9,3,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,498,114,476,114,24,2,9,o ,15,2
,,Albufeira,,,,,,,,,,,
,,,Culturas temporárias,225,515,148,397,104,119,2,... ,103,118
,,,Cereais para grão,54,258,43,239,18,21,- ,- ,18,21
,,,Leguminosas secas para grão,18,7,11,2,8,4,- ,- ,8,4
,,,Prados temporários,7,15,4,5,4,10,- ,- ,4,10
,,,Culturas forrageiras,27,113,20,70,13,43,- ,- ,13,43
,,,Batata,21,4,15,3,6,o ,- ,- ,6,o 
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,165,117,95,77,79,40,2,... ,78,39
,,,Flores e plantas ornamentais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Alcoutim,,,,,,,,,,,
,,,Culturas temporárias,660,"1,814",640,"1,665",190,150,38,5,159,146
,,,Cereais para grão,244,647,221,603,73,43,11,2,63,40
,,,Leguminosas secas para grão,144,121,124,92,35,30,6,1,30,30
,,,Prados temporários,11,16,9,8,3,8,- ,- ,3,8
,,,Culturas forrageiras,323,974,299,912,76,63,8,o ,68,63
,,,Batata,393,24,385,23,15,1,5,1,10,o 
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,270,33,255,26,24,7,9,1,15,6
,,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,32,1,28,1,4,o ,4,o ,- ,- 
,,Aljezur,,,,,,,,,,,
,,,Culturas temporárias,644,"2,504",643,"2,500",17,3,11,2,6,1
,,,Cereais para grão,439,"1,370",438,"1,368",5,1,5,1,- ,- 
,,,Leguminosas secas para grão,243,54,241,53,3,1,3,1,- ,- 
,,,Prados temporários,63,158,63,158,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,167,604,166,604,3,1,3,1,- ,- 
,,,Batata,298,141,294,140,6,1,- ,- ,6,1
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,30,9,30,9,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,206,60,206,60,- ,- ,- ,- ,- ,- 
,,,Flores e plantas ornamentais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,3,1,3,1,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,281,103,281,103,- ,- ,- ,- ,- ,- 
,,Castro Marim,,,,,,,,,,,
,,,Culturas temporárias,513,"1,112",492,995,141,116,8,1,137,115
,,,Cereais para grão,175,227,156,194,52,34,4,o ,50,32
,,,Leguminosas secas para grão,117,92,106,72,23,20,- ,- ,23,20
,,,Prados temporários,7,62,3,48,5,13,- ,- ,5,13
,,,Culturas forrageiras,273,586,266,550,36,36,4,o ,33,36
,,,Batata,236,26,219,23,28,2,1,... ,27,2
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,260,118,243,106,43,12,1,... ,43,12
,,,Flores e plantas ornamentais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,4,o ,4,o ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região do Algarve.",,,,,,,,,,,,,
