Natureza jurídica do produtor,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,pág.1/2
Região Agrária,,,Produtor Singular,,,,Sociedade,,Baldio,,Estado e pessoas públicas,,Outra,
,Nut III,,Autónomo,,Empresário,,,,,,,,,
,,Concelho,Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha)
Algarve,,,"18,104","82,806",552,"11,754",297,"6,533",- ,- ,7,360,11,476
,Algarve,,"18,104","82,806",552,"11,754",297,"6,533",- ,- ,7,360,11,476
,,Albufeira,"1,087","4,048",40,929,36,324,- ,- ,- ,- ,- ,- 
,,Alcoutim,"1,026","10,120",10,621,1,... ,- ,- ,- ,- ,- ,- 
,,Aljezur,703,"4,800",7,286,8,247,- ,- ,- ,- ,- ,- 
,,Castro Marim,889,"6,699",24,716,10,477,- ,- ,- ,- ,- ,- 
,,Faro,"1,430","3,914",101,786,16,222,- ,- ,3,7,4,57
,,Lagoa,459,"1,299",25,450,8,81,- ,- ,1,... ,- ,- 
,,Lagos,622,"3,072",16,743,9,164,- ,- ,- ,- ,- ,- 
,,Loulé,"3,483","14,494",56,"1,114",63,"1,232",- ,- ,- ,- ,- ,- 
,,Monchique,746,"2,565",22,411,7,6,- ,- ,- ,- ,- ,- 
,,Olhão,"1,104","3,081",37,824,21,314,- ,- ,1,... ,2,... 
,,Portimão,524,"1,625",27,260,16,"1,141",- ,- ,- ,- ,- ,- 
,,São Brás de Alportel,557,"1,760",2,... ,4,43,- ,- ,- ,- ,- ,- 
,,Silves,"2,955","12,199",96,"2,227",57,"1,106",- ,- ,1,... ,- ,- 
,,Tavira,"2,058","10,108",72,"1,440",32,679,- ,- ,1,... ,- ,- 
,,Vila do Bispo,159,"1,602",8,709,2,... ,- ,- ,- ,- ,- ,- 
,,Vila Real de Santo António,302,"1,420",9,174,7,172,- ,- ,- ,- ,5,396
"Fonte:  INE, Recenseamento Geral da Agricultura, 1999 - Região do Algarve.",,,,,,,,,,,,,,
