Explorações segundo o número de bovinos (Classes do número de animais 1 a 29),,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 1/2
Região Agrária,,,,Total,Classes do número de animais,,,,,,
,Nut III,,,,,,,,,,
,,Concelho,,,1,2,3 a 4,5 a 9,10 a 14,15 a 19,20 a 29
Algarve,,,expl (nº),902,93,129,173,188,102,66,64
,,,efect (nº),"12,008",93,258,598,"1,317","1,195","1,101","1,500"
,Algarve,,expl (nº),902,93,129,173,188,102,66,64
,,,efect (nº),"12,008",93,258,598,"1,317","1,195","1,101","1,500"
,,Albufeira,expl (nº),12,1,- ,2,2,1,2,2
,,,efect (nº),603,... ,- ,... ,... ,... ,... ,... 
,,Alcoutim,expl (nº),24,2,3,2,9,6,2,- 
,,,efect (nº),172,... ,6,... ,59,67,... ,- 
,,Aljezur,expl (nº),169,10,18,30,37,21,20,13
,,,efect (nº),"2,233",10,36,102,257,251,338,311
,,Castro Marim,expl (nº),37,6,4,6,4,5,- ,2
,,,efect (nº),886,6,8,23,28,58,- ,... 
,,Faro,expl (nº),10,2,2,- ,- ,- ,3,2
,,,efect (nº),164,... ,... ,- ,- ,- ,55,... 
,,Lagoa,expl (nº),13,1,2,6,2,- ,1,- 
,,,efect (nº),117,... ,... ,20,... ,- ,... ,- 
,,Lagos,expl (nº),113,5,11,22,24,13,13,11
,,,efect (nº),"1,866",5,22,79,177,147,215,251
,,Loulé,expl (nº),46,2,5,13,8,5,3,5
,,,efect (nº),614,... ,10,44,58,55,48,107
,,Monchique,expl (nº),116,23,18,20,22,11,6,7
,,,efect (nº),"1,232",23,36,69,146,134,95,149
,,Olhão,expl (nº),13,3,3,4,- ,- ,- ,2
,,,efect (nº),390,3,6,13,- ,- ,- ,... 
,,Portimão,expl (nº),55,4,14,17,11,3,2,2
,,,efect (nº),489,4,28,59,77,34,... ,... 
,,São Brás de Alportel,expl (nº),8,1,2,- ,2,1,1,1
,,,efect (nº),72,... ,... ,- ,... ,... ,... ,... 
,,Silves,expl (nº),153,7,22,34,46,22,4,8
,,,efect (nº),"1,617",7,44,118,329,257,61,192
,,Tavira,expl (nº),74,21,21,12,8,4,1,3
,,,efect (nº),478,21,42,41,52,48,... ,76
,,Vila do Bispo,expl (nº),43,1,3,3,10,7,7,6
,,,efect (nº),860,... ,6,10,73,89,121,149
,,Vila Real de Santo António,expl (nº),16,4,1,2,3,3,1,- 
,,,efect (nº),215,4,... ,... ,20,33,... ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região do Algarve.",,,,,,,,,,,
,,,,,,,,,,,
