Explorações segundo o número de bovinos (Classes do número de animais 30 a >=300),,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,pág. 2/2
Região Agrária,,,,Classes do número de animais,,,,,,
,Nut III,,,,,,,,,
,,Concelho,,30 a 39,40 a 49,50 a 59,60 a 99,100 a 199,200 a 299,>= 300
Algarve,,,expl (nº),29,13,8,26,9,- ,2
,,,efect (nº),"1,009",559,432,"1,967","1,255",- ,... 
,Algarve,,expl (nº),29,13,8,26,9,- ,2
,,,efect (nº),"1,009",559,432,"1,967","1,255",- ,... 
,,Albufeira,expl (nº),- ,- ,- ,1,- ,- ,1
,,,efect (nº),- ,- ,- ,... ,- ,- ,... 
,,Alcoutim,expl (nº),- ,- ,- ,- ,- ,- ,- 
,,,efect (nº),- ,- ,- ,- ,- ,- ,- 
,,Aljezur,expl (nº),9,6,- ,4,1,- ,- 
,,,efect (nº),314,247,- ,266,... ,- ,- 
,,Castro Marim,expl (nº),1,2,1,4,2,- ,- 
,,,efect (nº),... ,... ,... ,305,... ,- ,- 
,,Faro,expl (nº),- ,- ,- ,1,- ,- ,- 
,,,efect (nº),- ,- ,- ,... ,- ,- ,- 
,,Lagoa,expl (nº),- ,- ,- ,1,- ,- ,- 
,,,efect (nº),- ,- ,- ,... ,- ,- ,- 
,,Lagos,expl (nº),6,- ,2,4,2,- ,- 
,,,efect (nº),203,- ,... ,346,... ,- ,- 
,,Loulé,expl (nº),- ,2,1,2,- ,- ,- 
,,,efect (nº),- ,... ,... ,... ,- ,- ,- 
,,Monchique,expl (nº),4,- ,1,3,1,- ,- 
,,,efect (nº),144,- ,... ,212,... ,- ,- 
,,Olhão,expl (nº),- ,- ,- ,- ,- ,- ,1
,,,efect (nº),- ,- ,- ,- ,- ,- ,... 
,,Portimão,expl (nº),1,- ,- ,- ,1,- ,- 
,,,efect (nº),... ,- ,- ,- ,... ,- ,- 
,,São Brás de Alportel,expl (nº),- ,- ,- ,- ,- ,- ,- 
,,,efect (nº),- ,- ,- ,- ,- ,- ,- 
,,Silves,expl (nº),3,1,1,4,1,- ,- 
,,,efect (nº),105,... ,... ,294,... ,- ,- 
,,Tavira,expl (nº),2,1,1,- ,- ,- ,- 
,,,efect (nº),... ,... ,... ,- ,- ,- ,- 
,,Vila do Bispo,expl (nº),2,1,1,1,1,- ,- 
,,,efect (nº),... ,... ,... ,... ,... ,- ,- 
,,Vila Real de Santo António,expl (nº),1,- ,- ,1,- ,- ,- 
,,,efect (nº),... ,- ,- ,... ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região do Algarve.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
