"Principais características do produtor singular - Homem, página 2",,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 5/6
,,,Loulé,Monchique,Olhão,Portimão,São Brás de Alportel,Silves,Tavira,Vila do Bispo,Vila Real de Santo António
,,,nº de indivíduos,,,,,,,,
Homem,,,,,,,,,,,
Produtor singular,,,"2,794",689,911,475,451,"2,502","1,805",153,250
,Autónomo,,"2,746",668,881,455,450,"2,418","1,747",147,244
,Empresário,,48,21,30,20,1,84,58,6,6
Nível de instrução,,,,,,,,,,,
,Não sabe ler nem escrever,,432,190,94,112,55,549,474,42,61
,Sabe ler e escrever,,561,158,135,97,53,416,315,23,34
,Básico - 1º ciclo,,"1,494",288,513,198,292,"1,046",760,68,125
,Básico - 2º ciclo,,126,23,55,21,21,162,67,7,11
,Básico - 3º ciclo,,84,9,41,23,14,140,64,4,7
,Secundário agrícola,,2,1,3,1,- ,13,4,- ,2
,Secundário não agrícola,,44,10,35,6,9,112,51,3,5
,Politécnico / Superior agrícola,,12,1,8,3,2,17,16,1,2
,Politécnico / Superior não agrícola,,39,9,27,14,5,47,54,5,3
Formação profissional agrícola,,,,,,,,,,,
,Exclusivamente prática,,"2,674",631,876,455,439,"2,325","1,683",147,246
,Curta duração,,49,41,11,7,5,76,69,3,- 
,Longa duração,,42,13,11,7,1,46,26,2,- 
,Longa e curta duração,,15,2,2,2,4,25,7,- ,- 
,Completa,,14,2,11,4,2,30,20,1,4
Tempo de actividade agrícola ,,,,,,,,,,,
,Tempo parcial,,"2,659",392,895,412,445,"2,209","1,751",149,249
,,> 0 - < 25%,953,85,310,63,233,597,872,87,147
,,25 - < 50%,729,130,255,158,107,565,438,23,59
,,50 - < 75%,522,96,151,69,65,386,272,18,34
,,75 - < 100%,455,81,179,122,40,661,169,21,9
,Tempo completo,,135,297,16,63,6,293,54,4,1
Actividades remuneradas exterior à exploração,,,,,,,,,,,
,Principal,,787,203,356,171,170,701,636,48,85
,,Sector primário,78,59,53,19,20,76,142,11,17
,,Sector secundário,277,46,118,59,71,197,210,7,34
,,Sector terciário,432,98,185,93,79,428,284,30,34
,Secúndária,,40,46,7,4,6,55,77,4,3
,,Sector primário,7,25,2,- ,1,17,34,2,- 
,,Sector secundário,15,3,2,- ,2,13,11,- ,1
,,Sector terciário,18,18,3,4,3,25,32,2,2
Situação na profissão exterior à exploração,,,,,,,,,,,
,Patrão/empregador,,122,11,92,36,30,101,97,7,24
,Trabalhador por conta própria,,275,76,93,39,68,202,163,9,15
,Trabalhador por conta de outrem,,418,162,173,100,76,449,450,36,49
,Trabalhador familiar remunerado,,2,- ,2,- ,- ,1,- ,- ,- 
,Outra situação,,10,- ,3,- ,2,3,3,- ,- 
Produtor singular dirigente,,,"2,780",686,902,472,448,"2,489","1,801",151,250
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região do Algarve."
