Produtor singular segundo a OTE e as classes de idade  (Página 2),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 2/4
Região Agrária,,,,Bovinos              para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
,Nut III,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,
Algarve,,,,,,,,,,,,
,,,Total,8,566,153,"2,370",198,121,164,791,30
,,,15 - 24,- ,6,- ,4,2,- ,1,4,- 
,,,25 - 34,- ,32,9,38,5,7,7,16,1
,,,35 - 44,- ,64,22,149,15,25,16,85,5
,,,45 - 54,3,101,30,311,47,26,28,141,1
,,,55 - 64,4,181,43,652,72,36,48,232,8
,,,>= 65,1,182,49,"1,216",57,27,64,313,15
,Algarve,,,,,,,,,,,
,,,Total,8,566,153,"2,370",198,121,164,791,30
,,,15 - 24,- ,6,- ,4,2,- ,1,4,- 
,,,25 - 34,- ,32,9,38,5,7,7,16,1
,,,35 - 44,- ,64,22,149,15,25,16,85,5
,,,45 - 54,3,101,30,311,47,26,28,141,1
,,,55 - 64,4,181,43,652,72,36,48,232,8
,,,>= 65,1,182,49,"1,216",57,27,64,313,15
,,Albufeira,,,,,,,,,,
,,,Total,- ,15,4,60,3,1,1,25,4
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,1,- 
,,,25 - 34,- ,1,- ,- ,- ,1,- ,- ,- 
,,,35 - 44,- ,1,- ,10,1,- ,- ,4,- 
,,,45 - 54,- ,9,1,11,1,- ,- ,5,- 
,,,55 - 64,- ,3,1,15,1,- ,- ,5,2
,,,>= 65,- ,1,2,24,- ,- ,1,10,2
,,Alcoutim,,,,,,,,,,
,,,Total,- ,86,- ,138,21,11,11,73,1
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,3,- ,- ,- ,1,- ,2,- 
,,,35 - 44,- ,10,- ,6,3,1,1,2,1
,,,45 - 54,- ,13,- ,13,4,3,2,15,- 
,,,55 - 64,- ,30,- ,35,5,3,4,22,- 
,,,>= 65,- ,30,- ,84,9,3,4,32,- 
,,Aljezur,,,,,,,,,,
,,,Total,- ,14,7,165,10,2,38,26,6
,,,15 - 24,- ,1,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,3,- ,1,- ,1,- 
,,,35 - 44,- ,2,- ,5,- ,1,2,3,- 
,,,45 - 54,- ,3,1,15,2,- ,13,2,- 
,,,55 - 64,- ,5,2,39,4,- ,14,7,2
,,,>= 65,- ,3,4,103,4,- ,9,13,4
,,Castro Marim,,,,,,,,,,
,,,Total,2,46,1,116,14,3,1,39,2
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,3,- ,3,- ,- ,- ,- ,- 
,,,35 - 44,- ,9,- ,5,1,1,- ,4,1
,,,45 - 54,2,7,- ,25,1,1,- ,11,- 
,,,55 - 64,- ,17,- ,28,9,- ,1,8,- 
,,,>= 65,- ,10,1,55,3,1,- ,16,1
,,Faro,,,,,,,,,,
,,,Total,1,22,5,110,3,3,- ,22,8
,,,15 - 24,- ,1,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,2,- ,- ,- ,- ,- ,1,- 
,,,35 - 44,- ,3,1,10,- ,1,- ,- ,- 
,,,45 - 54,- ,4,- ,11,1,1,- ,4,- 
,,,55 - 64,- ,9,2,39,- ,- ,- ,6,1
,,,>= 65,1,3,2,50,2,1,- ,11,7
,,Lagoa,,,,,,,,,,
,,,Total,- ,13,4,53,2,2,1,6,1
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,1,- ,- ,- ,- ,- ,- ,- 
,,,35 - 44,- ,1,1,3,- ,- ,1,1,- 
,,,45 - 54,- ,2,2,6,1,1,- ,1,- 
,,,55 - 64,- ,3,- ,13,1,1,- ,3,1
,,,>= 65,- ,6,1,31,- ,- ,- ,1,- 
,,Lagos,,,,,,,,,,
,,,Total,- ,23,4,206,20,6,4,42,- 
,,,15 - 24,- ,- ,- ,- ,1,- ,- ,1,- 
,,,25 - 34,- ,3,- ,4,1,1,1,3,- 
,,,35 - 44,- ,5,1,14,- ,- ,1,- ,- 
,,,45 - 54,- ,5,- ,23,3,1,- ,6,- 
,,,55 - 64,- ,6,2,59,8,4,1,15,- 
,,,>= 65,- ,4,1,106,7,- ,1,17,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região do Algarve.",,,,,,,,,,,,
