Principais culturas temporárias,,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,Pág.7/10
Região Agrária,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
,Nut III,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
,,Concelho,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,Constância,,,,,,,,,,,
,,Culturas temporárias,   31 ,   245 ,   30 ,   243 ,   2 ,... ,- ,- ,   2 ,... 
,,Cereais para grão,   17 ,   126 ,   17 ,   126 ,- ,- ,- ,- ,- ,- 
,,Leguminosas secas para grão,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   15 ,   96 ,   14 ,   94 ,   2 ,... ,- ,- ,   2 ,... 
,,Batata,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Beterraba sacarina,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   5 ,   20 ,   5 ,   20 ,- ,- ,- ,- ,- ,- 
,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Entroncamento,,,,,,,,,,,
,,Culturas temporárias,   27 ,   75 ,   23 ,   67 ,   16 ,   9 ,   4 ,   2 ,   14 ,   7 
,,Cereais para grão,   12 ,   46 ,   9 ,   44 ,   3 ,   2 ,- ,- ,   3 ,   2 
,,Leguminosas secas para grão,   4 ,   1 ,   1 ,... ,   3 ,o ,   1 ,... ,   2 ,... 
,,Prados temporários,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   16 ,   22 ,   13 ,   16 ,   11 ,   6 ,   3 ,   2 ,   9 ,   4 
,,Batata,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   3 ,   4 ,   3 ,   4 ,- ,- ,- ,- ,- ,- 
,,Flores e plantas ornamentais,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
