Forma de exploração da SAU e contabilidade agrícola,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,Pág.2/2
REGIÃO AGRÁRIA,,,Forma de Exploração da SAU,,,,,,Contabilidade agrícola,,,,,
,Nut III,,Conta Própria,,Arrendamento,,Outras formas,,Contabilidade organizada,,Registo de receitas e despesas,,Outra situação,
,,Concelho,Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha)
LISBOA E VALE DO TEJO,,,  57 435 ,  333 658 ,  7 608 ,  75 671 ,  5 400 ,  38 545 ,  6 713 ,  258 008 ,  5 488 ,  53 120 ,  49 414 ,  136 737 
,Oeste,,  21 613 ,  71 547 ,  4 547 ,  15 647 ,  2 950 ,  7 249 ,  2 375 ,  32 218 ,  2 604 ,  17 266 ,  18 417 ,  44 960 
,,Alcobaça,  2 955 ,  8 222 ,   247 ,  1 008 ,   309 ,   805 ,   190 ,  2 001 ,   685 ,  3 368 ,  2 275 ,  4 663 
,,Alenquer,  2 555 ,  11 973 ,   392 ,  1 560 ,   415 ,  1 276 ,   198 ,  7 692 ,   143 ,  1 456 ,  2 376 ,  5 658 
,,Arruda dos Vinhos,   757 ,  3 051 ,   87 ,   424 ,   56 ,   243 ,   40 ,   753 ,   39 ,   535 ,   722 ,  2 430 
,,Bombarral,  1 058 ,  4 337 ,   302 ,   983 ,   130 ,   315 ,   84 ,  1 555 ,   184 ,  1 907 ,   872 ,  2 173 
,,Cadaval,  1 594 ,  5 122 ,   172 ,   706 ,   400 ,   673 ,   231 ,  2 795 ,   66 ,   404 ,  1 405 ,  3 305 
,,Caldas da Rainha,  2 147 ,  5 943 ,   322 ,  1 042 ,   235 ,   504 ,   285 ,  2 019 ,   358 ,  1 847 ,  1 631 ,  3 623 
,,Lourinhã,  1 822 ,  4 978 ,   497 ,  1 558 ,   345 ,   764 ,   232 ,  2 095 ,   195 ,  1 361 ,  1 590 ,  3 844 
,,Mafra,  2 413 ,  7 273 ,   622 ,  2 052 ,   235 ,   703 ,   350 ,  3 549 ,   85 ,   397 ,  2 205 ,  6 079 
,,Nazaré,   271 ,   729 ,   114 ,   280 ,   60 ,   89 ,   13 ,   199 ,   84 ,   427 ,   215 ,   473 
,,Óbidos,   941 ,  3 344 ,   384 ,  1 042 ,   105 ,   169 ,   75 ,  1 180 ,   184 ,  1 392 ,   764 ,  1 982 
,,Peniche,   673 ,  1 463 ,   404 ,  1 399 ,   159 ,   271 ,   63 ,   814 ,   100 ,   793 ,   652 ,  1 526 
,,Sobral de Monte Agraço,   631 ,  2 379 ,   215 ,   845 ,   52 ,   159 ,   64 ,  1 093 ,   43 ,   453 ,   587 ,  1 839 
,,Torres Vedras,  3 796 ,  12 733 ,   789 ,  2 748 ,   449 ,  1 278 ,   550 ,  6 473 ,   438 ,  2 926 ,  3 123 ,  7 365 
,Grande Lisboa,,  2 954 ,  15 373 ,   740 ,  6 978 ,   563 ,  3 375 ,   473 ,  12 512 ,   342 ,  3 018 ,  2 817 ,  10 195 
,,Amadora,   9 ,   47 ,   3 ,   148 ,   6 ,   99 ,   2 ,... ,- ,- ,   17 ,   135 
,,Cascais,   67 ,   386 ,   4 ,   133 ,   11 ,   14 ,   11 ,   225 ,   13 ,   11 ,   72 ,   298 
