Efectivo animal (Médio Tejo),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,,Pág.4/7
,,,LISBOA E VALE DO TEJO,,Médio Tejo,,Abrantes,,Alcanena,,Constância,,Entroncamento,,Ferreira do Zêzere,
,,,Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº)
BOVINOS,,,  4 642 ,  159 317 ,   834 ,  9 312 ,   55 ,   899 ,   113 ,  2 727 ,   4 ,   115 ,   2 ,... ,   37 ,   293 
Bovinos com menos de 1 ano,,,  3 147 ,  51 864 ,   494 ,  2 999 ,   21 ,   170 ,   88 ,   888 ,   2 ,... ,   2 ,... ,   21 ,   103 
,Vitelos de carne (para abate < 1 ano),,   878 ,  9 563 ,   140 ,   738 ,   8 ,   51 ,   1 ,... ,   2 ,... ,- ,- ,   10 ,   30 
,Outros vitelos,,  2 394 ,  42 301 ,   360 ,  2 261 ,   14 ,   119 ,   87 ,   886 ,   1 ,... ,   2 ,... ,   11 ,   73 
,,Machos,  1 828 ,  21 634 ,   304 ,  1 309 ,   11 ,   40 ,   76 ,   476 ,- ,- ,   2 ,... ,   10 ,   55 
,,Fêmeas,  1 357 ,  20 667 ,   158 ,   952 ,   6 ,   79 ,   66 ,   410 ,   1 ,... ,   1 ,... ,   5 ,   18 
Bovinos de 1 a menos de 2 anos,,,  2 030 ,  40 341 ,   350 ,  2 376 ,   16 ,   97 ,   80 ,   619 ,   2 ,... ,   1 ,... ,   14 ,   106 
,Machos,,  1 264 ,  17 303 ,   244 ,  1 265 ,   7 ,   33 ,   59 ,   240 ,   1 ,... ,   1 ,... ,   11 ,   74 
,Fêmeas reprodutoras,,  1 051 ,  19 988 ,   158 ,  1 029 ,   10 ,   34 ,   57 ,   367 ,   1 ,... ,- ,- ,   5 ,   32 
,Fêmeas não reprodutoras,,   242 ,  3 050 ,   26 ,   82 ,   2 ,... ,   2 ,... ,- ,- ,- ,- ,- ,- 
Bovinos de 2 anos e mais,,,  2 273 ,  67 112 ,   370 ,  3 937 ,   41 ,   632 ,   84 ,  1 220 ,   2 ,... ,   1 ,... ,   14 ,   84 
,Machos,,   632 ,  3 438 ,   75 ,   186 ,   7 ,   39 ,   21 ,   57 ,- ,- ,   1 ,... ,   6 ,   9 
,Novilhas reprodutoras,,   789 ,  14 562 ,   126 ,  1 153 ,   11 ,   81 ,   36 ,   351 ,- ,- ,   1 ,... ,   4 ,   56 
,Novilhas não reprodutoras,,   57 ,   890 ,   8 ,   37 ,- ,- ,   2 ,... ,- ,- ,- ,- ,   1 ,... 
,Vacas leiteiras,,   962 ,  28 478 ,   149 ,  1 406 ,   19 ,   143 ,   44 ,   621 ,   2 ,... ,- ,- ,   3 ,   5 
,Outras vacas,,   698 ,  19 744 ,   119 ,  1 155 ,   19 ,   369 ,   19 ,   174 ,- ,- ,   1 ,... ,   3 ,   13 
SUÍNOS,,,  10 993 , 1 072 748 ,  2 128 ,  53 776 ,   210 ,  3 819 ,   86 ,  1 795 ,   5 ,  3 438 ,   14 ,   45 ,   278 ,  29 537 
,Suínos com menos de 20 kg de PV,,  2 995 ,  299 875 ,   232 ,  21 088 ,   29 ,  1 206 ,   23 ,   598 ,   1 ,... ,- ,- ,   33 ,  14 431 
,Fêmeas reprodutoras de 50 kg de PV e mais,,  4 283 ,  124 993 ,   533 ,  5 745 ,   24 ,   434 ,   49 ,   286 ,   1 ,... ,- ,- ,   114 ,  2 531 
,Outros suínos,,  9 063 ,  647 880 ,  1 790 ,  26 943 ,   188 ,  2 179 ,   54 ,   911 ,   5 ,  2 813 ,   14 ,   45 ,   215 ,  12 575 
OVINOS,,,  10 901 ,  263 238 ,  3 873 ,  51 599 ,   479 ,  16 869 ,   249 ,  3 744 ,   16 ,  1 717 ,   16 ,   182 ,   342 ,  3 159 
,Fêmeas reprodutoras,,  10 452 ,  222 276 ,  3 760 ,  44 679 ,   462 ,  14 982 ,   245 ,  2 926 ,   15 ,  1 630 ,   14 ,   145 ,   336 ,  2 843 
,Outros ovinos,,  6 713 ,  40 962 ,  1 988 ,  6 920 ,   197 ,  1 887 ,   191 ,   818 ,   6 ,   87 ,   13 ,   37 ,   125 ,   316 
CAPRINOS,,,  5 274 ,  46 562 ,  3 182 ,  16 515 ,   425 ,  2 044 ,   137 ,  2 121 ,   12 ,   214 ,   6 ,   22 ,   528 ,  2 061 
,Fêmeas reprodutoras,,  5 170 ,  40 863 ,  3 154 ,  14 522 ,   420 ,  1 801 ,   136 ,  1 878 ,   12 ,   201 ,   6 ,   19 ,   527 ,  1 886 
,Outros caprinos,,  1 982 ,  5 699 ,   958 ,  1 993 ,   101 ,   243 ,   69 ,   243 ,   4 ,   13 ,   3 ,   3 ,   103 ,   175 
EQUÍDEOS,,,  3 312 ,  10 444 ,   746 ,  1 410 ,   136 ,   335 ,   55 ,   108 ,   4 ,   42 ,   1 ,... ,   29 ,   56 
,Gado equino,,  1 429 ,  8 374 ,   187 ,   824 ,   26 ,   214 ,   18 ,   68 ,   4 ,   42 ,- ,- ,   12 ,   38 
,Fêmeas reprodutoras,,   847 ,  3 285 ,   99 ,   264 ,   14 ,   47 ,   13 ,   22 ,   2 ,... ,- ,- ,   3 ,   14 
,Outros equinos,,  1 091 ,  5 089 ,   141 ,   560 ,   19 ,   167 ,   10 ,   46 ,   4 ,   29 ,- ,- ,   11 ,   24 
,Gado asinino,,  1 224 ,  1 310 ,   342 ,   351 ,   53 ,   56 ,   18 ,   19 ,- ,- ,- ,- ,   10 ,   11 
,Gado muar,,   733 ,   760 ,   227 ,   235 ,   60 ,   65 ,   21 ,   21 ,- ,- ,   1 ,... ,   7 ,   7 
COELHAS reprodutoras,,,  11 706 ,  58 375 ,  2 329 ,  9 562 ,   161 ,   535 ,   91 ,   502 ,   4 ,   10 ,   9 ,   22 ,   355 ,  1 061 
AVES,,,,,,,,,,,,,,,,
,Frangos de carne (inclui galos),,  17 363 , 9 710 681 ,  3 805 , 1 475 951 ,   310 ,  1 962 ,   118 ,  13 027 ,   10 ,   110 ,   21 ,   252 ,   526 ,  362 391 
