Efectivo animal (Lezíria do Tejo),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,,,,Pág.6/7
,,,LISBOA E VALE DO TEJO,,Lezíria do Tejo,,Almeirim,,Alpiarça,,Azambuja,,Benavente,,Cartaxo,,Chamusca,
,,,Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº)
BOVINOS,,,"4,642","159,317",988,"63,643",15,"1,263",11,939,123,"3,671",100,"13,647",57,"4,250",41,"5,528"
Bovinos com menos de 1 ano,,,"3,147","51,864",700,"19,248",8,124,10,279,92,"1,300",75,"5,045",35,"1,019",23,"1,204"
,Vitelos de carne (para abate < 1 ano),,878,"9,563",227,"3,175",4,8,7,115,36,588,18,357,11,105,5,169
,Outros vitelos,,"2,394","42,301",511,"16,073",7,116,5,164,58,712,62,"4,688",26,914,20,"1,035"
,,Machos,"1,828","21,634",415,"7,793",5,34,5,84,46,405,53,"2,625",21,315,18,263
,,Fêmeas,"1,357","20,667",336,"8,280",5,82,5,80,24,307,48,"2,063",13,599,18,772
Bovinos de 1 a menos de 2 anos,,,"2,030","40,341",416,"11,459",5,873,5,112,43,806,53,"2,030",26,"1,005",20,826
,Machos,,"1,264","17,303",231,"4,557",3,624,3,33,24,381,33,844,17,246,10,238
,Fêmeas reprodutoras,,"1,051","19,988",263,"6,297",3,224,4,77,25,403,32,"1,093",10,702,15,577
,Fêmeas não reprodutoras,,242,"3,050",38,605,1,... ,1,... ,3,22,5,93,4,57,3,11
Bovinos de 2 anos e mais,,,"2,273","67,112",592,"32,936",9,266,9,548,57,"1,565",72,"6,572",29,"2,226",37,"3,498"
,Machos,,632,"3,438",246,"1,687",1,... ,5,15,20,134,42,297,10,258,26,60
,Novilhas reprodutoras,,789,"14,562",234,"7,083",2,... ,5,181,19,530,32,"1,016",11,473,23,891
,Novilhas não reprodutoras,,57,890,8,278,- ,- ,- ,- ,- ,- ,- ,- ,2,... ,1,... 
,Vacas leiteiras,,962,"28,478",197,"10,202",4,102,- ,- ,23,679,8,815,10,"1,094",3,"1,159"
,Outras vacas,,698,"19,744",234,"13,686",4,112,5,352,13,222,44,"4,444",9,236,18,"1,377"
SUÍNOS,,,"10,993","1,072,748","2,248","342,356",191,"2,296",50,"5,917",114,"37,802",115,"16,931",49,"33,295",42,"4,338"
,Suínos com menos de 20 kg de PV,,"2,995","299,875",695,"90,529",9,915,2,... ,36,"8,682",23,"5,906",24,"9,481",6,614
,Fêmeas reprodutoras de 50 kg de PV e mais,,"4,283","124,993","1,076","40,579",9,447,3,"1,040",48,"3,761",24,"2,331",25,"4,531",5,537
,Outros suínos,,"9,063","647,880","1,834","211,248",189,934,50,"2,067",93,"25,359",107,"8,694",46,"19,283",41,"3,187"
OVINOS,,,"10,901","263,238","2,504","72,586",99,"3,145",72,"2,851",145,"2,443",112,"6,035",93,"2,084",93,"6,406"
,Fêmeas reprodutoras,,"10,452","222,276","2,415","61,936",90,"2,758",66,"2,586",139,"2,252",108,"4,971",86,"1,804",89,"6,014"
,Outros ovinos,,"6,713","40,962","1,508","10,650",45,387,34,265,58,191,80,"1,064",67,280,60,392
CAPRINOS,,,"5,274","46,562",933,"11,921",21,63,4,14,53,"1,369",15,111,20,94,37,304
,Fêmeas reprodutoras,,"5,170","40,863",924,"10,568",20,61,4,11,53,"1,296",15,89,20,80,36,268
,Outros caprinos,,"1,982","5,699",362,"1,353",2,... ,3,3,23,73,9,22,10,14,14,36
EQUÍDEOS,,,"3,312","10,444",914,"4,124",50,130,12,25,144,596,66,781,67,299,41,213
,Gado equino,,"1,429","8,374",462,"3,627",14,93,4,17,66,498,64,773,51,279,27,199
,Fêmeas reprodutoras,,847,"3,285",325,"1,650",6,34,2,... ,40,241,40,362,35,122,23,98
,Outros equinos,,"1,091","5,089",345,"1,977",10,59,3,4,49,257,54,411,35,157,23,101
,Gado asinino,,"1,224","1,310",231,252,3,3,- ,- ,57,70,2,... ,14,16,6,6
,Gado muar,,733,760,239,245,33,34,8,8,26,28,3,3,4,4,8,8
COELHAS reprodutoras,,,"11,706","58,375","1,682","6,818",190,454,69,135,120,328,73,204,71,180,65,186
AVES,,,,,,,,,,,,,,,,,,
,Frangos de carne (inclui galos),,"17,363","9,710,681","3,375","3,352,251",586,"12,381",245,"1,891",153,"278,468",259,"3,461",87,"100,016",154,"2,052"
,Galinhas poedeiras e reprodutoras,,"25,970","4,410,908","5,211","659,994",605,"3,046",278,"1,555",420,"3,207",327,"108,295",243,"253,003",225,"6,340"
,Perús,,"1,795","1,137,946",389,"124,164",38,"9,954",15,28,13,81,42,218,21,"14,973",16,56
,"Patos, Gansos e pintadas",,"7,503","394,900","1,552","22,246",128,"1,105",97,793,131,"1,647",173,"2,198",85,766,61,536
ABELHAS,,,,,,,,,,,,,,,,,,
,Número de colmeias povoadas,,963,"16,775",216,"3,469",41,583,9,326,13,351,12,324,4,49,13,109
,Número de cortiços povoadas,,296,"1,962",91,644,6,50,1,... ,10,37,5,19,3,3,6,36
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,,,,,,,,
