"Explorações segundo o número de bovinos (Oeste, Grande Lisboa e Península de Setúbal - Classes do número de animais 1 a 29)",,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,Pág.1/4
REGIÃO AGRÁRIA,,,,Total,Classes do número de animais,,,,,,
,Nut III,,,,,,,,,,
,,Concelho,,,1,2,3 a 4,5 a 9,10 a 14,15 a 19,20 a 29
LISBOA E VALE DO TEJO,,,expl (nº),  4 642 ,   910 ,   775 ,   618 ,   644 ,   329 ,   163 ,   284 
,,,efect (nº),  159 317 ,   910 ,  1 550 ,  2 116 ,  4 218 ,  3 803 ,  2 732 ,  6 724 
,Oeste,,expl (nº),  2 097 ,   442 ,   355 ,   317 ,   314 ,   158 ,   66 ,   129 
,,,efect (nº),  46 008 ,   442 ,   710 ,  1 090 ,  2 028 ,  1 797 ,  1 108 ,  3 066 
,,Alcobaça,expl (nº),   512 ,   142 ,   105 ,   89 ,   74 ,   31 ,   12 ,   26 
,,,efect (nº),  5 498 ,   142 ,   210 ,   309 ,   477 ,   348 ,   207 ,   611 
,,Alenquer,expl (nº),   133 ,   27 ,   18 ,   18 ,   22 ,   17 ,   7 ,   7 
,,,efect (nº),  3 590 ,   27 ,   36 ,   61 ,   131 ,   198 ,   116 ,   167 
,,Arruda dos Vinhos,expl (nº),   49 ,   14 ,   5 ,   9 ,   5 ,   2 ,- ,   3 
,,,efect (nº),   946 ,   14 ,   10 ,   30 ,   34 ,... ,- ,   79 
,,Bombarral,expl (nº),   25 ,   6 ,   5 ,   3 ,   3 ,   3 ,- ,   1 
,,,efect (nº),   684 ,   6 ,   10 ,   10 ,   19 ,   32 ,- ,... 
,,Cadaval,expl (nº),   76 ,   12 ,   9 ,   9 ,   11 ,   4 ,   5 ,   10 
,,,efect (nº),  2 597 ,   12 ,   18 ,   31 ,   69 ,   51 ,   86 ,   229 
,,Caldas da Rainha,expl (nº),   206 ,   32 ,   35 ,   30 ,   37 ,   18 ,   4 ,   20 
,,,efect (nº),  4 735 ,   32 ,   70 ,   105 ,   239 ,   210 ,   63 ,   479 
,,Lourinhã,expl (nº),   119 ,   28 ,   22 ,   10 ,   16 ,   9 ,   3 ,   6 
,,,efect (nº),  3 595 ,   28 ,   44 ,   34 ,   102 ,   109 ,   46 ,   142 
,,Mafra,expl (nº),   464 ,   83 ,   71 ,   67 ,   73 ,   38 ,   16 ,   29 
,,,efect (nº),  10 900 ,   83 ,   142 ,   231 ,   495 ,   418 ,   269 ,   685 
,,Nazaré,expl (nº),   53 ,   16 ,   17 ,   8 ,   3 ,   1 ,   1 ,   2 
,,,efect (nº),  1 243 ,   16 ,   34 ,   28 ,   21 ,... ,... ,... 
,,Óbidos,expl (nº),   61 ,   22 ,   10 ,   11 ,   10 ,   1 ,   1 ,   1 
,,,efect (nº),   540 ,   22 ,   20 ,   40 ,   69 ,... ,... ,... 
,,Peniche,expl (nº),   33 ,   10 ,   5 ,   3 ,   4 ,   1 ,   1 ,   2 
,,,efect (nº),   764 ,   10 ,   10 ,   10 ,   24 ,... ,... ,... 
,,Sobral de Monte Agraço,expl (nº),   90 ,   15 ,   19 ,   16 ,   7 ,   9 ,   5 ,   3 
,,,efect (nº),  3 024 ,   15 ,   38 ,   55 ,   49 ,   108 ,   83 ,   77 
,,Torres Vedras,expl (nº),   276 ,   35 ,   34 ,   44 ,   49 ,   24 ,   11 ,   19 
,,,efect (nº),  7 892 ,   35 ,   68 ,   146 ,   299 ,   268 ,   187 ,   451 
,Grande Lisboa,,expl (nº),   319 ,   41 ,   61 ,   54 ,   46 ,   28 ,   9 ,   17 
,,,efect (nº),  11 272 ,   41 ,   122 ,   186 ,   312 ,   337 ,   154 ,   392 
,,Amadora,expl (nº),   4 ,- ,   1 ,- ,   1 ,- ,- ,- 
,,,efect (nº),   241 ,- ,... ,- ,... ,- ,- ,- 
