"Explorações segundo o número de caprinos (Oeste, Grande Lisboa e Península de Setúbal)",,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,Pág.1/2
REGIÃO AGRÁRIA,,,,Total,Classes do número de animais,,,,,
,Nut III,,,,,,,,,
,,Concelho,,,1 a 9,10 a 19,20 a 49,50 a 99,100 a 499,> = 500
LISBOA E VALE DO TEJO,,,expl (nº),  5 274 ,  4 417 ,   402 ,   261 ,   113 ,   80 ,   1 
,,,efect (nº),  46 562 ,  13 865 ,  5 111 ,  7 626 ,  7 930 ,  11 350 ,... 
,Oeste,,expl (nº),   715 ,   500 ,   66 ,   72 ,   44 ,   33 ,- 
,,,efect (nº),  12 243 ,  1 504 ,   870 ,  2 207 ,  3 104 ,  4 558 ,- 
,,Alcobaça,expl (nº),   174 ,   143 ,   16 ,   8 ,   4 ,   3 ,- 
,,,efect (nº),  1 574 ,   407 ,   196 ,   248 ,   318 ,   405 ,- 
,,Alenquer,expl (nº),   61 ,   43 ,   4 ,   8 ,   4 ,   2 ,- 
,,,efect (nº),   856 ,   120 ,   50 ,   253 ,   231 ,... ,- 
,,Arruda dos Vinhos,expl (nº),   31 ,   25 ,   4 ,   2 ,- ,- ,- 
,,,efect (nº),   189 ,   74 ,   62 ,... ,- ,- ,- 
,,Bombarral,expl (nº),   26 ,   18 ,   1 ,   3 ,   1 ,   3 ,- 
,,,efect (nº),   643 ,   47 ,... ,   67 ,... ,   445 ,- 
,,Cadaval,expl (nº),   60 ,   33 ,   6 ,   12 ,   6 ,   3 ,- 
,,,efect (nº),  1 384 ,   115 ,   81 ,   370 ,   484 ,   334 ,- 
,,Caldas da Rainha,expl (nº),   87 ,   61 ,   10 ,   11 ,   3 ,   2 ,- 
,,,efect (nº),  1 394 ,   170 ,   132 ,   386 ,   195 ,... ,- 
,,Lourinhã,expl (nº),   40 ,   24 ,   1 ,   3 ,   7 ,   5 ,- 
,,,efect (nº),  1 293 ,   55 ,... ,   98 ,   501 ,   627 ,- 
,,Mafra,expl (nº),   66 ,   53 ,   10 ,   3 ,- ,- ,- 
,,,efect (nº),   383 ,   165 ,   128 ,   90 ,- ,- ,- 
,,Nazaré,expl (nº),   16 ,   11 ,   1 ,   3 ,   1 ,- ,- 
,,,efect (nº),   186 ,   32 ,... ,   68 ,... ,- ,- 
,,Óbidos,expl (nº),   38 ,   31 ,   3 ,- ,   2 ,   2 ,- 
,,,efect (nº),   691 ,   101 ,   37 ,- ,... ,... ,- 
,,Peniche,expl (nº),   25 ,   11 ,   1 ,   5 ,   4 ,   4 ,- 
,,,efect (nº),   974 ,   43 ,... ,   126 ,   260 ,   533 ,- 
,,Sobral de Monte Agraço,expl (nº),   22 ,   18 ,   2 ,   2 ,- ,- ,- 
,,,efect (nº),   189 ,   86 ,... ,... ,- ,- ,- 
,,Torres Vedras,expl (nº),   69 ,   29 ,   7 ,   12 ,   12 ,   9 ,- 
,,,efect (nº),  2 487 ,   89 ,   99 ,   379 ,   834 ,  1 086 ,- 
,Grande Lisboa,,expl (nº),   232 ,   137 ,   44 ,   42 ,   8 ,   1 ,- 
,,,efect (nº),  3 120 ,   600 ,   580 ,  1 288 ,   495 ,... ,- 
,,Amadora,expl (nº),   9 ,   2 ,   3 ,   2 ,   1 ,   1 ,- 
,,,efect (nº),   308 ,... ,   33 ,... ,... ,... ,- 
,,Cascais,expl (nº),   12 ,   5 ,   4 ,   3 ,- ,- ,- 
,,,efect (nº),   148 ,   24 ,   52 ,   72 ,- ,- ,- 
,,Loures,expl (nº),   56 ,   38 ,   8 ,   10 ,- ,- ,- 
,,,efect (nº),   551 ,   139 ,   103 ,   309 ,- ,- ,- 
,,Odivelas,expl (nº),   11 ,   8 ,   3 ,- ,- ,- ,- 
,,,efect (nº),   92 ,   42 ,   50 ,- ,- ,- ,- 
,,Oeiras,expl (nº),   5 ,   1 ,   2 ,   1 ,   1 ,- ,- 
,,,efect (nº),   103 ,... ,... ,... ,... ,- ,- 
,,Sintra,expl (nº),   90 ,   55 ,   15 ,   16 ,   4 ,- ,- 
,,,efect (nº),  1 226 ,   257 ,   201 ,   505 ,   263 ,- ,- 
,,Vila Franca de Xira,expl (nº),   49 ,   28 ,   9 ,   10 ,   2 ,- ,- 
,,,efect (nº),   692 ,   124 ,   120 ,   323 ,... ,- ,- 
,Península de Setúbal,,expl (nº),   212 ,   152 ,   26 ,   19 ,   12 ,   3 ,- 
,,,efect (nº),  2 763 ,   503 ,   357 ,   541 ,   840 ,   522 ,- 
,,Alcochete,expl (nº),   3 ,   1 ,   2 ,- ,- ,- ,- 
,,,efect (nº),   30 ,... ,... ,- ,- ,- ,- 
,,Almada,expl (nº),   10 ,   8 ,- ,   1 ,   1 ,- ,- 
,,,efect (nº),   155 ,   36 ,- ,... ,... ,- ,- 
,,Barreiro,expl (nº),   5 ,   3 ,   1 ,- ,   1 ,- ,- 
,,,efect (nº),   77 ,   7 ,... ,- ,... ,- ,- 
,,Moita,expl (nº),   10 ,   6 ,   1 ,   2 ,   1 ,- ,- 
,,,efect (nº),   154 ,   21 ,... ,... ,... ,- ,- 
,,Montijo,expl (nº),   23 ,   18 ,   3 ,   1 ,   1 ,- ,- 
,,,efect (nº),   220 ,   66 ,   54 ,... ,... ,- ,- 
,,Palmela,expl (nº),   58 ,   39 ,   11 ,   5 ,   3 ,- ,- 
,,,efect (nº),   618 ,   124 ,   138 ,   164 ,   192 ,- ,- 
,,Seixal,expl (nº),   12 ,   8 ,   1 ,   1 ,   2 ,- ,- 
,,,efect (nº),   223 ,   25 ,... ,... ,... ,- ,- 
,,Sesimbra,expl (nº),   52 ,   39 ,   3 ,   5 ,   2 ,   3 ,- 
,,,efect (nº),   980 ,   120 ,   48 ,   154 ,... ,   522 ,- 
,,Setúbal,expl (nº),   39 ,   30 ,   4 ,   4 ,   1 ,- ,- 
,,,efect (nº),   306 ,   102 ,   42 ,   112 ,... ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
