Máquinas e equipamentos (Médio Tejo),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,Pág.4/5
,,,,LISBOA E VALE DO TEJO,Médio Tejo,Abrantes,Alcanena,Constância,Entroncamento,Ferreira do Zêzere,Ourém,Sardoal,Tomar,Torres Novas,Vila Nova da Barquinha
Explorações que utilizam tractores,,,expl (nº),  51 103 ,  10 934 ,  1 496 ,   713 ,   61 ,   40 ,  1 291 ,  2 935 ,   561 ,  1 883 ,  1 883 ,   71 
Máquinas pertencentes à exploração,,,,,,,,,,,,,,,
,Tractores ( de rodas e de rasto),,expl (nº),  24 753 ,  3 986 ,   631 ,   205 ,   36 ,   19 ,   375 ,  1 041 ,   125 ,   825 ,   706 ,   23 
,,,máq (nº),  33 589 ,  4 679 ,   760 ,   233 ,   66 ,   22 ,   434 ,  1 140 ,   147 ,   980 ,   870 ,   27 
,,De menos de 20 c.v.,expl (nº),  2 707 ,   952 ,   156 ,   28 ,   8 ,   6 ,   87 ,   281 ,   34 ,   266 ,   82 ,   4 
,,,máq (nº),  2 818 ,   996 ,   161 ,   28 ,   10 ,   6 ,   91 ,   297 ,   36 ,   279 ,   84 ,   4 
,,De 20 a menos de 34 c.v.,expl (nº),  4 498 ,  1 042 ,   142 ,   34 ,   11 ,   3 ,   133 ,   274 ,   63 ,   267 ,   110 ,   5 
,,,máq (nº),  4 580 ,  1 054 ,   144 ,   35 ,   11 ,   3 ,   135 ,   276 ,   63 ,   272 ,   110 ,   5 
,,De 34 a menos de 55 c.v.,expl (nº),  10 400 ,  1 298 ,   189 ,   74 ,   5 ,   7 ,   131 ,   379 ,   29 ,   217 ,   259 ,   8 
,,,máq (nº),  11 386 ,  1 369 ,   200 ,   75 ,   5 ,   7 ,   146 ,   392 ,   34 ,   231 ,   271 ,   8 
,,De 55 a menos de 82 c.v.,expl (nº),  9 104 ,   850 ,   152 ,   71 ,   9 ,   4 ,   50 ,   141 ,   8 ,   137 ,   271 ,   7 
,,,máq (nº),  11 814 ,  1 015 ,   191 ,   79 ,   23 ,   4 ,   58 ,   162 ,   11 ,   159 ,   321 ,   7 
,,De 82 a menos de 109 c.v,expl (nº),  1 682 ,   147 ,   35 ,   12 ,   9 ,   1 ,   2 ,   8 ,   2 ,   23 ,   54 ,   1 
,,,máq (nº),  2 098 ,   173 ,   42 ,   12 ,   12 ,... ,... ,   9 ,... ,   25 ,   66 ,... 
,,De 109 c.v. e mais,expl (nº),   634 ,   58 ,   20 ,   3 ,   3 ,   1 ,   2 ,   3 ,- ,   9 ,   16 ,   1 
,,,máq (nº),   893 ,   72 ,   22 ,   4 ,   5 ,... ,... ,   4 ,- ,   14 ,   18 ,... 
,Motocultivadores,,expl (nº),  15 950 ,  3 094 ,   430 ,   51 ,   25 ,   10 ,   302 ,  1 156 ,   198 ,   585 ,   313 ,   24 
,,,máq (nº),  18 118 ,  3 223 ,   437 ,   51 ,   25 ,   10 ,   322 ,  1 210 ,   200 ,   616 ,   328 ,   24 
,Motoenxadas (motofresas),,expl (nº),  7 133 ,  2 403 ,   123 ,   117 ,   4 ,   3 ,   445 ,   864 ,   21 ,   523 ,   299 ,   4 
,,,máq (nº),  7 717 ,  2 595 ,   126 ,   122 ,   5 ,   3 ,   493 ,   944 ,   21 ,   564 ,   313 ,   4 
,Motoceifeiras (motogadanheiras),,expl (nº),  1 096 ,   581 ,   24 ,   21 ,- ,   2 ,   104 ,   238 ,   9 ,   108 ,   72 ,   3 
,,,máq (nº),  1 134 ,   593 ,   24 ,   22 ,- ,... ,   108 ,   240 ,   9 ,   112 ,   73 ,   3 
,Electrobomba/motobomba,,expl (nº),  25 287 ,  5 880 ,   953 ,   238 ,   20 ,   38 ,   509 ,  1 398 ,   527 ,  1 174 ,   960 ,   63 
,,,máq (nº),  46 428 ,  9 431 ,  1 454 ,   342 ,   64 ,   45 ,  1 072 ,  2 135 ,   734 ,  1 674 ,  1 802 ,   109 
,Distribuidores de adubos e correctivos,,expl (nº),  5 577 ,   339 ,   49 ,   34 ,   6 ,   4 ,   12 ,   18 ,   1 ,   51 ,   158 ,   6 
,,,máq (nº),  6 319 ,   380 ,   61 ,   36 ,   6 ,   4 ,   16 ,   18 ,... ,   54 ,   178 ,   6 
,Semeadores,,expl (nº),  2 642 ,   256 ,   41 ,   20 ,   1 ,   2 ,   2 ,   88 ,   2 ,   27 ,   72 ,   1 
,,,máq (nº),  2 951 ,   271 ,   47 ,   21 ,... ,... ,... ,   88 ,... ,   29 ,   78 ,... 
,Plantadores/transplantadores,,expl (nº),  1 538 ,   56 ,   12 ,   2 ,   2 ,   1 ,   8 ,   4 ,   1 ,   5 ,   21 ,- 
,,,máq (nº),  1 688 ,   61 ,   14 ,... ,... ,... ,   10 ,   4 ,... ,   5 ,   21 ,- 
,Pulverizadores e polvilhadores,,expl (nº),  14 495 ,  1 338 ,   54 ,   21 ,   7 ,   5 ,   430 ,   175 ,   12 ,   344 ,   282 ,   8 
,,,máq (nº),  18 449 ,  1 718 ,   77 ,   25 ,   8 ,   5 ,   594 ,   185 ,   13 ,   455 ,   348 ,   8 
