Principais características da população familiar - Homem (Oeste),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,,,Pág.2/15
,,,LISBOA E VALE DO TEJO,Oeste,Alcobaça,Alenquer,Arruda dos Vinhos,Bombarral,Cadaval,Caldas da Rainha,Lourinhã,Mafra,Nazaré,Óbidos,Peniche,Sobral de Monte Agraço,Torres Vedras
,,,nº de indivíduos,,,,,,,,,,,,,,
Homem,,,,,,,,,,,,,,,,,
População familiar,,,  88 165 ,  37 313 ,  4 973 ,  4 631 ,  1 112 ,  1 786 ,  2 629 ,  3 865 ,  3 214 ,  4 028 ,   510 ,  1 658 ,  1 314 ,  1 030 ,  6 563 
Nível de instrução,,,,,,,,,,,,,,,,,
,Não sabe ler nem escrever,,  11 395 ,  5 661 ,   560 ,   761 ,   161 ,   273 ,   350 ,   582 ,   543 ,   650 ,   57 ,   279 ,   225 ,   215 ,  1 005 
,Sabe ler e escrever,,  9 788 ,  3 992 ,   495 ,   410 ,   87 ,   204 ,   252 ,   437 ,   439 ,   494 ,   42 ,   168 ,   150 ,   102 ,   712 
,Básico - 1º ciclo,,  37 213 ,  15 340 ,  2 213 ,  1 883 ,   531 ,   698 ,  1 127 ,  1 616 ,  1 237 ,  1 650 ,   228 ,   714 ,   513 ,   419 ,  2 511 
,Básico - 2º ciclo,,  11 749 ,  5 457 ,   778 ,   616 ,   151 ,   265 ,   354 ,   562 ,   506 ,   575 ,   75 ,   241 ,   224 ,   119 ,   991 
,Básico - 3º ciclo,,  9 052 ,  3 765 ,   518 ,   471 ,   82 ,   178 ,   273 ,   415 ,   288 ,   342 ,   51 ,   155 ,   137 ,   79 ,   776 
,Secundário agrícola,,   516 ,   197 ,   31 ,   31 ,   3 ,   12 ,   14 ,   21 ,   22 ,   25 ,   6 ,   4 ,   5 ,   2 ,   21 
,Secundário não agrícola,,  5 604 ,  2 088 ,   274 ,   331 ,   65 ,   104 ,   191 ,   180 ,   143 ,   194 ,   37 ,   74 ,   49 ,   60 ,   386 
