Produtor singular segundo a OTE e as classes de idade,,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,Pág.1/12
REGIÃO AGRÁRIA,,,,Total,Cereais Plantas olea./prot.,Culturas agrícolas diversas,Horticultura,Viticultura,Fruticultura,Olivicultura,Culturas permanentes diversas,Bovinos                de leite,Bovinos para gado/carne
,Nut III,,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,,
LISBOA E VALE DO TEJO,,,,,,,,,,,,,
,,,Total,  59 944 ,  1 331 ,  4 943 ,  4 614 ,  10 738 ,  6 652 ,  6 181 ,  7 754 ,   343 ,   619 
,,,15 - 24,   299 ,   12 ,   38 ,   24 ,   31 ,   33 ,   15 ,   21 ,   4 ,   28 
,,,25 - 34,  2 227 ,   95 ,   321 ,   297 ,   265 ,   296 ,   118 ,   137 ,   26 ,   72 
,,,35 - 44,  6 108 ,   187 ,   754 ,   641 ,   913 ,   696 ,   413 ,   524 ,   49 ,   115 
,,,45 - 54,  11 532 ,   252 ,  1 096 ,   891 ,  2 076 ,  1 322 ,   919 ,  1 304 ,   94 ,   147 
,,,55 - 64,  17 131 ,   326 ,  1 290 ,  1 314 ,  3 175 ,  1 892 ,  1 539 ,  2 233 ,   115 ,   132 
,,,>= 65,  22 647 ,   459 ,  1 444 ,  1 447 ,  4 278 ,  2 413 ,  3 177 ,  3 535 ,   55 ,   125 
,Oeste,,,,,,,,,,,,
,,,Total,  22 855 ,   281 ,  2 347 ,  1 926 ,  5 125 ,  4 270 ,   42 ,  1 876 ,   169 ,   297 
,,,15 - 24,   130 ,   2 ,   9 ,   13 ,   15 ,   28 ,- ,   10 ,   2 ,   14 
,,,25 - 34,  1 031 ,   18 ,   100 ,   197 ,   129 ,   235 ,   1 ,   60 ,   15 ,   38 
,,,35 - 44,  2 671 ,   33 ,   283 ,   359 ,   458 ,   505 ,   2 ,   163 ,   21 ,   62 
,,,45 - 54,  4 806 ,   49 ,   529 ,   423 ,  1 031 ,   895 ,   12 ,   370 ,   58 ,   75 
,,,55 - 64,  6 766 ,   78 ,   645 ,   523 ,  1 488 ,  1 256 ,   14 ,   582 ,   51 ,   59 
,,,>= 65,  7 451 ,   101 ,   781 ,   411 ,  2 004 ,  1 351 ,   13 ,   691 ,   22 ,   49 
,,Alcobaça,,,,,,,,,,,
,,,Total,  3 097 ,   30 ,   210 ,   57 ,   119 ,   971 ,   29 ,   252 ,   27 ,   40 
,,,15 - 24,   10 ,- ,   2 ,- ,- ,   5 ,- ,- ,- ,   2 
,,,25 - 34,   99 ,   2 ,   3 ,   5 ,   2 ,   37 ,   1 ,   2 ,   3 ,   5 
,,,35 - 44,   329 ,   2 ,   32 ,   7 ,   11 ,   97 ,- ,   15 ,   2 ,   7 
,,,45 - 54,   731 ,   3 ,   53 ,   12 ,   30 ,   226 ,   7 ,   47 ,   8 ,   6 
,,,55 - 64,   953 ,   7 ,   60 ,   21 ,   33 ,   288 ,   10 ,   67 ,   8 ,   9 
,,,>= 65,   975 ,   16 ,   60 ,   12 ,   43 ,   318 ,   11 ,   121 ,   6 ,   11 
,,Alenquer,,,,,,,,,,,
,,,Total,  2 637 ,   30 ,   63 ,   10 ,  1 734 ,   117 ,   2 ,   209 ,   1 ,   21 
,,,15 - 24,   9 ,- ,   2 ,- ,   4 ,   1 ,- ,- ,- ,   1 
,,,25 - 34,   84 ,   2 ,   2 ,   2 ,   49 ,   3 ,- ,   5 ,- ,   2 
,,,35 - 44,   246 ,   8 ,   11 ,   3 ,   151 ,   9 ,- ,   9 ,- ,   2 
,,,45 - 54,   549 ,   5 ,   15 ,- ,   363 ,   24 ,   1 ,   42 ,   1 ,   11 
,,,55 - 64,   791 ,   5 ,   14 ,   2 ,   507 ,   39 ,   1 ,   77 ,- ,   1 
,,,>= 65,   958 ,   10 ,   19 ,   3 ,   660 ,   41 ,- ,   76 ,- ,   4 
,,Arruda dos Vinhos,,,,,,,,,,,
,,,Total,   785 ,   32 ,   40 ,   32 ,   384 ,   49 ,   2 ,   69 ,   3 ,   4 
,,,15 - 24,   6 ,- ,- ,- ,   3 ,   1 ,- ,- ,- ,- 
,,,25 - 34,   20 ,   1 ,   5 ,- ,   4 ,   1 ,- ,   2 ,- ,   2 
,,,35 - 44,   62 ,   6 ,   2 ,   3 ,   28 ,   4 ,- ,   5 ,   1 ,- 
,,,45 - 54,   165 ,   7 ,   12 ,   12 ,   73 ,   10 ,   1 ,   12 ,- ,   1 
,,,55 - 64,   237 ,   9 ,   12 ,   14 ,   113 ,   13 ,   1 ,   26 ,   2 ,   1 
,,,>= 65,   295 ,   9 ,   9 ,   3 ,   163 ,   20 ,- ,   24 ,- ,- 
,,Bombarral,,,,,,,,,,,
,,,Total,  1 107 ,- ,   16 ,   21 ,   174 ,   545 ,   1 ,   246 ,   1 ,   1 
,,,15 - 24,   8 ,- ,- ,- ,- ,   4 ,- ,   2 ,- ,- 
,,,25 - 34,   61 ,- ,   2 ,   6 ,   1 ,   38 ,- ,   9 ,- ,   1 
,,,35 - 44,   151 ,- ,   2 ,   3 ,   17 ,   78 ,- ,   34 ,- ,- 
,,,45 - 54,   222 ,- ,   5 ,   7 ,   28 ,   103 ,- ,   55 ,- ,- 
,,,55 - 64,   291 ,- ,   2 ,   3 ,   41 ,   149 ,   1 ,   68 ,- ,- 
,,,>= 65,   374 ,- ,   5 ,   2 ,   87 ,   173 ,- ,   78 ,   1 ,- 
,,Cadaval,,,,,,,,,,,
,,,Total,  1 655 ,   4 ,   35 ,   1 ,   553 ,   561 ,   3 ,   276 ,   7 ,   9 
,,,15 - 24,   16 ,- ,- ,- ,   2 ,   8 ,- ,   2 ,   1 ,   1 
,,,25 - 34,   86 ,- ,   4 ,- ,   16 ,   44 ,- ,   9 ,   1 ,   1 
,,,35 - 44,   202 ,   1 ,   5 ,- ,   50 ,   86 ,   1 ,   29 ,   1 ,   2 
,,,45 - 54,   339 ,   1 ,   9 ,- ,   115 ,   108 ,   1 ,   55 ,- ,   2 
,,,55 - 64,   480 ,- ,   5 ,- ,   159 ,   161 ,- ,   97 ,   2 ,   1 
,,,>= 65,   532 ,   2 ,   12 ,   1 ,   211 ,   154 ,   1 ,   84 ,   2 ,   2 
,,Caldas da Rainha,,,,,,,,,,,
,,,Total,  2 246 ,   11 ,   174 ,   56 ,   257 ,   707 ,   4 ,   220 ,   5 ,   44 
,,,15 - 24,   16 ,   1 ,- ,- ,   3 ,   4 ,- ,   2 ,- ,   2 
,,,25 - 34,   103 ,- ,- ,   9 ,   5 ,   50 ,- ,   8 ,   1 ,   4 
,,,35 - 44,   268 ,   1 ,   14 ,   3 ,   26 ,   102 ,   1 ,   19 ,- ,   12 
,,,45 - 54,   473 ,   2 ,   35 ,   15 ,   61 ,   163 ,   1 ,   41 ,   1 ,   9 
,,,55 - 64,   668 ,   3 ,   50 ,   15 ,   70 ,   205 ,   1 ,   67 ,   3 ,   7 
,,,>= 65,   718 ,   4 ,   75 ,   14 ,   92 ,   183 ,   1 ,   83 ,- ,   10 
,,Lourinhã,,,,,,,,,,,
,,,Total,  1 962 ,   11 ,   657 ,   275 ,   60 ,   199 ,- ,   74 ,   6 ,   13 
,,,15 - 24,   21 ,- ,   3 ,   6 ,   1 ,- ,- ,- ,- ,   1 
,,,25 - 34,   127 ,   2 ,   41 ,   35 ,   3 ,   8 ,- ,   2 ,- ,   2 
,,,35 - 44,   270 ,   1 ,   82 ,   55 ,   3 ,   19 ,- ,   6 ,   1 ,   2 
,,,45 - 54,   441 ,- ,   152 ,   64 ,   15 ,   40 ,- ,   20 ,   3 ,   2 
,,,55 - 64,   534 ,   5 ,   164 ,   67 ,   17 ,   56 ,- ,   21 ,   2 ,   4 
,,,>= 65,   569 ,   3 ,   215 ,   48 ,   21 ,   76 ,- ,   25 ,- ,   2 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,,,
