"Explorações com rega e drenagem (Total e Pinhal Interior Sul, página 1)",,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,pág. 1/5
,,,,BEIRA INTERIOR,Pinhal Interior Sul,Mação,Oleiros,Proença-a-Nova,Sertã,Vila de Rei
Superfície irrigável,,,expl (nº),"36,476","5,871",635,"1,365","1,253","2,405",213
,,,área (ha),"92,711","4,359",441,623,"1,009","2,185",101
Sistema de rega ,,,,,,,,,,
,Colectivo estatal,,expl (nº),"2,657",112,15,48,20,23,6
,Colectivo privado,,expl (nº),"4,286",490,34,191,202,57,6
,Individual,,expl (nº),"32,837","5,640",604,"1,262","1,199","2,371",204
Origem das águas de rega,,,,,,,,,,
,"Furo, poço, nascente",,expl (nº),"31,931","5,428",592,"1,110","1,202","2,321",203
,Albufeira (barragem),,expl (nº),"1,648",57,20,1,13,20,3
,Açude,,expl (nº),961,209,6,8,150,44,1
,Charca,,expl (nº),"2,514",79,16,4,48,10,1
,Curso de água natural,,expl (nº),"7,195","1,011",87,482,116,318,8
,Outra,,expl (nº),609,63,5,21,14,21,2
Método de colocação de água no terreno,,,,,,,,,,
,Sem elevação,,expl (nº),"9,993","1,573",167,731,257,402,16
,Com elevação,,expl (nº),"31,153","5,146",581,924,"1,149","2,292",200
,,Motor electrico,expl (nº),"10,828","3,952",399,668,710,"2,037",138
,,Motor a carburante,expl (nº),"23,588","2,357",358,309,875,669,146
,,Outros meios,expl (nº),"1,124",127,17,23,64,23,- 
Superfície drenada,,,expl (nº),602,25,19,- ,4,2,- 
,,,área (ha),"3,025",20,18,- ,1,... ,- 
Superfície com encharcamento,,,expl (nº),463,31,3,- ,- ,28,- 
,,,área (ha),"1,064",9,1,- ,- ,8,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,
