"Culturas regadas, página 2",,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 2/2
Região Agrária,,,Beterraba sacarina,Girasol,Tomate para indústria,Hortícolas              ao ar livre,"Prados, Pastagens Permanentes",Pomares excepto citrinos,Citrinos,Vinha para uva de mesa,Vinha para Vinho,Olival,Outras excepto a da horta familiar
Nut III,,,,,,,,,,,,,
Concelho,,,,,,,,,,,,,
BEIRA INTERIOR,,expl (nº),3,37,- ,"1,287","1,719","4,315","1,544",21,410,"2,101","6,118"
,,área regada (ha),2,691,- ,304,"4,742","5,646",257,15,223,"1,495","4,405"
Pinhal Interior Sul ,,expl (nº),- ,- ,- ,10,12,125,112,1,55,61,312
,,área regada (ha),- ,- ,- ,9,16,49,23,... ,17,40,41
,Mação,expl (nº),- ,- ,- ,2,1,47,56,- ,26,29,53
,,área regada (ha),- ,- ,- ,... ,... ,10,12,- ,12,14,9
,Oleiros,expl (nº),- ,- ,- ,- ,- ,27,1,- ,6,1,134
,,área regada (ha),- ,- ,- ,- ,- ,12,... ,- ,1,... ,13
,Proença-a-Nova,expl (nº),- ,- ,- ,3,2,34,48,1,17,22,40
,,área regada (ha),- ,- ,- ,2,... ,8,11,... ,3,18,4
,Sertã,expl (nº),- ,- ,- ,5,9,13,6,- ,3,5,47
,,área regada (ha),- ,- ,- ,5,15,17,o ,- ,1,4,13
,Vila de Rei,expl (nº),- ,- ,- ,- ,- ,4,1,- ,3,4,38
,,área regada (ha),- ,- ,- ,- ,- ,2,... ,- ,o ,4,2
Serra da Estrela,,expl (nº),2,2,- ,94,247,217,6,3,67,102,"1,601"
,,área regada (ha),... ,... ,- ,39,579,249,o ,o ,58,78,596
,Fornos de Algodres,expl (nº),- ,- ,- ,7,96,44,1,1,3,5,403
,,área regada (ha),- ,- ,- ,o ,98,26,... ,... ,1,2,74
,Gouveia,expl (nº),2,- ,- ,39,71,63,2,1,2,35,273
,,área regada (ha),... ,- ,- ,32,354,94,... ,... ,... ,28,108
,Seia,expl (nº),- ,2,- ,48,80,110,3,1,62,62,925
,,área regada (ha),- ,... ,- ,7,127,129,o ,... ,57,48,414
Beira Interior Norte,,expl (nº),1,1,- ,389,"1,091",942,14,- ,38,677,"2,763"
,,área regada (ha),... ,... ,- ,75,"2,519","1,470",6,- ,18,498,649
,Almeida,expl (nº),- ,- ,- ,2,10,18,- ,- ,- ,2,76
,,área regada (ha),- ,- ,- ,... ,15,10,- ,- ,- ,... ,10
,Celorico da Beira,expl (nº),- ,1,- ,66,120,53,- ,- ,9,154,493
,,área regada (ha),- ,... ,- ,16,331,101,- ,- ,4,119,92
,Figueira de Castelo Rodrigo,expl (nº),- ,- ,- ,1,18,18,7,- ,2,19,17
,,área regada (ha),- ,- ,- ,... ,117,33,4,- ,... ,70,21
,Guarda,expl (nº),- ,- ,- ,26,666,338,2,- ,23,316,661
,,área regada (ha),- ,- ,- ,34,"1,392",453,... ,- ,11,206,217
,Manteigas,expl (nº),- ,- ,- ,41,51,10,- ,- ,- ,32,5
,,área regada (ha),- ,- ,- ,8,91,43,- ,- ,- ,11,4
,Meda,expl (nº),- ,- ,- ,2,1,65,2,- ,- ,10,98
,,área regada (ha),- ,- ,- ,... ,... ,136,... ,- ,- ,31,71
,Pinhel,expl (nº),1,- ,- ,72,130,210,1,- ,2,15,253
,,área regada (ha),... ,- ,- ,11,245,389,... ,- ,... ,23,98
,Sabugal,expl (nº),- ,- ,- ,179,58,119,2,- ,1,110,916
,,área regada (ha),- ,- ,- ,6,168,94,... ,- ,... ,32,67
,Trancoso,expl (nº),- ,- ,- ,- ,37,111,- ,- ,1,19,244
,,área regada (ha),- ,- ,- ,- ,153,211,- ,- ,... ,6,69
Beira Interior Sul,,expl (nº),- ,29,- ,88,107,"1,230","1,190",16,93,364,412
,,área regada (ha),- ,655,- ,28,728,405,183,15,50,374,"2,643"
,Castelo Branco,expl (nº),- ,3,- ,26,33,641,640,1,52,215,138
,,área regada (ha),- ,52,- ,7,159,262,87,... ,36,200,355
,Idanha-a-Nova,expl (nº),- ,23,- ,34,47,365,362,12,11,95,97
,,área regada (ha),- ,571,- ,16,496,70,61,15,5,97,"2,156"
,Penamacor,expl (nº),- ,- ,- ,23,21,92,34,1,11,29,155
,,área regada (ha),- ,- ,- ,2,57,48,7,... ,2,45,37
,Vila Velha de Ródão,expl (nº),- ,3,- ,5,6,132,154,2,19,25,22
,,área regada (ha),- ,32,- ,3,16,25,28,... ,7,32,95
Cova da Beira,,expl (nº),- ,5,- ,706,262,"1,801",222,1,157,897,"1,030"
,,área regada (ha),- ,36,- ,153,900,"3,473",45,... ,80,505,476
,Belmonte,expl (nº),- ,- ,- ,63,80,245,2,- ,2,222,136
,,área regada (ha),- ,- ,- ,18,146,479,... ,- ,... ,118,25
,Covilhã,expl (nº),- ,2,- ,414,150,567,6,- ,66,308,442
,,área regada (ha),- ,... ,- ,85,585,"1,051",o ,- ,33,143,139
,Fundão,expl (nº),- ,3,- ,229,32,989,214,1,89,367,452
,,área regada (ha),- ,22,- ,50,169,"1,943",45,... ,45,244,312
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,,,
