Explorações segundo o número de Suínos,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999
Região Agrária,,,,Total,Classes do número de animais,,,,,,,,,
Nut III,,,,,,,,,,,,,,
Concelho,,,,,1 a 2,3 a 4,5 a 9,10 a 19,20 a 49,50 a 99,100 a 199,200 a 399,400 a 999,> = 1000
BEIRA INTERIOR,,,expl (nº),"10,744","8,832","1,220",344,171,85,37,13,13,16,13
,,,efect (nº),"71,047","13,016","4,000","2,115","2,194","2,552","2,425","1,756","3,574","9,533","29,882"
,Pinhal Interior Sul ,,expl (nº),"3,073","2,675",282,61,21,12,8,3,3,6,2
,,,efect (nº),"18,778","3,950",892,384,286,403,524,436,781,"3,854",... 
,,Mação,expl (nº),479,394,55,11,3,5,4,1,2,4,- 
,,,efect (nº),"4,849",586,171,70,43,200,267,... ,... ,"2,748",- 
,,Oleiros,expl (nº),555,512,38,3,1,- ,1,- ,- ,- ,- 
,,,efect (nº),941,741,119,15,... ,- ,... ,- ,- ,- ,- 
,,Proença-a-Nova,expl (nº),705,607,72,19,4,1,- ,1,1,- ,- 
,,,efect (nº),"1,685",935,225,122,59,... ,- ,... ,... ,- ,- 
,,Sertã,expl (nº),"1,136",977,109,26,12,6,3,- ,- ,1,2
,,,efect (nº),"10,275","1,418",351,166,154,173,204,- ,- ,... ,... 
,,Vila de Rei,expl (nº),198,185,8,2,1,- ,- ,1,- ,1,- 
,,,efect (nº),"1,028",270,26,... ,... ,- ,- ,... ,- ,... ,- 
,Serra da Estrela,,expl (nº),692,596,68,15,6,4,- ,1,- ,2,- 
,,,efect (nº),"2,792",866,230,96,93,111,- ,... ,- ,... ,- 
,,Fornos de Algodres,expl (nº),146,129,12,4,1,- ,- ,- ,- ,- ,- 
,,,efect (nº),276,196,41,26,... ,- ,- ,- ,- ,- ,- 
,,Gouveia,expl (nº),217,178,28,5,1,3,- ,1,- ,1,- 
,,,efect (nº),"1,175",270,94,33,... ,86,- ,... ,- ,... ,- 
,,Seia,expl (nº),329,289,28,6,4,1,- ,- ,- ,1,- 
,,,efect (nº),"1,341",400,95,37,64,... ,- ,- ,- ,... ,- 
,Beira Interior Norte,,expl (nº),"3,029","2,339",448,130,66,27,10,1,2,2,4
,,,efect (nº),"17,762","3,636","1,469",790,829,735,717,... ,... ,... ,"7,757"
,,Almeida,expl (nº),200,114,50,19,11,4,- ,- ,- ,- ,2
,,,efect (nº),"5,737",199,164,114,134,107,- ,- ,- ,- ,... 
,,Celorico da Beira,expl (nº),177,122,32,14,6,1,1,1,- ,- ,- 
,,,efect (nº),680,198,105,87,82,... ,... ,... ,- ,- ,- 
,,Figueira de Castelo Rodrigo,expl (nº),123,64,30,15,10,3,1,- ,- ,- ,- 
,,,efect (nº),583,104,100,98,133,88,... ,- ,- ,- ,- 
,,Guarda,expl (nº),867,718,93,22,14,12,3,- ,2,1,2
,,,efect (nº),"6,147","1,088",304,124,163,321,228,- ,... ,... ,... 
,,Manteigas,expl (nº),45,32,10,2,1,- ,- ,- ,- ,- ,- 
,,,efect (nº),102,46,30,... ,... ,- ,- ,- ,- ,- ,- 
,,Meda,expl (nº),136,119,13,3,1,- ,- ,- ,- ,- ,- 
,,,efect (nº),261,183,44,17,... ,- ,- ,- ,- ,- ,- 
,,Pinhel,expl (nº),389,325,47,8,7,1,1,- ,- ,- ,- 
,,,efect (nº),885,483,155,47,87,... ,... ,- ,- ,- ,- 
,,Sabugal,expl (nº),728,559,114,38,8,4,4,- ,- ,1,- 
,,,efect (nº),"2,539",892,376,240,105,120,286,- ,- ,... ,- 
,,Trancoso,expl (nº),364,286,59,9,8,2,- ,- ,- ,- ,- 
,,,efect (nº),828,443,191,52,93,... ,- ,- ,- ,- ,- 
,Beira Interior Sul,,expl (nº),"2,111","1,777",174,66,33,23,16,6,8,6,2
,,,efect (nº),"17,983","2,503",585,404,428,703,"1,000",745,"2,264","3,214",... 
,,Castelo Branco,expl (nº),984,851,69,18,8,12,10,4,6,4,2
,,,efect (nº),"13,200","1,191",231,108,96,372,639,472,"1,763","2,191",... 
,,Idanha-a-Nova,expl (nº),520,413,57,23,15,9,3,- ,- ,- ,- 
,,,efect (nº),"1,590",580,191,150,198,268,203,- ,- ,- ,- 
,,Penamacor,expl (nº),361,298,33,19,8,1,1,- ,1,- ,- 
,,,efect (nº),"1,118",431,111,114,99,... ,... ,- ,... ,- ,- 
,,Vila Velha de Ródão,expl (nº),246,215,15,6,2,1,2,2,1,2,- 
,,,efect (nº),"2,075",301,52,32,... ,... ,... ,... ,... ,... ,- 
,Cova da Beira,,expl (nº),"1,839","1,445",248,72,45,19,3,2,- ,- ,5
,,,efect (nº),"13,732","2,061",824,441,558,600,184,... ,- ,- ,"8,720"
,,Belmonte,expl (nº),282,212,47,15,6,2,- ,- ,- ,- ,- 
,,,efect (nº),731,319,158,93,80,... ,- ,- ,- ,- ,- 
,,Covilhã,expl (nº),751,549,123,34,30,10,2,- ,- ,- ,3
,,,efect (nº),"6,963",785,407,211,373,294,... ,- ,- ,- ,"4,773"
,,Fundão,expl (nº),806,684,78,23,9,7,1,2,- ,- ,2
,,,efect (nº),"6,038",957,259,137,105,225,... ,... ,- ,- ,... 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,,,,
