Máquinas e equipamentos (Total e Pinhal Interior Sul),,,,,,,,,
,,,,,,,,,1999
,,,,,,,,,pág. 1/5
,,,BEIRA INTERIOR,Pinhal Interior Sul,Mação,Oleiros,Proença-a-Nova,Sertã,Vila de Rei
Explorações que utilizam tractores Máquinas pertencentes à exploração,,expl (nº),"39,389","6,206","1,129","1,417","1,372","1,943",345
Tractores ( de rodas e de rasto),,expl (nº),"15,094","2,158",403,395,497,689,174
,,máq (nº),"17,001","2,304",434,407,515,763,185
,De menos de 20 c.v.,expl (nº),"2,125",676,131,109,112,226,98
,,máq (nº),"2,156",694,133,111,112,237,101
,De 20 a menos de 34 c.v.,expl (nº),"4,474","1,086",174,219,267,374,52
,,máq (nº),"4,504","1,096",176,221,270,375,54
,De 34 a menos de 55 c.v.,expl (nº),"7,172",378,83,58,99,110,28
,,máq (nº),"7,551",390,86,60,102,112,30
,De 55 a menos de 82 c.v.,expl (nº),"1,996",105,32,11,29,33,- 
,,máq (nº),"2,323",111,34,12,30,35,- 
,De 82 a menos de 109 c.v,expl (nº),288,11,4,2,1,4,- 
,,máq (nº),332,11,4,... ,... ,4,- 
,De 109 c.v. e mais,expl (nº),117,2,1,1,- ,- ,- 
,,máq (nº),135,... ,... ,... ,- ,- ,- 
Motocultivadores,,expl (nº),"8,229","1,770",303,286,318,732,131
,,máq (nº),"8,446","1,829",315,292,324,765,133
Motoenxadas (motofresas),,expl (nº),"2,685",345,72,50,63,97,63
,,máq (nº),"2,752",352,73,51,66,97,65
Motoceifeiras (motogadanheiras),,expl (nº),"1,245",331,42,3,86,195,5
,,máq (nº),"1,310",342,43,3,89,201,6
Electrobomba/motobomba,,expl (nº),"28,602","6,327","1,251","1,046","1,336","2,236",458
,,máq (nº),"50,768","10,369","2,101","1,317","2,381","3,787",783
Distribuidores de adubos e correctivos,,expl (nº),"1,499",27,10,- ,4,13,- 
,,máq (nº),"1,648",28,11,- ,4,13,- 
Semeadores,,expl (nº),"1,079",14,5,- ,- ,8,1
,,máq (nº),"1,179",14,5,- ,- ,8,... 
Plantadores/transplantadores,,expl (nº),212,5,3,- ,1,1,- 
,,máq (nº),242,5,3,- ,... ,... ,- 
Pulverizadores e polvilhadores,,expl (nº),"3,645",164,24,9,55,75,1
,,máq (nº),"3,992",179,25,9,63,81,... 
Gadanheiras,,expl (nº),"2,554",96,18,1,26,50,1
,,máq (nº),"2,782",101,18,... ,27,54,... 
Colhedores de forragem,,expl (nº),217,9,- ,1,- ,8,- 
,,máq (nº),243,9,- ,... ,- ,8,- 
Enfardadeiras,,expl (nº),"1,303",26,10,- ,3,13,- 
,,máq (nº),"1,370",27,10,- ,3,14,- 
Ceifeiras-debulhadoras,,expl (nº),307,9,1,2,3,3,- 
,,máq (nº),329,9,... ,... ,3,3,- 
Secadores de cereais,,expl (nº),18,1,- ,- ,- ,1,- 
,,máq (nº),27,... ,- ,- ,- ,... ,- 
Viradores de feno,,expl (nº),"1,394",21,8,- ,1,12,- 
,,máq (nº),"1,442",21,8,- ,... ,12,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,
