Principais Características da População Familiar - Homem/Mulher (Beira Interior Sul),,,,,,,,,
,,,,,,,1999,,
,,,,,,,pág. 10/15,,
,,,Beira Interior Sul,Castelo Branco,Idanha-a-Nova,Penamacor,Vila Velha de Rodão,,
,,,nº de indivíduos,,,,,,
Homem / Mulher,,,,,,,,,
População familiar,,,"22,417","11,313","4,901","3,655","2,548",,
Nível de instrução,,,,,,,,,
,Não sabe ler nem escrever,,"5,063","2,318","1,311","1,041",393,,
,Sabe ler e escrever,,"3,491","1,787",661,589,454,,
,Básico - 1º ciclo,,"7,859","4,188","1,597","1,147",927,,
,Básico - 2º ciclo,,"1,710",806,353,324,227,,
,Básico - 3º ciclo,,"1,711",916,384,219,192,,
,Secundário agrícola,,106,49,29,15,13,,
,Secundário não agrícola,,"1,306",667,272,189,178,,
,Politécnico / Superior agrícola,,177,96,49,16,16,,
,Politécnico / Superior não agrícola,,994,486,245,115,148
Formação profissional agrícola,,,,,,,
,Exclusivamente prática,,"19,319","10,154","3,824","3,048","2,293"
,Curta duração,,152,51,19,77,5
,Longa duração,,179,46,66,59,8
,Longa e curta duração,,99,30,44,21,4
,Completa,,283,145,78,31,29
Tempo de actividade agrícola ,,,,,,,
,Sem actividade,,"2,806","1,112",981,474,239
,Tempo parcial,,"18,810","9,792","3,618","3,116","2,284"
,,> 0 - < 25%,"8,403","4,044","1,742","1,116","1,501"
,,25 - < 50%,"4,435","2,615",686,732,402
,,50 - < 75%,"2,871","1,481",559,588,243
,,75 - < 100%,"3,101","1,652",631,680,138
,Tempo completo,,801,409,302,65,25
Actividades remuneradas exterior à exploração,,,,,,,
,Principal,,"5,787","3,162","1,141",786,698
,,Sector primário,580,207,207,110,56
,,Sector secundário,"1,846","1,193",258,180,215
,,Sector terciário,"3,361","1,762",676,496,427
,Secundária,,106,73,19,9,5
,,Sector primário,38,27,6,3,2
,,Sector secundário,25,17,4,4,- 
,,Sector terciário,43,29,9,2,3
Situação na profissão exterior à exploração,,,,,,,
,Patrão/empregador,,534,298,131,48,57
,Trabalhador por conta própria,,780,435,146,127,72
,Trabalhador por conta de outrem,,"4,431","2,417",869,591,554
,Trabalhador familiar remunerado,,17,9,3,2,3
,Outra situação,,131,76,11,27,17
Dirigente na população familiar,,,"9,541","4,697","2,105","1,625","1,114"
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,
