Principais Características da População Familiar - Homem/Mulher (Cova da Beira),,,,,,
,,,,,,1999
,,,,,,pág. 13/15
,,,Cova da Beira,Belmonte,Covilhã,Fundão
,,,nº de indivíduos,,,
Homem / Mulher,,,,,,
População familiar,,,"22,222","2,574","7,519","12,129"
Nível de instrução,,,,,,
,Não sabe ler nem escrever,,"4,901",558,"1,459","2,884"
,Sabe ler e escrever,,"3,039",330,"1,013","1,696"
,Básico - 1º ciclo,,"8,045","1,008","2,837","4,200"
,Básico - 2º ciclo,,"2,344",233,841,"1,270"
,Básico - 3º ciclo,,"1,967",185,730,"1,052"
,Secundário agrícola,,53,7,15,31
,Secundário não agrícola,,"1,080",142,341,597
,Politécnico / Superior agrícola,,59,9,18,32
,Politécnico / Superior não agrícola,,734,102,265,367
Formação profissional agrícola,,,,,,
,Exclusivamente prática,,"18,985","2,264","6,383","10,338"
,Curta duração,,281,32,93,156
,Longa duração,,148,23,54,71
,Longa e curta duração,,70,14,28,28
,Completa,,112,16,33,63
Tempo de actividade agrícola ,,,,,,
,Sem actividade,,"3,088",255,"1,108","1,725"
,Tempo parcial,,"17,659","2,009","6,160","9,490"
,,> 0 - < 25%,"7,262",825,"2,901","3,536"
,,25 - < 50%,"4,501",604,"1,535","2,362"
,,50 - < 75%,"2,947",323,938,"1,686"
,,75 - < 100%,"2,949",257,786,"1,906"
,Tempo completo,,"1,475",310,251,914
Actividades remuneradas exterior à exploração,,,,,,
,Principal,,"5,784",668,"2,092","3,024"
,,Sector primário,523,31,177,315
,,Sector secundário,"2,341",281,"1,008","1,052"
,,Sector terciário,"2,920",356,907,"1,657"
,Secundária,,306,13,87,206
,,Sector primário,32,6,19,7
,,Sector secundário,110,3,34,73
,,Sector terciário,164,4,34,126
Situação na profissão exterior à exploração,,,,,,
,Patrão/empregador,,482,59,158,265
,Trabalhador por conta própria,,828,89,261,478
,Trabalhador por conta de outrem,,"4,477",470,"1,635","2,372"
,Trabalhador familiar remunerado,,54,10,20,24
,Outra situação,,249,53,105,91
Dirigente na população familiar,,,"8,557",986,"2,808","4,763"
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,
