Produtor singular segundo a Dimensão Económica e as Classes de Idade (Serra da Estrela),,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 2/5
Região Agrária,,,,Total,Classes de dimensão económica (UDE),,,,,,
Nut III,,,,,> 0 a < 2,2 a < 4,4 a < 8,8 a < 16,16 a < 40,40 a < 100,> = 100
Concelho,,,,,nº de indíviduos,,,,,,
,Serra da Estrela,,,,,,,,,,
,,,Total,"4,751","3,505",590,371,212,62,11,- 
,,,15 - 24,10,5,1,2,2,- ,- ,- 
,,,25 - 34,106,60,7,16,17,5,1,- 
,,,35 - 44,415,246,52,47,48,19,3,- 
,,,45 - 54,872,624,112,70,51,14,1,- 
,,,55 - 64,"1,331",924,196,131,64,11,5,- 
,,,>= 65,"2,017","1,646",222,105,30,13,1,- 
,,Fornos de Algodres,,,,,,,,,
,,,Total,774,478,144,96,47,9,- ,- 
,,,15 - 24,3,1,1,1,- ,- ,- ,- 
,,,25 - 34,15,8,- ,4,2,1,- ,- 
,,,35 - 44,88,39,15,19,11,4,- ,- 
,,,45 - 54,118,68,21,17,10,2,- ,- 
,,,55 - 64,225,117,54,37,16,1,- ,- 
,,,>= 65,325,245,53,18,8,1,- ,- 
,,Gouveia,,,,,,,,,
,,,Total,"1,530","1,134",181,90,89,30,6,- 
,,,15 - 24,2,- ,- ,- ,2,- ,- ,- 
,,,25 - 34,31,17,4,4,4,2,- ,- 
,,,35 - 44,120,68,13,8,19,11,1,- 
,,,45 - 54,271,196,30,14,24,7,- ,- 
,,,55 - 64,400,275,56,36,26,3,4,- 
,,,>= 65,706,578,78,28,14,7,1,- 
,,Seia,,,,,,,,,
,,,Total,"2,447","1,893",265,185,76,23,5,- 
,,,15 - 24,5,4,- ,1,- ,- ,- ,- 
,,,25 - 34,60,35,3,8,11,2,1,- 
,,,35 - 44,207,139,24,20,18,4,2,- 
,,,45 - 54,483,360,61,39,17,5,1,- 
,,,55 - 64,706,532,86,58,22,7,1,- 
,,,>= 65,986,823,91,59,8,5,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,
