"Produtor singular segundo a OTE e as Classes de Idade  (Total e Pinhal Interior Sul, página 2)",,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 2/10
Região Agrária,,,Bovinos para leite / gado / carne,Ovinos / caprinos / out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
Nut III,,,,,,,,,,,
Concelho,,,nº de indivíduos,,,,,,,,
BEIRA INTERIOR,,,,,,,,,,,
,,Total,159,"5,486",143,"8,492","3,056",329,"1,267","5,654",18
,,15 - 24,1,20,- ,12,4,- ,2,13,- 
,,25 - 34,9,255,5,124,46,8,28,68,- 
,,35 - 44,24,846,25,605,280,45,131,376,- 
,,45 - 54,39,937,35,"1,263",524,67,168,797,3
,,55 - 64,47,"1,539",34,"2,281",893,100,312,"1,437",4
,,>= 65,39,"1,889",44,"4,207","1,309",109,626,"2,963",11
Pinhal Interior Sul,,,,,,,,,,,
,,Total,2,429,29,"1,720",781,62,31,"1,635",4
,,15 - 24,- ,- ,- ,2,1,- ,- ,1,- 
,,25 - 34,- ,10,1,22,9,2,- ,16,- 
,,35 - 44,- ,52,4,106,76,12,3,95,- 
,,45 - 54,- ,88,7,269,132,19,3,226,- 
,,55 - 64,1,107,9,428,238,17,10,447,1
,,>= 65,1,172,8,893,325,12,15,850,3
,Mação,,,,,,,,,,
,,Total,- ,82,10,247,101,12,- ,287,2
,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,25 - 34,- ,1,- ,2,1,- ,- ,4,- 
,,35 - 44,- ,7,2,13,4,4,- ,15,- 
,,45 - 54,- ,14,2,19,10,2,- ,29,- 
,,55 - 64,- ,13,2,64,32,4,- ,69,1
,,>= 65,- ,47,4,149,54,2,- ,170,1
,Oleiros,,,,,,,,,,
,,Total,- ,63,2,376,136,4,6,304,- 
,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,25 - 34,- ,1,- ,8,- ,- ,- ,- ,- 
,,35 - 44,- ,6,- ,24,19,1,- ,13,- 
,,45 - 54,- ,18,1,55,22,- ,- ,46,- 
,,55 - 64,- ,12,1,103,39,3,3,98,- 
,,>= 65,- ,26,- ,186,56,- ,3,147,- 
,Proença-a-Nova,,,,,,,,,,
,,Total,- ,106,2,282,179,6,3,479,1
,,15 - 24,- ,- ,- ,1,- ,- ,- ,- ,- 
,,25 - 34,- ,3,- ,1,1,- ,- ,7,- 
,,35 - 44,- ,16,- ,17,22,3,- ,33,- 
,,45 - 54,- ,24,1,57,36,1,2,69,- 
,,55 - 64,- ,26,- ,60,50,1,- ,127,- 
,,>= 65,- ,37,1,146,70,1,1,243,1
,Sertã,,,,,,,,,,
,,Total,2,134,11,712,314,40,17,442,1
,,15 - 24,- ,- ,- ,1,- ,- ,- ,1,- 
,,25 - 34,- ,5,1,10,7,2,- ,4,- 
,,35 - 44,- ,20,2,50,30,4,3,26,- 
,,45 - 54,- ,26,1,118,60,16,1,69,- 
,,55 - 64,1,40,4,173,100,9,7,126,- 
,,>= 65,1,43,3,360,117,9,6,216,1
,Vila de Rei,,,,,,,,,,
,,Total,- ,44,4,103,51,- ,5,123,- 
,,15 - 24,- ,- ,- ,- ,1,- ,- ,- ,- 
,,25 - 34,- ,- ,- ,1,- ,- ,- ,1,- 
,,35 - 44,- ,3,- ,2,1,- ,- ,8,- 
,,45 - 54,- ,6,2,20,4,- ,- ,13,- 
,,55 - 64,- ,16,2,28,17,- ,- ,27,- 
,,>= 65,- ,19,- ,52,28,- ,5,74,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,
,,,,,,,,,,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
