"Produtor singular segundo a OTE e as Classes de Idade  (Serra da Estrela, página 1)",,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 3/10
Região Agrária,,,Total,Cereais Plantas olea./prot.,Culturas agrícolas diversas,Horticultura,Viticultura,Fruticultura,Olivicultura,Culturas permanentes diversas,Bovinos de leite,Bovinos para gado/carne
Nut III,,,,,,,,,,,,
Concelho,,,nº de indivíduos,,,,,,,,,
Serra da Estrela,,,,,,,,,,,,
,,Total,"4,751",59,381,28,642,52,636,653,8,15
,,15 - 24,10,- ,- ,- ,- ,1,- ,- ,- ,1
,,25 - 34,106,- ,12,1,8,3,13,7,1,1
,,35 - 44,415,6,46,4,37,2,34,33,1,4
,,45 - 54,872,10,82,8,110,12,98,108,3,4
,,55 - 64,"1,331",21,92,10,161,15,141,181,- ,2
,,>= 65,"2,017",22,149,5,326,19,350,324,3,3
,Fornos de Algodres,,,,,,,,,,,
,,Total,774,22,129,- ,19,6,88,59,6,4
,,15 - 24,3,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,25 - 34,15,- ,3,- ,1,- ,- ,- ,1,- 
,,35 - 44,88,4,20,- ,1,- ,4,1,- ,2
,,45 - 54,118,1,23,- ,3,2,12,7,2,1
,,55 - 64,225,10,31,- ,2,1,16,20,- ,1
,,>= 65,325,7,52,- ,12,3,56,31,3,- 
,Gouveia,,,,,,,,,,,
,,Total,"1,530",6,25,20,472,14,170,305,1,6
,,15 - 24,2,- ,- ,- ,- ,1,- ,- ,- ,- 
,,25 - 34,31,- ,2,1,4,1,5,1,- ,1
,,35 - 44,120,1,4,2,27,- ,9,19,- ,1
,,45 - 54,271,1,5,5,80,3,33,48,1,2
,,55 - 64,400,2,6,7,118,2,39,76,- ,1
,,>= 65,706,2,8,5,243,7,84,161,- ,1
,Seia,,,,,,,,,,,
,,Total,"2,447",31,227,8,151,32,378,289,1,5
,,15 - 24,5,- ,- ,- ,- ,- ,- ,- ,- ,1
,,25 - 34,60,- ,7,- ,3,2,8,6,- ,- 
,,35 - 44,207,1,22,2,9,2,21,13,1,1
,,45 - 54,483,8,54,3,27,7,53,53,- ,1
,,55 - 64,706,9,55,3,41,12,86,85,- ,- 
,,>= 65,986,13,89,- ,71,9,210,132,- ,2
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,
,,
,,
