Explorações segundo a OTE e a dimensão económica (Cova da Beira),,,,,
,,,,,1999
,,,,,pág. 5/5
,,Cova da Beira,Belmonte,Covilhã,Fundão
,,,,,
Classes de dimensão económica (UDE),,"8,665",991,"2,858","4,816"
,> 0 a < 2,"6,018",644,"2,081","3,293"
,2 a < 4,"1,210",155,355,700
,4 a < 8,723,86,199,438
,8 a < 16,373,58,125,190
,16 a < 40,248,40,74,134
,40 a < 100,76,6,19,51
,> = 100,17,2,5,10
OTE,,"8,668",992,"2,858","4,818"
,Cereais e plantas olea./proteaginosas,135,15,34,86
,Culturas agrícolas diversas,266,43,81,142
,Horticultura,377,46,282,49
,Viticultura,534,149,235,150
,Fruticultura,670,65,161,444
,Olivicultura,"1,296",48,285,963
,Culturas permanentes diversas,"1,248",147,312,789
,Bovinos de leite,128,9,64,55
,Bovinos para gado/carne,52,1,22,29
,Bovinos para leite/gado/carne,51,1,34,16
,Ovinos/caprinos/outros herbívoros,605,88,184,333
,Granívoros,39,3,29,7
,Policultura,"1,773",242,620,911
,Polipecuária-herbívoros,430,50,150,230
,Polipecuária-granívoros,85,3,55,27
,Agricultura geral e herbívoros,158,25,52,81
,Culturas diversas e gado,818,56,258,504
,Não classificadas,3,1,- ,2
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",

,
,













,
