
Statistical table extracted on January 07, 2016 (12:09:51)
http://www.ine.pt



Geographic localization (Agrarian area/ Island);Area of permanent crops (ha) by Geographic localization (Agrarian area/ Island) and Type (permanent crops) -  Decennial;;;
;Data reference period;;;
;2009;1999;1989;
;Type (permanent crops);;;
;Citrus plantations;;;
;ha ;ha ;ha ;
PT: Portugal;16930;23453;26759;
1: Continente;16389;22428;25598;
101: Entre Douro e Minho;451;696;938;
1010104: Arouca;1;2;3;
101010401: Albergaria da Serra;- -;- -;- -;
101010402: Alvarenga;1;? ?;- -;
101010403: Arouca;0;0;? ?;
101010404: Burgo;- -;- -;1;
101010405: Cabreiros;- -;- -;- -;
101010406: Canelas;- -;- -;- -;
101010407: Chave;- -;? ?;0;
101010408: Covelo de Paivó;- -;- -;- -;
101010409: Escariz;0;? ?;1;
101010410: Espiunca;- -;? ?;- -;
101010411: Fermedo;0;- -;? ?;
101010412: Janarde;- -;- -;? ?;
101010413: Mansores;- -;0;- -;
101010414: Moldes;0;0;0;
101010415: Rossas;- -;0;- -;
101010416: Santa Eulália;0;0;- -;
101010417: São Miguel do Mato;0;- -;- -;
101010418: Tropeço;- -;1;- -;
101010419: Urrô;- -;0;- -;
101010420: Várzea;- -;? ?;? ?;
1010106: Castelo de Paiva;4;3;5;
101010601: Bairros;1;? ?;? ?;
101010602: Fornos;- -;- -;- -;
101010603: Paraíso;0;? ?;- -;
101010604: Pedorido;- -;- -;- -;
101010605: Raiva;1;0;1;
101010606: Real;1;0;- -;
101010607: Santa Maria de Sardoura;1;1;? ?;
101010608: São Martinho de Sardoura;- -;1;? ?;
101010609: Sobrado;1;- -;3;
1010107: Espinho;- -;1;- -;
101010701: Anta;- -;0;- -;
101010702: Espinho;- -;- -;- -;
101010703: Guetim;- -;? ?;- -;
101010704: Paramos;- -;- -;- -;
101010705: Silvalde;- -;? ?;- -;
1010109: Santa Maria da Feira;3;55;16;
101010901: Argoncilhe;- -;- -;? ?;
101010902: Arrifana;- -;? ?;1;
101010903: Canedo;- -;- -;- -;
101010904: Escapães;- -;? ?;0;
101010905: Espargo;0;- -;1;
101010906: Feira;0;0;0;
101010907: Fiães;- -;- -;- -;
101010908: Fornos;- -;? ?;? ?;
101010909: Gião;- -;- -;- -;
101010910: Guisande;- -;- -;- -;
101010911: Lobão;0;- -;- -;
101010912: Louredo;- -;? ?;- -;
101010913: Lourosa;- -;? ?;? ?;
101010914: Milheirós de Poiares;0;- -;? ?;
101010915: Mosteiró;0;? ?;- -;
101010916: Mozelos;- -;47;5;
101010917: Nogueira da Regedoura;2;? ?;? ?;
101010918: São Paio de Oleiros;0;1;2;
101010919: Paços de Brandão;- -;? ?;1;
101010920: Pigeiros;- -;- -;- -;
101010921: Rio Meão;- -;- -;- -;
101010922: Romariz;0;? ?;1;
101010923: Sanfins;- -;- -;- -;
101010924: Sanguedo;- -;- -;- -;
101010925: Santa Maria de Lamas;- -;- -;? ?;
101010926: São João de Ver;- -;? ?;? ?;
101010927: Caldas de São Jorge;- -;? ?;- -;
101010928: Souto;0;1;2;
101010929: Travanca;- -;0;0;
101010930: Vale;- -;- -;- -;
101010931: Vila Maior;- -;- -;- -;
1010113: Oliveira de Azeméis;2;7;6;
101011301: Carregosa;- -;0;1;
101011302: Cesar;0;? ?;0;
101011303: Fajões;0;0;0;
101011304: Loureiro;- -;0;0;
101011305: Macieira de Sarnes;0;? ?;? ?;
101011306: Macinhata da Seixa;- -;0;0;
101011307: Madail;- -;- -;- -;
101011308: Nogueira do Cravo;0;1;? ?;
101011309: Oliveira de Azeméis;0;? ?;- -;
101011310: Ossela;0;1;- -;
101011311: Palmaz;- -;? ?;1;
101011312: Pindelo;1;1;? ?;
101011313: Pinheiro da Bemposta;0;1;0;
101011314: Santiago da Riba-Ul;0;0;- -;
101011315: São Martinho da Gândara;0;2;2;
101011316: Travanca;- -;- -;- -;
101011317: Ul;- -;? ?;- -;
101011318: São Roque;- -;0;0;
101011319: Vila de Cucujães;0;1;1;
1010116: São João da Madeira;- -;- -;0;
101011601: São João da Madeira;- -;- -;0;
1010119: Vale de Cambra;1;1;1;
101011901: Arões;- -;? ?;? ?;
101011902: São Pedro de Castelões;- -;0;- -;
101011903: Cepelos;- -;- -;- -;
101011904: Codal;- -;0;? ?;
101011905: Junqueira;- -;- -;? ?;
101011906: Macieira de Cambra;- -;? ?;0;
101011907: Roge;0;1;? ?;
101011908: Vila Chã;0;0;0;
101011909: Vila Cova de Perrinho;- -;- -;- -;
1010301: Amares;98;142;180;
101030101: Amares;1;2;4;
101030102: Barreiros;1;0;0;
101030103: Besteiros;5;13;12;
101030104: Bico;0;2;1;
101030105: Caires;15;16;12;
101030106: Caldelas;1;2;6;
101030107: Carrazedo;5;9;7;
101030108: Dornelas;14;11;10;
101030109: Ferreiros;1;5;11;
101030110: Figueiredo;4;3;5;
101030111: Fiscal;4;6;5;
101030112: Goães;13;19;19;
101030113: Lago;0;0;1;
101030114: Paranhos;0;1;1;
101030115: Paredes Secas;2;2;2;
101030116: Portela;2;7;5;
101030117: Prozelo;3;3;3;
101030118: Rendufe;1;1;0;
101030119: Bouro (Santa Maria);6;14;34;
101030120: Bouro (Santa Marta);7;15;23;
101030121: Sequeiros;1;1;2;
101030122: Seramil;1;3;2;
101030123: Torre;1;2;6;
101030124: Vilela;8;6;11;
1010302: Barcelos;22;41;42;
101030201: Abade de Neiva;0;2;0;
101030202: Aborim;- -;0;? ?;
101030203: Adães;- -;? ?;? ?;
101030204: Aguiar;- -;? ?;- -;
101030205: Airó;- -;? ?;1;
101030206: Aldreu;- -;? ?;? ?;
101030207: Alheira;- -;1;3;
101030208: Alvelos;0;? ?;? ?;
101030209: Arcozelo;- -;? ?;- -;
101030210: Areias;0;- -;- -;
101030211: Areias de Vilar;1;? ?;0;
101030212: Balugães;- -;- -;- -;
101030213: Barcelinhos;- -;? ?;? ?;
101030214: Barcelos;- -;- -;- -;
101030215: Barqueiros;- -;0;- -;
101030216: Cambeses;0;? ?;? ?;
101030217: Campo;0;0;? ?;
101030218: Carapeços;0;0;- -;
101030219: Carreira;0;? ?;0;
101030220: Carvalhal;0;1;? ?;
101030221: Carvalhos;0;- -;- -;
101030222: Chavão;0;? ?;1;
101030223: Chorente;- -;? ?;? ?;
101030224: Cossourado;- -;1;? ?;
101030225: Courel;- -;? ?;? ?;
101030226: Couto;- -;0;0;
101030227: Creixomil;1;? ?;1;
101030228: Cristelo;0;- -;? ?;
101030229: Durrães;- -;? ?;? ?;
101030230: Encourados;1;0;? ?;
101030231: Faria;0;0;- -;
101030232: Feitos;0;? ?;- -;
101030233: Fonte Coberta;0;? ?;0;
101030234: Fornelos;- -;- -;- -;
101030235: Fragoso;0;1;- -;
101030236: Gamil;0;? ?;1;
101030237: Gilmonde;0;? ?;? ?;
101030238: Góios;- -;1;0;
101030239: Grimancelos;- -;1;0;
101030240: Gueral;0;? ?;? ?;
101030241: Igreja Nova;- -;0;0;
101030242: Lama;0;1;1;
101030243: Lijó;- -;0;0;
101030244: Macieira de Rates;0;? ?;? ?;
101030245: Manhente;- -;- -;- -;
101030246: Mariz;0;0;1;
101030247: Martim;0;? ?;1;
101030248: Midões;- -;- -;0;
101030249: Milhazes;0;0;? ?;
101030250: Minhotães;0;0;- -;
101030251: Monte de Fralães;1;? ?;? ?;
101030252: Moure;1;? ?;2;
101030253: Negreiros;- -;- -;0;
101030254: Oliveira;1;2;2;
101030255: Palme;0;1;- -;
101030256: Panque;0;- -;- -;
101030257: Paradela;0;- -;- -;
101030258: Pedra Furada;0;1;0;
101030259: Pereira;0;? ?;0;
101030260: Perelhal;1;1;0;
101030261: Pousa;0;? ?;- -;
101030262: Quintiães;- -;0;- -;
101030263: Remelhe;1;0;? ?;
101030264: Roriz;1;2;2;
101030265: Rio Covo (Santa Eugénia);- -;? ?;? ?;
101030266: Rio Covo (Santa Eulália);1;? ?;? ?;
101030267: Tamel (Santa Leocádia);0;1;3;
101030268: Galegos (Santa Maria);- -;0;- -;
101030269: Bastuço (Santo Estêvão);1;0;? ?;
101030270: Bastuço (São João);0;- -;- -;
