Utilização das terras (Açores - Ilha do Corvo),,,,,,,,
,,,,,,,,pág. 3/3
,,Madalena,São Roque do Pico,Ilha do Faial      (Horta),Ilha das Flores,Lajes das Flores,Santa Cruz das Flores,Ilha do Corvo (Corvo)
Superfície Total,expl (nº),  1 088 ,   555 ,  1 266 ,   607 ,   305 ,   302 ,   65 
,área (ha),  7 251 ,  6 060 ,  10 181 ,  12 372 ,  3 082 ,  9 290 ,  1 279 
Superfície Agrícola Utilizada (SAU),expl (nº),  1 087 ,   555 ,  1 264 ,   607 ,   305 ,   302 ,   65 
,área (ha),  6 137 ,  4 940 ,  8 645 ,  8 003 ,  2 567 ,  5 436 ,   982 
Terra arável,expl (nº),  1 046 ,   531 ,  1 068 ,   575 ,   297 ,   278 ,   62 
,área (ha),   430 ,   223 ,   688 ,   135 ,   63 ,   72 ,   20 
Terra arável limpa,expl (nº),  1 046 ,   531 ,  1 068 ,   575 ,   297 ,   278 ,   62 
,área (ha),   430 ,   223 ,   688 ,   135 ,   63 ,   72 ,   20 
Culturas temporárias,expl (nº),   976 ,   471 ,   942 ,   530 ,   264 ,   266 ,   61 
,área (ha),   406 ,   209 ,   654 ,   123 ,   56 ,   67 ,   20 
Pousio (com e sem ajuda),expl (nº),- ,- ,- ,- ,- ,- ,- 
,área (ha),- ,- ,- ,- ,- ,- ,- 
Horta familiar,expl (nº),   662 ,   336 ,   778 ,   418 ,   295 ,   123 ,   25 
,área (ha),   24 ,   13 ,   37 ,   8 ,   5 ,   3 ,o 
Culturas sob-coberto matas e florestas,expl (nº),- ,- ,- ,- ,- ,- ,- 
,área (ha),- ,- ,- ,- ,- ,- ,- 
Culturas temporárias,expl (nº),- ,- ,- ,- ,- ,- ,- 
,área (ha),- ,- ,- ,- ,- ,- ,- 
Pousio (com e sem ajuda),expl (nº),- ,- ,- ,- ,- ,- ,- 
,área (ha),- ,- ,- ,- ,- ,- ,- 
Culturas permanentes,expl (nº),  1 005 ,   471 ,   736 ,   303 ,   197 ,   106 ,   16 
,área (ha),   693 ,   141 ,   97 ,   32 ,   19 ,   13 ,   2 
Sem culturas sob-coberto,expl (nº),  1 005 ,   471 ,   734 ,   300 ,   194 ,   106 ,   16 
,área (ha),   691 ,   141 ,   97 ,   30 ,   17 ,   13 ,   2 
