Principais culturas temporárias (Ilha de São Miguel - Lagoa),,,,,,,,,,,,
,,,,,,,,,,,,pág. 1/7
REGIÃO AGRÁRIA,,,Total,,Cultura principal,,Cultura secundária,,,,,
Ilha,,,,,,,Total,,Sucessiva,,Associada sob-coberto de  permanentes,
Concelho,,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
AÇORES,,,,,,,,,,,,
Culturas temporárias,,,  13 354 ,  17 349 ,  13 037 ,  11 860 ,  6 630 ,  5 496 ,  6 179 ,  5 415 ,   656 ,   67 
Cereais para grão,,,  4 415 ,  1 051 ,  4 091 ,   940 ,   555 ,   110 ,   485 ,   99 ,   74 ,   9 
Leguminosas secas para grão,,,  4 146 ,   306 ,  3 438 ,   235 ,   890 ,   68 ,   797 ,   64 ,   97 ,   3 
Prados temporários,,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Culturas forrageiras,,,  7 150 ,  13 929 ,  5 330 ,  8 817 ,  4 811 ,  5 115 ,  4 811 ,  5 115 ,- ,- 
Batata,,,  7 783 ,  1 048 ,  7 211 ,   932 ,   846 ,   110 ,   398 ,   69 ,   465 ,   38 
Beterraba sacarina,,,   174 ,   143 ,   174 ,   143 ,- ,- ,- ,- ,- ,- 
Culturas indústriais,,,   139 ,   82 ,   139 ,   82 ,- ,- ,- ,- ,- ,- 
Culturas hortícolas,,,  2 093 ,   436 ,  1 901 ,   384 ,   254 ,   42 ,   163 ,   34 ,   93 ,   6 
Flores e plantas ornamentais,,,   91 ,   68 ,   90 ,   67 ,   2 ,... ,- ,- ,   2 ,... 
Sementes de culturas forrageiras,,,   10 ,   2 ,   7 ,   2 ,   3 ,o ,   3 ,o ,- ,- 
Sementes e propágulos de outras culturas não lenhosas,,,   12 ,   7 ,   12 ,   7 ,- ,- ,- ,- ,- ,- 
Outras culturas temporárias,,,  3 754 ,   260 ,  3 533 ,   235 ,   338 ,   22 ,   268 ,   17 ,   74 ,   3 
,Ilha de Santa Maria (Vila do Porto),,,,,,,,,,,
,Culturas temporárias,,   375 ,   195 ,   375 ,   194 ,   5 ,   2 ,   4 ,   2 ,   1 ,... 
,Cereais para grão,,   201 ,   54 ,   200 ,   54 ,   1 ,... ,- ,- ,   1 ,... 
,Leguminosas secas para grão,,   224 ,   20 ,   223 ,   20 ,   2 ,... ,   1 ,... ,   1 ,... 
,Prados temporários,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas forrageiras,,   103 ,   89 ,   103 ,   89 ,- ,- ,- ,- ,- ,- 
,Batata,,   263 ,   20 ,   263 ,   20 ,   2 ,... ,   2 ,... ,- ,- 
,Beterraba sacarina,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,,   21 ,   8 ,   20 ,   7 ,   1 ,... ,   1 ,... ,- ,- 
,Flores e plantas ornamentais,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,,   97 ,   5 ,   96 ,   5 ,   1 ,... ,   1 ,... ,- ,- 
,Ilha de São Miguel,,,,,,,,,,,
,Culturas temporárias,,  4 782 ,  7 525 ,  4 684 ,  5 557 ,  2 008 ,  1 971 ,  1 809 ,  1 927 ,   291 ,   34 
,Cereais para grão,,   865 ,   151 ,   740 ,   126 ,   161 ,   26 ,   107 ,   17 ,   58 ,   7 
,Leguminosas secas para grão,,  1 346 ,   150 ,  1 076 ,   108 ,   358 ,   40 ,   331 ,   39 ,   29 ,o 
,Prados temporários,,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas forrageiras,,  2 382 ,  5 941 ,  2 023 ,  4 164 ,  1 204 ,  1 777 ,  1 204 ,  1 777 ,- ,- 
,Batata,,  2 701 ,   678 ,  2 491 ,   596 ,   409 ,   79 ,   201 ,   57 ,   223 ,   20 
,Beterraba sacarina,,   169 ,   143 ,   169 ,   143 ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,,   136 ,   82 ,   136 ,   82 ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,,   679 ,   272 ,   572 ,   235 ,   148 ,   32 ,   123 ,   28 ,   26 ,   3 
,Flores e plantas ornamentais,,   42 ,   37 ,   41 ,   36 ,   2 ,... ,- ,- ,   2 ,... 
,Sementes de culturas forrageiras,,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,,   8 ,   6 ,   8 ,   6 ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,,   603 ,   57 ,   531 ,   50 ,   85 ,   6 ,   64 ,   5 ,   21 ,   1 
,,Lagoa,,,,,,,,,,
,,Culturas temporárias,   405 ,   647 ,   390 ,   502 ,   191 ,   145 ,   171 ,   140 ,   27 ,   3 
,,Cereais para grão,   66 ,   15 ,   51 ,   12 ,   20 ,   5 ,   15 ,   3 ,   5 ,   1 
,,Leguminosas secas para grão,   125 ,   20 ,   89 ,   12 ,   37 ,   9 ,   36 ,   9 ,   1 ,... 
,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   185 ,   406 ,   126 ,   299 ,   99 ,   108 ,   99 ,   108 ,- ,- 
,,Batata,   261 ,   81 ,   237 ,   64 ,   54 ,   16 ,   35 ,   14 ,   20 ,   2 
,,Beterraba sacarina,   51 ,   39 ,   51 ,   39 ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   39 ,   23 ,   39 ,   23 ,- ,- ,- ,- ,- ,- 
