Principais características do produtor singular (Homem/Mulher - Ilha do Corvo),,,,,,,,,
,,,,,,,,,Pág. 3/9
Homem / Mulher,,,Madalena,São Roque do Pico,Ilha do Faial (Horta),Ilha das Flores,Lajes das Flores,Santa Cruz das Flores,Ilha do Corvo (Corvo)
Produtor singular,,,  1 084 ,   554 ,  1 262 ,   604 ,   303 ,   301 ,   64 
,Autónomo,,  1 081 ,   544 ,  1 256 ,   602 ,   302 ,   300 ,   64 
,Empresário,,   3 ,   10 ,   6 ,   2 ,   1 ,   1 ,- 
Nível de instrução,,,,,,,,,
,Não sabe ler nem escrever,,   79 ,   49 ,   63 ,   72 ,   33 ,   39 ,   1 
,Sabe ler e escrever,,   115 ,   52 ,   113 ,   44 ,   27 ,   17 ,   15 
,Básico - 1º ciclo,,   714 ,   349 ,   811 ,   388 ,   189 ,   199 ,   38 
,Básico - 2º ciclo,,   91 ,   45 ,   148 ,   54 ,   30 ,   24 ,   8 
,Básico - 3º ciclo,,   37 ,   31 ,   79 ,   27 ,   14 ,   13 ,   1 
,Secundário agrícola,,   1 ,- ,- ,- ,- ,- ,- 
,Secundário não agrícola,,   30 ,   21 ,   32 ,   12 ,   5 ,   7 ,   1 
,Politécnico / Superior agrícola,,   3 ,   2 ,   3 ,   1 ,   1 ,- ,- 
,Politécnico / Superior não agrícola,,   14 ,   5 ,   13 ,   6 ,   4 ,   2 ,- 
Formação profissional agrícola,,,,,,,,,
,Exclusivamente prática,,  1 053 ,   525 ,  1 193 ,   537 ,   267 ,   270 ,   52 
,Curta duração,,   15 ,   18 ,   9 ,   46 ,   25 ,   21 ,   11 
,Longa duração,,   6 ,   5 ,   18 ,   13 ,   10 ,   3 ,   1 
,Longa e curta duração,,   6 ,   4 ,   39 ,   7 ,- ,   7 ,- 
,Completa,,   4 ,   2 ,   3 ,   1 ,   1 ,- ,- 
Tempo de actividade agrícola ,,,,,,,,,
,Tempo parcial,,   995 ,   532 ,  1 023 ,   523 ,   263 ,   260 ,   22 
,,> 0 - < 25%,   671 ,   393 ,   610 ,   287 ,   136 ,   151 ,   6 
,,25 - < 50%,   201 ,   70 ,   268 ,   95 ,   60 ,   35 ,   13 
,,50 - < 75%,   71 ,   37 ,   89 ,   40 ,   25 ,   15 ,   3 
,,75 - < 100%,   52 ,   32 ,   56 ,   101 ,   42 ,   59 ,- 
,Tempo completo,,   89 ,   22 ,   239 ,   81 ,   40 ,   41 ,   42 
Actividades remuneradas exterior à exploração,,,,,,,,,
,Principal,,   445 ,   168 ,   473 ,   165 ,   90 ,   75 ,   13 
,,Sector primário,   106 ,   14 ,   33 ,   24 ,   18 ,   6 ,   1 
,,Sector secundário,   97 ,   45 ,   114 ,   40 ,   12 ,   28 ,   1 
,,Sector terciário,   242 ,   109 ,   326 ,   101 ,   60 ,   41 ,   11 
,Secundária,,   28 ,   20 ,- ,   35 ,   27 ,   8 ,- 
,,Sector primário,   21 ,   7 ,- ,   4 ,   2 ,   2 ,- 
,,Sector secundário,   4 ,   6 ,- ,   4 ,   3 ,   1 ,- 
,,Sector terciário,   3 ,   7 ,- ,   27 ,   22 ,   5 ,- 
Situação na profissão exterior à exploração,,,,,,,,,
,Patrão/empregador,,   26 ,   22 ,   64 ,   11 ,   8 ,   3 ,- 
,Trabalhador por conta própria,,   63 ,   27 ,   58 ,   32 ,   24 ,   8 ,   5 
,Trabalhador por conta de outrem,,   383 ,   138 ,   350 ,   149 ,   80 ,   69 ,   8 
,Trabalhador familiar remunerado,,- ,- ,- ,- ,- ,- ,- 
,Outra situação,,   1 ,   1 ,   1 ,   8 ,   5 ,   3 ,- 
Produtor singular  dirigente,,,  1 082 ,   545 ,  1 162 ,   596 ,   300 ,   296 ,   51 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
