Principais características do produtor singular (Homem - Ilha de São Miguel - Vila Franca do Campo),,,,,,,,,,,
,,,,,,,,,,,Pág. 1/9
Homem,,,AÇORES,Ilha de Santa Maria (Vila Porto),Ilha de São Miguel,Lagoa,Nordeste,Ponta Delgada,Povoação,Ribeira Grande,Vila Franca do Campo
Produtor singular,,,  16 654 ,   479 ,  6 622 ,   520 ,   628 ,  2 547 ,   618 ,  1 534 ,   775 
,Autónomo,,  15 704 ,   479 ,  5 842 ,   457 ,   599 ,  2 230 ,   558 ,  1 357 ,   641 
,Empresário,,   950 ,- ,   780 ,   63 ,   29 ,   317 ,   60 ,   177 ,   134 
Nível de instrução,,,,,,,,,,,
,Não sabe ler nem escrever,,  2 074 ,   71 ,   980 ,   79 ,   104 ,   325 ,   106 ,   219 ,   147 
,Sabe ler e escrever,,  1 726 ,   43 ,   781 ,   52 ,   67 ,   296 ,   79 ,   204 ,   83 
,Básico - 1º ciclo,,  9 084 ,   256 ,  3 133 ,   255 ,   342 ,  1 133 ,   296 ,   717 ,   390 
,Básico - 2º ciclo,,  1 995 ,   69 ,   943 ,   65 ,   82 ,   419 ,   87 ,   208 ,   82 
,Básico - 3º ciclo,,   961 ,   28 ,   387 ,   25 ,   21 ,   192 ,   27 ,   83 ,   39 
,Secundário agrícola,,   10 ,- ,   3 ,- ,- ,   2 ,- ,- ,   1 
,Secundário não agrícola,,   459 ,   7 ,   217 ,   20 ,   7 ,   96 ,   13 ,   60 ,   21 
,Politécnico / Superior agrícola,,   86 ,   2 ,   41 ,   5 ,   3 ,   15 ,   2 ,   13 ,   3 
,Politécnico / Superior não agrícola,,   259 ,   3 ,   137 ,   19 ,   2 ,   69 ,   8 ,   30 ,   9 
Formação profissional agrícola,,,,,,,,,,,
,Exclusivamente prática,,  15 440 ,   455 ,  6 128 ,   485 ,   543 ,  2 359 ,   582 ,  1 427 ,   732 
,Curta duração,,   592 ,   20 ,   268 ,   13 ,   71 ,   86 ,   24 ,   60 ,   14 
,Longa duração,,   300 ,   2 ,   128 ,   7 ,   10 ,   66 ,   8 ,   24 ,   13 
,Longa e curta duração,,   226 ,- ,   54 ,   10 ,   1 ,   19 ,   2 ,   10 ,   12 
,Completa,,   96 ,   2 ,   44 ,   5 ,   3 ,   17 ,   2 ,   13 ,   4 
Tempo de actividade agrícola ,,,,,,,,,,,
,Tempo parcial,,  13 963 ,   463 ,  5 377 ,   439 ,   525 ,  1 996 ,   509 ,  1 226 ,   682 
,,> 0 - < 25%,  8 387 ,   244 ,  3 560 ,   252 ,   281 ,  1 503 ,   359 ,   743 ,   422 
,,25 - < 50%,  3 176 ,   146 ,  1 077 ,   100 ,   119 ,   338 ,   92 ,   308 ,   120 
,,50 - < 75%,  1 069 ,   37 ,   398 ,   52 ,   44 ,   110 ,   30 ,   103 ,   59 
,,75 - < 100%,  1 331 ,   36 ,   342 ,   35 ,   81 ,   45 ,   28 ,   72 ,   81 
,Tempo completo,,  2 691 ,   16 ,  1 245 ,   81 ,   103 ,   551 ,   109 ,   308 ,   93 
Actividades remuneradas exterior à exploração,,,,,,,,,,,
,Principal,,  7 053 ,   288 ,  2 756 ,   229 ,   224 ,  1 104 ,   239 ,   650 ,   310 
,,Sector primário,  1 039 ,   26 ,   520 ,   49 ,   43 ,   149 ,   44 ,   123 ,   112 
,,Sector secundário,  1 667 ,   55 ,   613 ,   43 ,   33 ,   239 ,   67 ,   153 ,   78 
,,Sector terciário,  4 347 ,   207 ,  1 623 ,   137 ,   148 ,   716 ,   128 ,   374 ,   120 
,Secundária,,   321 ,   7 ,   145 ,   17 ,   20 ,   34 ,   9 ,   48 ,   17 
,,Sector primário,   161 ,   2 ,   76 ,   11 ,   7 ,   14 ,   7 ,   22 ,   15 
,,Sector secundário,   48 ,   2 ,   14 ,   2 ,   4 ,   3 ,- ,   5 ,- 
,,Sector terciário,   112 ,   3 ,   55 ,   4 ,   9 ,   17 ,   2 ,   21 ,   2 
Situação na profissão exterior à exploração,,,,,,,,,,,
,Patrão/empregador,,   785 ,   13 ,   348 ,   30 ,   10 ,   129 ,   32 ,   105 ,   42 
,Trabalhador por conta própria,,   974 ,   29 ,   409 ,   39 ,   43 ,   161 ,   30 ,   101 ,   35 
,Trabalhador por conta de outrem,,  5 511 ,   246 ,  2 124 ,   170 ,   189 ,   846 ,   185 ,   485 ,   249 
,Trabalhador familiar remunerado,,   17 ,- ,   10 ,   2 ,   2 ,   1 ,- ,   4 ,   1 
,Outra situação,,   87 ,   7 ,   10 ,   5 ,- ,   1 ,   1 ,   3 ,- 
Produtor singular  dirigente,,,  16 503 ,   466 ,  6 544 ,   512 ,   626 ,  2 530 ,   606 ,  1 513 ,   757 
