Principais características do produtor singular (Homem - Ilha do Pico - Laje do Pico),,,,,,,,,,,
,,,,,,,,,,,Pág. 2/9
Homem,,,Ilha Terceira,Angra do Heroísmo,Vila Praia da Vitória,Ilha da Graciosa (Sta C.Grac.),Ilha de São Jorge,Calheta,Velas,Ilha do Pico,Lajes do Pico
Produtor singular,,,  3 969 ,  2 312 ,  1 657 ,   776 ,  1 139 ,   564 ,   575 ,  2 204 ,   851 
,Autónomo,,  3 869 ,  2 238 ,  1 631 ,   766 ,  1 098 ,   533 ,   565 ,  2 191 ,   848 
,Empresário,,   100 ,   74 ,   26 ,   10 ,   41 ,   31 ,   10 ,   13 ,   3 
Nível de instrução,,,,,,,,,,,
,Não sabe ler nem escrever,,   465 ,   250 ,   215 ,   157 ,   134 ,   65 ,   69 ,   155 ,   46 
,Sabe ler e escrever,,   261 ,   145 ,   116 ,   86 ,   212 ,   133 ,   79 ,   218 ,   93 
,Básico - 1º ciclo,,  2 313 ,  1 323 ,   990 ,   416 ,   634 ,   299 ,   335 ,  1 419 ,   530 
,Básico - 2º ciclo,,   436 ,   269 ,   167 ,   74 ,   102 ,   42 ,   60 ,   205 ,   95 
,Básico - 3º ciclo,,   294 ,   173 ,   121 ,   25 ,   32 ,   16 ,   16 ,   108 ,   51 
,Secundário agrícola,,   5 ,   4 ,   1 ,- ,- ,- ,- ,   2 ,   1 
,Secundário não agrícola,,   97 ,   72 ,   25 ,   11 ,   19 ,   5 ,   14 ,   67 ,   23 
,Politécnico / Superior agrícola,,   28 ,   24 ,   4 ,   2 ,   3 ,   2 ,   1 ,   6 ,   1 
,Politécnico / Superior não agrícola,,   70 ,   52 ,   18 ,   5 ,   3 ,   2 ,   1 ,   24 ,   11 
Formação profissional agrícola,,,,,,,,,,,
,Exclusivamente prática,,  3 648 ,  2 071 ,  1 577 ,   763 ,  1 033 ,   525 ,   508 ,  2 081 ,   788 
,Curta duração,,   124 ,   89 ,   35 ,   6 ,   54 ,   14 ,   40 ,   67 ,   34 
,Longa duração,,   79 ,   58 ,   21 ,   4 ,   32 ,   13 ,   19 ,   24 ,   13 
,Longa e curta duração,,   85 ,   66 ,   19 ,   1 ,   17 ,   10 ,   7 ,   24 ,   14 
,Completa,,   33 ,   28 ,   5 ,   2 ,   3 ,   2 ,   1 ,   8 ,   2 
Tempo de actividade agrícola ,,,,,,,,,,,
,Tempo parcial,,  3 226 ,  1 831 ,  1 395 ,   729 ,  1 025 ,   489 ,   536 ,  2 000 ,   748 
,,> 0 - < 25%,  1 637 ,   861 ,   776 ,   495 ,   411 ,   149 ,   262 ,  1 392 ,   535 
,,25 - < 50%,   980 ,   621 ,   359 ,   136 ,   229 ,   129 ,   100 ,   326 ,   102 
,,50 - < 75%,   244 ,   145 ,   99 ,   41 ,   122 ,   77 ,   45 ,   132 ,   42 
,,75 - < 100%,   365 ,   204 ,   161 ,   57 ,   263 ,   134 ,   129 ,   150 ,   69 
,Tempo completo,,   743 ,   481 ,   262 ,   47 ,   114 ,   75 ,   39 ,   204 ,   103 
Actividades remuneradas exterior à exploração,,,,,,,,,,,
,Principal,,  1 809 ,  1 019 ,   790 ,   359 ,   342 ,   162 ,   180 ,   905 ,   343 
,,Sector primário,   157 ,   107 ,   50 ,   72 ,   50 ,   27 ,   23 ,   161 ,   43 
,,Sector secundário,   402 ,   247 ,   155 ,   135 ,   85 ,   39 ,   46 ,   227 ,   93 
,,Sector terciário,  1 250 ,   665 ,   585 ,   152 ,   207 ,   96 ,   111 ,   517 ,   207 
,Secundária,,   53 ,   28 ,   25 ,   11 ,   13 ,   4 ,   9 ,   65 ,   23 
,,Sector primário,   27 ,   16 ,   11 ,   9 ,   9 ,   2 ,   7 ,   34 ,   6 
,,Sector secundário,   5 ,   3 ,   2 ,   1 ,   2 ,   2 ,- ,   20 ,   10 
,,Sector terciário,   21 ,   9 ,   12 ,   1 ,   2 ,- ,   2 ,   11 ,   7 
Situação na profissão exterior à exploração,,,,,,,,,,,
,Patrão/empregador,,   206 ,   140 ,   66 ,   33 ,   32 ,   13 ,   19 ,   83 ,   37 
,Trabalhador por conta própria,,   210 ,   105 ,   105 ,   41 ,   64 ,   37 ,   27 ,   134 ,   55 
,Trabalhador por conta de outrem,,  1 388 ,   778 ,   610 ,   294 ,   251 ,   112 ,   139 ,   752 ,   274 
