Produtor singular segundo a  dimensão económica e as classes de idade (Ilha do Corvo),,,,,,,,,
,,,,,,,,,Pág. 4/4
REGIÃO AGRÁRIA,,Total,Classes de dimensão económica (UDE) - (nº de indivíduos),,,,,,
Ilha / Concelho,,,> 0 a < 2,2 a < 4,4 a < 8,8 a < 16,16 a < 40,40 a < 100,> = 100
Ilha das Flores,,,,,,,,,
Total,,   604 ,   279 ,   108 ,   128 ,   63 ,   26 ,- ,- 
15 - 24,,   16 ,   8 ,   3 ,   4 ,   1 ,- ,- ,- 
25 - 34,,   62 ,   18 ,   9 ,   19 ,   11 ,   5 ,- ,- 
35 - 44,,   122 ,   40 ,   24 ,   30 ,   21 ,   7 ,- ,- 
45 - 54,,   124 ,   53 ,   17 ,   31 ,   14 ,   9 ,- ,- 
55 - 64,,   139 ,   65 ,   33 ,   28 ,   10 ,   3 ,- ,- 
>= 65,,   141 ,   95 ,   22 ,   16 ,   6 ,   2 ,- ,- 
,Lajes das Flores,,,,,,,,
,Total,   303 ,   139 ,   52 ,   67 ,   29 ,   16 ,- ,- 
,15 - 24,   11 ,   5 ,   3 ,   3 ,- ,- ,- ,- 
,25 - 34,   31 ,   8 ,   5 ,   11 ,   5 ,   2 ,- ,- 
,35 - 44,   66 ,   24 ,   11 ,   19 ,   7 ,   5 ,- ,- 
,45 - 54,   63 ,   25 ,   12 ,   13 ,   8 ,   5 ,- ,- 
,55 - 64,   63 ,   28 ,   13 ,   13 ,   7 ,   2 ,- ,- 
,>= 65,   69 ,   49 ,   8 ,   8 ,   2 ,   2 ,- ,- 
,Santa Cruz das Flores,,,,,,,,
,Total,   301 ,   140 ,   56 ,   61 ,   34 ,   10 ,- ,- 
,15 - 24,   5 ,   3 ,- ,   1 ,   1 ,- ,- ,- 
,25 - 34,   31 ,   10 ,   4 ,   8 ,   6 ,   3 ,- ,- 
,35 - 44,   56 ,   16 ,   13 ,   11 ,   14 ,   2 ,- ,- 
,45 - 54,   61 ,   28 ,   5 ,   18 ,   6 ,   4 ,- ,- 
,55 - 64,   76 ,   37 ,   20 ,   15 ,   3 ,   1 ,- ,- 
,>= 65,   72 ,   46 ,   14 ,   8 ,   4 ,- ,- ,- 
Ilha do Corvo (Corvo),,,,,,,,,
Total,,   64 ,   15 ,   11 ,   25 ,   13 ,- ,- ,- 
15 - 24,,   2 ,- ,- ,   1 ,   1 ,- ,- ,- 
25 - 34,,   9 ,   3 ,   1 ,   1 ,   4 ,- ,- ,- 
35 - 44,,   9 ,   1 ,   1 ,   5 ,   2 ,- ,- ,- 
45 - 54,,   15 ,   1 ,   3 ,   9 ,   2 ,- ,- ,- 
55 - 64,,   10 ,   2 ,   2 ,   4 ,   2 ,- ,- ,- 
>= 65,,   19 ,   8 ,   4 ,   5 ,   2 ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,
