Produtor singular segundo a OTE e as classes de idade (Bovinos para Gado/Carne - Ilha do Faial),,,,,,,,,,,
,,,,,,,,,,,Pág. 3/8
REGIÃO AGRÁRIA,,Total,Cereais Plantas olea./prot.,Culturas agrícolas diversas,Horticultura,Viticultura,Fruticultura,Olivicultura,Culturas permanentes diversas,Bovinos de leite,Bovinos para gado/carne
Ilha / Concelho,,nº de indivíduos,,,,,,,,,
,Calheta,,,,,,,,,,
,Total,   641 ,- ,   23 ,- ,   48 ,   18 ,- ,   21 ,   237 ,   25 
,15 - 24,   25 ,- ,- ,- ,   1 ,- ,- ,- ,   10 ,   2 
,25 - 34,   69 ,- ,   2 ,- ,- ,   1 ,- ,   1 ,   46 ,   1 
,35 - 44,   141 ,- ,   4 ,- ,   2 ,   2 ,- ,   1 ,   71 ,   4 
,45 - 54,   143 ,- ,   2 ,- ,   8 ,   2 ,- ,   6 ,   66 ,   5 
,55 - 64,   130 ,- ,   9 ,- ,   12 ,   6 ,- ,   9 ,   32 ,   6 
,>= 65,   133 ,- ,   6 ,- ,   25 ,   7 ,- ,   4 ,   12 ,   7 
,Velas,,,,,,,,,,
,Total,   638 ,- ,   42 ,   4 ,   33 ,   41 ,- ,   16 ,   232 ,   33 
,15 - 24,   19 ,- ,- ,- ,- ,- ,- ,- ,   12 ,   1 
,25 - 34,   75 ,- ,   2 ,- ,   2 ,   3 ,- ,   1 ,   49 ,   3 
,35 - 44,   119 ,- ,   8 ,- ,   4 ,   5 ,- ,   1 ,   60 ,   7 
,45 - 54,   143 ,- ,   7 ,   1 ,   6 ,   5 ,- ,   1 ,   64 ,   9 
,55 - 64,   133 ,- ,   7 ,   1 ,   12 ,   10 ,- ,   7 ,   31 ,   7 
,>= 65,   149 ,- ,   18 ,   2 ,   9 ,   18 ,- ,   6 ,   16 ,   6 
Ilha do Pico,,,,,,,,,,,
Total,,  2 640 ,   7 ,   231 ,   4 ,   616 ,   156 ,- ,   236 ,   89 ,   213 
15 - 24,,   23 ,- ,   2 ,- ,   2 ,   2 ,- ,- ,   1 ,   6 
25 - 34,,   234 ,- ,   13 ,- ,   46 ,   9 ,- ,   8 ,   21 ,   48 
35 - 44,,   522 ,- ,   38 ,- ,   106 ,   22 ,- ,   30 ,   23 ,   71 
45 - 54,,   612 ,- ,   26 ,   4 ,   130 ,   34 ,- ,   54 ,   29 ,   55 
55 - 64,,   537 ,- ,   49 ,- ,   133 ,   30 ,- ,   57 ,   9 ,   22 
>= 65,,   712 ,   7 ,   103 ,- ,   199 ,   59 ,- ,   87 ,   6 ,   11 
,Lajes do Pico,,,,,,,,,,
,Total,  1 002 ,   1 ,   63 ,   2 ,   152 ,   78 ,- ,   93 ,   71 ,   86 
