Produtor singular segundo a OTE e as classes de idade (não Clasificados - Ilha do Faial),,,,,,,,,,
,,,,,,,,,,Pág.7/8
REGIÃO AGRÁRIA,,Bovinos para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
Ilha / Concelho,,nº de indivíduos,,,,,,,,
,Calheta,,,,,,,,,
,Total,   43 ,   15 ,   8 ,   75 ,   50 ,   11 ,   16 ,   47 ,   4 
,15 - 24,   4 ,   2 ,- ,   1 ,   3 ,- ,- ,   2 ,- 
,25 - 34,   5 ,   1 ,   1 ,   1 ,   2 ,   2 ,   3 ,   3 ,- 
,35 - 44,   10 ,   5 ,   1 ,   12 ,   13 ,   4 ,   2 ,   10 ,- 
,45 - 54,   12 ,   4 ,   2 ,   14 ,   8 ,   1 ,   2 ,   11 ,- 
,55 - 64,   7 ,   1 ,   1 ,   19 ,   17 ,   1 ,   2 ,   8 ,- 
,>= 65,   5 ,   2 ,   3 ,   28 ,   7 ,   3 ,   7 ,   13 ,   4 
,Velas,,,,,,,,,
,Total,   26 ,   30 ,   13 ,   66 ,   37 ,   13 ,   21 ,   29 ,   2 
,15 - 24,- ,   1 ,   1 ,   1 ,   1 ,   1 ,- ,   1 ,- 
,25 - 34,   4 ,   1 ,- ,   3 ,   2 ,   3 ,- ,   2 ,- 
,35 - 44,   6 ,   7 ,   1 ,   5 ,   7 ,- ,   4 ,   4 ,- 
,45 - 54,   6 ,   8 ,   2 ,   14 ,   4 ,   3 ,   3 ,   9 ,   1 
,55 - 64,   4 ,   2 ,   3 ,   21 ,   14 ,   2 ,   5 ,   7 ,- 
,>= 65,   6 ,   11 ,   6 ,   22 ,   9 ,   4 ,   9 ,   6 ,   1 
Ilha do Pico,,,,,,,,,,
Total,,   77 ,   16 ,   12 ,   644 ,   141 ,   4 ,   23 ,   153 ,   18 
15 - 24,,   1 ,- ,- ,   3 ,   2 ,- ,   1 ,   2 ,   1 
25 - 34,,   11 ,   1 ,   1 ,   32 ,   24 ,   1 ,   3 ,   16 ,- 
35 - 44,,   28 ,   5 ,   1 ,   121 ,   37 ,- ,   4 ,   35 ,   1 
45 - 54,,   25 ,   4 ,   1 ,   140 ,   42 ,   1 ,   6 ,   56 ,   5 
55 - 64,,   11 ,   2 ,   3 ,   162 ,   25 ,   1 ,   6 ,   25 ,   2 
>= 65,,   1 ,   4 ,   6 ,   186 ,   11 ,   1 ,   3 ,   19 ,   9 
,Lajes do Pico,,,,,,,,,
,Total,   56 ,   4 ,   4 ,   270 ,   68 ,   2 ,   10 ,   42 ,- 
,15 - 24,   1 ,- ,- ,   1 ,   1 ,- ,- ,- ,- 
,25 - 34,   7 ,- ,- ,   22 ,   10 ,- ,   3 ,   1 ,- 
,35 - 44,   18 ,   2 ,   1 ,   47 ,   16 ,- ,   1 ,   13 ,- 
,45 - 54,   19 ,   1 ,   1 ,   54 ,   22 ,   1 ,   3 ,   12 ,- 
,55 - 64,   10 ,   1 ,   2 ,   71 ,   17 ,   1 ,   2 ,   10 ,- 
,>= 65,   1 ,- ,- ,   75 ,   2 ,- ,   1 ,   6 ,- 
,Madalena,,,,,,,,,
,Total,   10 ,   4 ,   4 ,   259 ,   36 ,- ,   6 ,   74 ,   9 
,15 - 24,- ,- ,- ,   2 ,   1 ,- ,- ,   2 ,   1 
,25 - 34,   2 ,   1 ,   1 ,   6 ,   8 ,- ,- ,   11 ,- 
,35 - 44,   7 ,   2 ,- ,   53 ,   11 ,- ,   2 ,   17 ,- 
,45 - 54,   1 ,   1 ,- ,   64 ,   13 ,- ,   2 ,   30 ,   2 
,55 - 64,- ,- ,   1 ,   62 ,   3 ,- ,   1 ,   11 ,   1 
,>= 65,- ,- ,   2 ,   72 ,- ,- ,   1 ,   3 ,   5 
,São Roque do Pico,,,,,,,,,
,Total,   11 ,   8 ,   4 ,   115 ,   37 ,   2 ,   7 ,   37 ,   9 
,15 - 24,- ,- ,- ,- ,- ,- ,   1 ,- ,- 
,25 - 34,   2 ,- ,- ,   4 ,   6 ,   1 ,- ,   4 ,- 
,35 - 44,   3 ,   1 ,- ,   21 ,   10 ,- ,   1 ,   5 ,   1 
,45 - 54,   5 ,   2 ,- ,   22 ,   7 ,- ,   1 ,   14 ,   3 
,55 - 64,   1 ,   1 ,- ,   29 ,   5 ,- ,   3 ,   4 ,   1 
,>= 65,- ,   4 ,   4 ,   39 ,   9 ,   1 ,   1 ,   10 ,   4 
Ilha do Faial (Horta),,,,,,,,,,
Total,,   109 ,   60 ,   10 ,   108 ,   108 ,   35 ,   24 ,   72 ,   3 
15 - 24,,   2 ,   3 ,- ,- ,- ,   1 ,- ,   1 ,- 
25 - 34,,   13 ,   7 ,   1 ,   4 ,   7 ,   1 ,- ,   4 ,- 
35 - 44,,   31 ,   10 ,   3 ,   6 ,   26 ,   6 ,   5 ,   13 ,- 
45 - 54,,   37 ,   13 ,   4 ,   24 ,   29 ,   8 ,   7 ,   22 ,- 
55 - 64,,   15 ,   12 ,   1 ,   32 ,   18 ,   9 ,   9 ,   11 ,- 
>= 65,,   11 ,   15 ,   1 ,   42 ,   28 ,   10 ,   3 ,   21 ,   3 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,
