População e mão-de-obra agrícola familiar (UTA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA,,,População familiar total,,,,População familiar com tempo de actividade na exploração,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha / Concelho,,,Total,Produtor,Cônjuge,Outros membros,Total,Produtor,Cônjuge,Outros membros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AÇORES,,ind (nº),  68 340 ,  19 086 ,  15 771 ,  33 483 ,  44 722 ,  19 086 ,  11 342 ,  14 294 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,  12 245 ,  7 412 ,  1 951 ,  2 882 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha de Santa Maria ( Vila do Porto ),,ind (nº),  1 952 ,   576 ,   462 ,   914 ,  1 267 ,   576 ,   372 ,   319 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,   327 ,   189 ,   78 ,   60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha de São Miguel,,ind (nº),  28 325 ,  7 276 ,  6 098 ,  14 951 ,  20 797 ,  7 276 ,  5 209 ,  8 312 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,  5 013 ,  2 745 ,   709 ,  1 559 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lagoa,ind (nº),  2 320 ,   557 ,   479 ,  1 284 ,  1 978 ,   557 ,   468 ,   953 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,   422 ,   218 ,   62 ,   142 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nordeste,ind (nº),  2 321 ,   666 ,   569 ,  1 086 ,  1 668 ,   666 ,   481 ,   521 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,   460 ,   288 ,   67 ,   105 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ponta Delgada,ind (nº),  10 942 ,  2 833 ,  2 392 ,  5 717 ,  8 087 ,  2 833 ,  2 043 ,  3 211 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,  1 890 ,  1 018 ,   279 ,   593 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Povoação,ind (nº),  2 315 ,   664 ,   545 ,  1 106 ,  1 557 ,   664 ,   380 ,   513 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,   387 ,   238 ,   49 ,   100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ribeira Grande,ind (nº),  6 861 ,  1 697 ,  1 409 ,  3 755 ,  4 512 ,  1 697 ,  1 150 ,  1 665 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,  1 201 ,   672 ,   160 ,   369 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vila Franca do Campo,ind (nº),  3 566 ,   859 ,   704 ,  2 003 ,  2 995 ,   859 ,   687 ,  1 449 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,   653 ,   311 ,   92 ,   250 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha Terceira,,ind (nº),  15 550 ,  4 464 ,  3 751 ,  7 335 ,  8 976 ,  4 464 ,  2 085 ,  2 427 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,  2 890 ,  1 917 ,   398 ,   575 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Angra do Heroísmo,ind (nº),  9 151 ,  2 592 ,  2 151 ,  4 408 ,  5 377 ,  2 592 ,  1 294 ,  1 491 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
