Mão-de-obra agrícola não familiar (UTA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA,,,Mão - de -obra não familiar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha,,,Total,Permanente,,,Trabalhadores eventuais agrícolas,Trabalhadores eventuais agrícolas não contratados pelo produtor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concelho,,,,Total,Dirigente,Outros trabalhadores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AÇORES,,ind (nº),- ,  2 632 ,   238 ,  2 394 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,  3 235 ,  2 170 ,   122 ,  2 042 ,   971 ,   94 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha de Santa Maria ( Vila do Porto ),,ind (nº),- ,   28 ,   4 ,   24 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   56 ,   22 ,   1 ,   21 ,   34 ,o ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha de São Miguel,,ind (nº),- ,  1 741 ,   131 ,  1 610 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,  2 146 ,  1 448 ,   55 ,  1 392 ,   631 ,   67 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lagoa,ind (nº),- ,   128 ,   9 ,   119 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   162 ,   102 ,   6 ,   97 ,   55 ,   5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nordeste,ind (nº),- ,   103 ,   7 ,   96 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   127 ,   92 ,   3 ,   89 ,   30 ,   5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ponta Delgada,ind (nº),- ,   787 ,   63 ,   724 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   864 ,   633 ,   22 ,   610 ,   206 ,   25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Povoação,ind (nº),- ,   95 ,   8 ,   87 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   131 ,   77 ,   1 ,   75 ,   49 ,   5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ribeira Grande,ind (nº),- ,   433 ,   24 ,   409 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,   570 ,   378 ,   13 ,   364 ,   172 ,   20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vila Franca do Campo,ind (nº),- ,   195 ,   20 ,   175 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
