Explorações segundo o número de suínos,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999
Região Agrária,,,,Total,Classes do número de animais,,,,,,,,,
,Nut III,,,,,,,,,,,,,
,,Concelho,,,1 a 2,3 a 4,5 a 9,10 a 19,20 a 49,50 a 99,100 a 199,200 a 399,400 a 999,> = 1000
Entre Douro e Minho,,,expl (nº),"25,324","20,762","3,067",895,416,115,27,14,10,7,11
,,,efect (nº),"116,602","29,735","10,037","5,722","5,341","3,172","1,846","2,003","2,873","4,439","51,434"
,Minho Lima ,,expl (nº),"4,559","4,069",348,76,46,10,2,3,3,2,- 
,,,efect (nº),"10,863","5,602","1,124",487,616,298,... ,427,950,... ,- 
,,Arcos de Valdevez,expl (nº),595,557,24,6,7,1,- ,- ,- ,- ,- 
,,,efect (nº),958,721,76,42,96,... ,- ,- ,- ,- ,- 
,,Caminha,expl (nº),159,138,17,3,1,- ,- ,- ,- ,- ,- 
,,,efect (nº),300,209,54,21,... ,- ,- ,- ,- ,- ,- 
,,Melgaço,expl (nº),288,238,45,1,2,- ,- ,1,1,- ,- 
,,,efect (nº),997,391,143,... ,... ,- ,- ,... ,... ,- ,- 
,,Monção,expl (nº),711,665,42,2,1,- ,1,- ,- ,- ,- 
,,,efect (nº),"1,241",998,135,... ,... ,- ,... ,- ,- ,- ,- 
,,Paredes de Coura,expl (nº),427,397,27,2,1,- ,- ,- ,- ,- ,- 
,,,efect (nº),667,555,90,... ,... ,- ,- ,- ,- ,- ,- 
,,Ponte da Barca,expl (nº),238,211,20,5,2,- ,- ,- ,- ,- ,- 
,,,efect (nº),391,266,68,32,... ,- ,- ,- ,- ,- ,- 
,,Ponte de Lima,expl (nº),"1,118",966,84,37,25,3,- ,- ,2,1,- 
,,,efect (nº),"3,302","1,211",272,248,338,69,- ,- ,... ,... ,- 
,,Valença,expl (nº),184,172,8,1,- ,1,- ,1,- ,1,- 
,,,efect (nº),"1,189",237,27,... ,- ,... ,- ,... ,- ,... ,- 
,,Viana do Castelo,expl (nº),718,617,75,16,3,5,1,1,- ,- ,- 
,,,efect (nº),"1,586",876,239,90,41,161,... ,... ,- ,- ,- 
,,Vila Nova de Cerveira,expl (nº),121,108,6,3,4,- ,- ,- ,- ,- ,- 
,,,efect (nº),232,138,20,19,55,- ,- ,- ,- ,- ,- 
,Cávado,,expl (nº),"4,455","3,737",473,136,93,10,1,4,- ,- ,1
,,,efect (nº),"14,755","5,184","1,546",877,"1,203",282,... ,579,- ,- ,... 
,,Amares,expl (nº),286,222,38,11,13,- ,1,- ,- ,- ,1
,,,efect (nº),"5,722",284,125,76,153,- ,... ,- ,- ,- ,... 
,,Barcelos,expl (nº),"1,258","1,135",89,21,8,2,- ,3,- ,- ,- 
,,,efect (nº),"2,528","1,561",291,129,116,... ,- ,384,- ,- ,- 
,,Braga,expl (nº),657,546,72,25,11,3,- ,- ,- ,- ,- 
,,,efect (nº),"1,422",790,237,147,156,92,- ,- ,- ,- ,- 
,,Esposende,expl (nº),450,416,27,4,3,- ,- ,- ,- ,- ,- 
,,,efect (nº),716,557,89,26,44,- ,- ,- ,- ,- ,- 
,,Terras de Bouro,expl (nº),388,304,66,9,9,- ,- ,- ,- ,- ,- 
,,,efect (nº),838,454,217,58,109,- ,- ,- ,- ,- ,- 
,,Vila Verde,expl (nº),"1,416","1,114",181,66,49,5,- ,1,- ,- ,- 
,,,efect (nº),"3,529","1,538",587,441,625,143,- ,... ,- ,- ,- 
,Ave,,expl (nº),"3,580","2,996",376,124,57,14,6,2,1,3,1
,,,efect (nº),"11,443","4,250","1,240",807,716,337,411,... ,... ,"1,948",... 
,,Fafe,expl (nº),600,529,52,6,9,1,3,- ,- ,- ,- 
,,,efect (nº),"1,314",756,172,40,118,... ,207,- ,- ,- ,- 
,,Guimarães,expl (nº),697,558,82,31,15,5,2,2,1,- ,1
,,,efect (nº),"3,437",794,272,196,188,118,... ,... ,... ,- ,... 
,,Póvoa de Lanhoso,expl (nº),470,391,52,15,9,3,- ,- ,- ,- ,- 
,,,efect (nº),969,530,167,102,101,69,- ,- ,- ,- ,- 
,,Santo Tirso,expl (nº),293,238,40,8,4,2,- ,- ,- ,1,- 
,,,efect (nº),"1,431",346,133,61,59,... ,- ,- ,- ,... ,- 
,,Trofa,expl (nº),154,125,19,7,- ,1,1,- ,- ,1,- 
,,,efect (nº),"1,049",178,64,43,- ,... ,... ,- ,- ,... ,- 
,,Vieira do Minho,expl (nº),634,493,84,41,15,1,- ,- ,- ,- ,- 
,,,efect (nº),"1,477",732,276,268,181,... ,- ,- ,- ,- ,- 
,,Vila Nova de Famalicão,expl (nº),656,594,41,14,5,1,- ,- ,- ,1,- 
,,,efect (nº),"1,631",810,135,87,69,... ,- ,- ,- ,... ,- 
,,Vizela,expl (nº),76,68,6,2,- ,- ,- ,- ,- ,- ,- 
,,,efect (nº),135,104,21,... ,- ,- ,- ,- ,- ,- ,- 
,Grande Porto,,expl (nº),"1,096",845,164,46,14,13,8,2,1,- ,3
,,,efect (nº),"18,248","1,224",548,288,176,341,535,... ,... ,- ,"14,617"
,,Espinho,expl (nº),15,10,4,1,- ,- ,- ,- ,- ,- ,- 
,,,efect (nº),32,14,13,... ,- ,- ,- ,- ,- ,- ,- 
,,Gondomar,expl (nº),198,153,34,4,3,2,1,- ,1,- ,- 
,,,efect (nº),723,219,113,25,31,... ,... ,- ,... ,- ,- 
,,Maia,expl (nº),100,74,19,4,1,1,1,- ,- ,- ,- 
,,,efect (nº),302,117,62,26,... ,... ,... ,- ,- ,- ,- 
,,Matosinhos,expl (nº),70,47,14,4,2,2,1,- ,- ,- ,- 
,,,efect (nº),278,71,50,26,... ,... ,... ,- ,- ,- ,- 
,,Póvoa de Varzim,expl (nº),200,175,17,3,1,1,1,- ,- ,- ,2
,,,efect (nº),"13,535",235,55,21,... ,... ,... ,- ,- ,- ,... 
,,Valongo,expl (nº),97,70,15,8,1,1,2,- ,- ,- ,- 
,,,efect (nº),364,105,50,48,... ,... ,... ,- ,- ,- ,- 
,,Vila do Conde,expl (nº),226,187,23,8,2,3,2,- ,- ,- ,1
,,,efect (nº),"2,166",265,81,52,... ,102,... ,- ,- ,- ,... 
,,Vila Nova de Gaia,expl (nº),190,129,38,14,4,3,- ,2,- ,- ,- 
,,,efect (nº),848,198,124,85,50,76,- ,... ,- ,- ,- 
,Tâmega,,expl (nº),"8,703","6,893","1,162",400,173,58,9,2,1,2,3
,,,efect (nº),"44,016","10,154","3,815","2,578","2,195","1,622",610,... ,... ,... ,"21,061"
,,Amarante,expl (nº),765,599,114,33,12,5,1,- ,- ,- ,1
,,,efect (nº),"12,383",932,380,206,136,139,... ,- ,- ,- ,... 
,,Baião,expl (nº),795,697,75,17,3,3,- ,- ,- ,- ,- 
,,,efect (nº),"1,460",982,242,107,35,94,- ,- ,- ,- ,- 
,,Cabeceiras de Basto,expl (nº),530,379,92,30,23,5,- ,- ,- ,1,- 
,,,efect (nº),"1,956",569,299,202,294,138,- ,- ,- ,... ,- 
,,Castelo de Paiva,expl (nº),431,330,70,22,6,2,1,- ,- ,- ,- 
,,,efect (nº),"1,015",477,227,133,84,... ,... ,- ,- ,- ,- 
,,Celorico de Basto,expl (nº),657,540,67,23,19,5,2,- ,- ,- ,1
,,,efect (nº),"6,956",779,221,158,245,183,... ,- ,- ,- ,... 
,,Cinfães,expl (nº),821,755,59,5,2,- ,- ,- ,- ,- ,- 
,,,efect (nº),"1,332","1,081",188,31,... ,- ,- ,- ,- ,- ,- 
,,Felgueiras,expl (nº),492,365,79,34,9,2,1,- ,1,- ,1
,,,efect (nº),"6,971",564,257,209,109,... ,... ,- ,... ,- ,... 
