Produtor singular segundo a OTE e as classes de idade (Página 2),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 2/10
Região Agrária,,,,Bovinos              para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
,Nut III,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,
Entre Douro e Minho,,,,,,,,,,,,
,,,Total,448,"2,076",227,"24,053","9,034",408,"4,458","3,842",4
,,,15 - 24,2,16,3,44,15,1,7,5,- 
,,,25 - 34,23,142,24,784,362,24,154,159,1
,,,35 - 44,73,339,54,"2,849","1,258",67,659,521,- 
,,,45 - 54,130,430,56,"4,676","2,051",98,955,853,1
,,,55 - 64,131,592,52,"7,038","2,782",123,"1,363","1,136",2
,,,>= 65,89,557,38,"8,662","2,566",95,"1,320","1,168",- 
,Minho Lima,,,,,,,,,,,
,,,Total,109,"1,105",45,"4,751","3,562",87,"1,648","1,135",- 
,,,15 - 24,- ,7,1,5,3,- ,1,- ,- 
,,,25 - 34,1,53,5,112,125,3,57,31,- 
,,,35 - 44,19,153,13,481,480,19,249,123,- 
,,,45 - 54,35,225,16,"1,005",823,22,366,246,- 
,,,55 - 64,36,330,6,"1,466","1,145",23,526,362,- 
,,,>= 65,18,337,4,"1,682",986,20,449,373,- 
,,Arcos de Valdevez,,,,,,,,,,
,,,Total,3,332,1,874,613,3,216,252,- 
,,,15 - 24,- ,1,- ,2,2,- ,1,- ,- 
,,,25 - 34,- ,14,- ,16,13,1,2,4,- 
,,,35 - 44,- ,41,1,96,71,- ,32,15,- 
,,,45 - 54,1,61,- ,159,143,1,35,42,- 
,,,55 - 64,1,116,- ,264,185,1,74,84,- 
,,,>= 65,1,99,- ,337,199,- ,72,107,- 
,,Caminha,,,,,,,,,,
,,,Total,6,44,3,83,187,4,61,29,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,1,- ,- ,8,- ,- ,3,- 
,,,35 - 44,2,5,- ,8,36,2,8,8,- 
,,,45 - 54,3,13,2,23,41,- ,16,5,- 
,,,55 - 64,1,13,1,27,56,2,20,7,- 
,,,>= 65,- ,12,- ,25,46,- ,17,6,- 
,,Melgaço,,,,,,,,,,
,,,Total,- ,193,2,252,256,8,38,101,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,5,- ,5,7,- ,1,- ,- 
,,,35 - 44,- ,24,1,12,27,2,3,7,- 
,,,45 - 54,- ,34,- ,54,66,3,11,18,- 
,,,55 - 64,- ,62,1,77,79,2,13,37,- 
,,,>= 65,- ,68,- ,104,77,1,10,39,- 
,,Monção,,,,,,,,,,
,,,Total,1,100,2,646,571,3,66,249,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,3,- ,10,27,- ,2,5,- 
,,,35 - 44,1,13,1,75,78,- ,7,28,- 
,,,45 - 54,- ,24,1,139,125,2,13,61,- 
,,,55 - 64,- ,30,- ,203,182,- ,25,80,- 
,,,>= 65,- ,30,- ,219,159,1,19,75,- 
,,Paredes de Coura,,,,,,,,,,
,,,Total,24,162,2,116,305,14,217,37,- 
,,,15 - 24,- ,3,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,15,- ,1,8,2,6,- ,- 
,,,35 - 44,6,22,1,7,43,3,24,1,- 
,,,45 - 54,9,33,1,24,64,3,36,12,- 
,,,55 - 64,6,38,- ,40,86,2,77,11,- 
,,,>= 65,3,51,- ,44,104,4,74,13,- 
,,Ponte da Barca,,,,,,,,,,
