Produtor singular segundo a OTE e as classes de idade (Página 5),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 5/10
Região Agrária,,,,Total,Cereais Plantas olea./prot.,Culturas agrícolas diversas,Horticultura,Viticultura,Fruticultura,Olivicultura,Culturas permanentes diversas,Bovinos                de leite,Bovinos para gado/carne
,Nut III,,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,,
,,Trofa,,,,,,,,,,,
,,,Total,327,2,39,5,10,1,- ,4,118,12
,,,15 - 24,2,- ,- ,1,- ,- ,- ,- ,- ,- 
,,,25 - 34,22,- ,4,1,- ,- ,- ,- ,14,- 
,,,35 - 44,59,- ,7,2,1,- ,- ,1,25,2
,,,45 - 54,88,- ,6,1,- ,1,- ,- ,49,2
,,,55 - 64,69,1,6,- ,2,- ,- ,2,23,4
,,,>= 65,87,1,16,- ,7,- ,- ,1,7,4
,,Vieira do Minho,,,,,,,,,,,
,,,Total,"1,177",5,44,2,131,- ,- ,13,5,73
,,,15 - 24,4,- ,- ,- ,- ,- ,- ,- ,- ,2
,,,25 - 34,42,- ,1,- ,2,- ,- ,- ,1,6
,,,35 - 44,176,1,7,1,16,- ,- ,3,1,11
,,,45 - 54,204,1,7,- ,16,- ,- ,1,2,12
,,,55 - 64,340,- ,7,1,29,- ,- ,5,1,16
,,,>= 65,411,3,22,- ,68,- ,- ,4,- ,26
,,Vila Nova de Famalicão,,,,,,,,,,,
,,,Total,"1,677",23,217,31,128,15,- ,33,244,125
,,,15 - 24,15,- ,3,1,- ,- ,- ,- ,8,- 
,,,25 - 34,93,1,15,6,3,1,- ,- ,32,13
,,,35 - 44,173,2,16,7,17,2,- ,3,52,16
,,,45 - 54,312,3,39,1,25,3,- ,3,60,40
,,,55 - 64,475,5,56,8,37,6,- ,12,59,27
,,,>= 65,609,12,88,8,46,3,- ,15,33,29
,,Vizela,,,,,,,,,,,
,,,Total,202,- ,13,4,26,2,- ,5,5,3
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,10,- ,- ,- ,1,- ,- ,- ,1,- 
,,,35 - 44,31,- ,2,- ,2,- ,- ,2,2,1
,,,45 - 54,42,- ,1,1,11,1,- ,- ,1,1
,,,55 - 64,61,- ,7,- ,9,1,- ,1,- ,- 
,,,>= 65,58,- ,3,3,3,- ,- ,2,1,1
,Grande Porto,,,,,,,,,,,,
,,,Total,"4,489",36,365,"1,208",116,74,- ,37,929,183
,,,15 - 24,38,- ,1,16,- ,- ,- ,- ,14,3
,,,25 - 34,261,- ,6,62,1,1,- ,- ,126,17
,,,35 - 44,698,5,25,205,12,13,- ,5,246,29
,,,45 - 54,"1,074",3,70,329,16,13,- ,5,282,50
,,,55 - 64,"1,118",6,102,278,26,16,- ,12,167,46
,,,>= 65,"1,300",22,161,318,61,31,- ,15,94,38
,,Espinho,,,,,,,,,,,
,,,Total,34,1,5,7,- ,1,- ,- ,2,1
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,1,- ,- ,1,- ,- ,- ,- ,- ,- 
,,,35 - 44,3,- ,- ,- ,- ,- ,- ,- ,1,- 
,,,45 - 54,9,- ,2,1,- ,- ,- ,- ,1,- 
,,,55 - 64,6,1,- ,2,- ,- ,- ,- ,- ,- 
,,,>= 65,15,- ,3,3,- ,1,- ,- ,- ,1
,,Gondomar,,,,,,,,,,,
,,,Total,774,8,76,156,61,15,- ,18,6,5
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,25,- ,1,5,1,- ,- ,- ,2,- 
,,,35 - 44,71,2,5,7,7,2,- ,5,- ,2
,,,45 - 54,153,1,13,30,10,6,- ,1,3,1
,,,55 - 64,209,1,20,38,14,2,- ,6,- ,2
,,,>= 65,316,4,37,76,29,5,- ,6,1,- 
,,Maia,,,,,,,,,,,
,,,Total,397,1,49,38,11,9,- ,8,71,23
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,17,- ,- ,3,- ,- ,- ,- ,2,3
,,,35 - 44,69,- ,3,6,- ,3,- ,- ,26,5
,,,45 - 54,86,- ,3,4,- ,1,- ,3,27,5
,,,55 - 64,95,- ,17,8,2,1,- ,2,10,3
,,,>= 65,130,1,26,17,9,4,- ,3,6,7
,,Matosinhos,,,,,,,,,,,
,,,Total,291,4,26,20,1,2,- ,1,104,22
,,,15 - 24,3,- ,- ,- ,- ,- ,- ,- ,1,1
,,,25 - 34,24,- ,- ,1,- ,- ,- ,- ,15,3
,,,35 - 44,37,- ,1,2,- ,- ,- ,- ,26,1
,,,45 - 54,58,1,5,1,- ,- ,- ,- ,30,4
,,,55 - 64,60,- ,4,6,- ,- ,- ,- ,10,9
,,,>= 65,109,3,16,10,1,2,- ,1,22,4
,,Póvoa de Varzim,,,,,,,,,,,
,,,Total,"1,287",- ,44,802,5,- ,- ,2,245,27
,,,15 - 24,24,- ,- ,14,- ,- ,- ,- ,10,- 
,,,25 - 34,84,- ,1,46,- ,- ,- ,- ,29,3
,,,35 - 44,267,- ,3,171,1,- ,- ,- ,63,3
,,,45 - 54,415,- ,14,271,- ,- ,- ,- ,76,12
,,,55 - 64,279,- ,12,166,3,- ,- ,- ,49,5
,,,>= 65,218,- ,14,134,1,- ,- ,2,18,4
,,Valongo,,,,,,,,,,,
,,,Total,302,4,31,12,26,8,- ,2,20,13
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,11,- ,- ,- ,- ,1,- ,- ,5,- 
,,,35 - 44,35,1,3,1,2,2,- ,- ,8,2
,,,45 - 54,66,- ,9,1,4,2,- ,- ,4,7
,,,55 - 64,95,1,13,5,5,3,- ,2,2,1
,,,>= 65,95,2,6,5,15,- ,- ,- ,1,3
,,Vila do Conde,,,,,,,,,,,
,,,Total,842,5,57,24,9,14,- ,3,472,81
,,,15 - 24,10,- ,1,2,- ,- ,- ,- ,3,2
,,,25 - 34,91,- ,3,4,- ,- ,- ,- ,73,5
,,,35 - 44,168,1,6,8,1,1,- ,- ,121,13
,,,45 - 54,205,- ,9,3,2,2,- ,- ,139,21
,,,55 - 64,203,2,15,2,1,4,- ,1,94,23
,,,>= 65,165,2,23,5,5,7,- ,2,42,17
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,,
