Explorações seundo a OTE e a dimensão económica (Página 2),,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág.2/6
,,Viana do Castelo,Vila Nova de Cerveira,Cávado,Amares,Barcelos,Braga,Esposende,Terras do Bouro,Vila Verde,Ave
,,expl (nº),,,,,,,,,
Classes de dimensão económica (UDE),,"2,384",377,"11,431",906,"4,012","1,746","1,321",756,"2,690","9,147"
,> 0 a < 2,764,208,"2,867",250,823,334,299,260,901,"2,398"
,2 a < 4,909,120,"3,923",336,"1,206",566,395,276,"1,144","3,189"
,4 a < 8,463,25,"2,372",178,781,467,331,148,467,"2,001"
,8 a < 16,148,9,"1,062",74,429,235,163,57,104,800
,16 a < 40,81,10,905,45,564,113,115,13,55,525
,40 a < 100,18,5,271,15,196,27,18,- ,15,211
,> = 100,1,- ,31,8,13,4,- ,2,4,23
OTE,,"2,384",377,"11,431",906,"4,012","1,746","1,321",756,"2,690","9,151"
,Cereais e plantas olea./proteaginosas,17,8,62,- ,18,17,2,3,22,41
,Culturas agrícolas diversas,135,29,763,38,317,205,45,23,135,838
,Horticultura,51,4,462,13,81,24,325,1,18,140
,Viticultura,137,11,587,86,187,114,15,46,139,820
,Fruticultura,8,2,101,38,13,20,- ,3,27,48
,Olivicultura,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas permanentes diversas,21,- ,240,86,58,42,4,4,46,172
,Bovinos de leite,243,18,"1,497",5,"1,168",98,195,- ,31,542
,Bovinos para gado/carne,34,2,489,3,276,47,23,55,85,300
,Bovinos para leite/gado/carne,54,5,122,- ,98,6,15,- ,3,20
,Ovinos/caprinos/outros herbívoros,50,27,204,8,26,17,2,90,61,173
,Granívoros,11,1,43,6,2,5,2,4,24,36
,Policultura,614,105,"3,910",491,801,795,399,259,"1,165","3,784"
,Polipecuária-herbívoros,534,84,"1,408",46,519,153,139,147,404,"1,142"
,Polipecuária-granívoros,10,3,112,7,27,18,10,7,43,28
,Agricultura geral e herbívoros,336,61,645,12,223,88,68,36,218,519
,Culturas diversas e gado,129,17,786,67,198,97,77,78,269,544
,Não classificadas,- ,- ,- ,- ,- ,- ,- ,- ,- ,4
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,
