"Explorações que recorreram a subsídios segundo a SAU, a dimensão económica e a OTE (Página 6)",,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 6/6
,,,Penafiel,Resende,Ribeira de Pena,Entre Douro e Vouga,Arouca,Oliveira de Azeméis,Santa Maria da Feira,São João da Madeira,Vale de Cambra
Explorações agrícolas,,expl. (nº),"1,906","1,237",882,"5,095","1,688","1,076",981,- ,"1,350"
,,SAU (ha),"3,919","4,275","3,214","9,297","4,026","1,955","1,711",- ,"1,605"
,Sem SAU,expl. (nº),6,2,9,20,5,10,3,- ,2
,> 0 a < 1,expl. (nº),733,359,131,"1,728",438,422,249,- ,619
,,SAU (ha),405,228,65,994,265,230,150,- ,349
,1 a < 2,expl. (nº),618,330,253,"2,306",820,400,525,- ,561
,,SAU (ha),857,460,364,"2,994","1,037",523,696,- ,738
,2 a < 5,expl. (nº),418,333,316,789,314,159,162,- ,154
,,SAU (ha),"1,239","1,066",981,"2,283",912,492,459,- ,420
,5 a < 10,expl. (nº),93,157,107,185,78,68,27,- ,12
,,SAU (ha),669,"1,088",739,"1,255",524,475,182,- ,74
,10 a < 20,expl. (nº),26,47,57,47,20,14,11,- ,2
,,SAU (ha),332,630,743,581,261,169,131,- ,... 
,20 a < 50,expl. (nº),11,5,8,17,10,3,4,- ,- 
,,SAU (ha),297,138,256,413,256,68,89,- ,- 
,50 a < 100,expl. (nº),- ,2,1,- ,- ,- ,- ,- ,- 
,,SAU (ha),- ,... ,... ,- ,- ,- ,- ,- ,- 
,>= 100,expl. (nº),1,2,- ,3,3,- ,- ,- ,- 
,,SAU (ha),... ,... ,- ,771,771,- ,- ,- ,- 
Classes de dimensão económica (UDE),,expl. (nº),"1,906","1,237",882,"5,095","1,688","1,076",981,- ,"1,350"
,,SAU (ha),"3,919","4,275","3,214","9,297","4,026","1,955","1,711",- ,"1,605"
,> 0 a < 2,expl. (nº),605,496,215,"2,225",737,411,480,- ,597
,,SAU (ha),363,738,251,"1,884",678,298,480,- ,428
,2 a < 4,expl. (nº),715,378,312,"1,802",584,332,331,- ,555
,,SAU (ha),950,"1,075",666,"2,603",970,414,521,- ,698
,4 a < 8,expl. (nº),364,194,232,622,224,134,99,- ,165
,,SAU (ha),919,708,987,"1,538",705,233,244,- ,356
,8 a < 16,expl. (nº),137,97,93,222,80,80,35,- ,27
,,SAU (ha),623,403,778,"1,200",748,225,143,- ,84
,16 a < 40,expl. (nº),63,55,26,169,55,83,25,- ,6
,,SAU (ha),545,842,383,"1,506",837,464,167,- ,38
,40 a < 100,expl. (nº),18,15,2,48,7,32,9,- ,- 
,,SAU (ha),346,353,... ,502,57,314,131,- ,- 
,> = 100,expl. (nº),4,2,2,7,1,4,2,- ,- 
,,SAU (ha),183,... ,... ,62,... ,9,... ,- ,- 
OTE,,expl. (nº),"1,906","1,237",882,"5,095","1,688","1,076",981,- ,"1,350"
,,SAU (ha),"3,919","4,275","3,214","9,297","4,026","1,955","1,711",- ,"1,605"
Cereais plantas olea./proteaginosas,,expl. (nº),6,2,2,43,1,8,32,- ,2
,,SAU (ha),17,... ,... ,89,... ,15,66,- ,... 
Culturas agrícolas diversas,,expl. (nº),122,24,130,356,53,79,180,- ,44
,,SAU (ha),284,53,263,513,84,91,273,- ,65
Horticultura,,expl. (nº),9,- ,- ,40,4,20,8,- ,8
,,SAU (ha),11,- ,- ,29,7,12,8,- ,2
Viticultura,,expl. (nº),362,368,77,117,43,12,1,- ,61
,,SAU (ha),"1,026",499,197,131,72,10,... ,- ,48
Fruticultura,,expl. (nº),7,120,3,49,7,16,20,- ,6
,,SAU (ha),25,715,16,115,12,23,70,- ,10
Olivicultura,,expl. (nº),- ,- ,4,- ,- ,- ,- ,- ,- 
,,SAU (ha),- ,- ,3,- ,- ,- ,- ,- ,- 
Culturas permanentes diversas,,expl. (nº),39,220,11,40,26,5,1,- ,8
,,SAU (ha),177,644,20,54,36,4,... ,- ,10
Bovinos de leite,,expl. (nº),17,4,10,760,157,289,105,- ,209
,,SAU (ha),149,109,129,"2,285",620,"1,053",377,- ,235
Bovinos para gado/carne,,expl. (nº),10,86,69,144,69,45,20,- ,10
,,SAU (ha),26,618,315,304,158,81,56,- ,9
Bovinos para leite/gado/carne,,expl. (nº),4,- ,2,109,37,41,17,- ,14
,,SAU (ha),18,- ,... ,227,116,62,27,- ,22
Ovinos/caprinos/out. herbívoros,,expl. (nº),15,25,60,149,77,14,12,- ,46
,,SAU (ha),26,480,369,"1,177","1,089",22,18,- ,48
Granívoros,,expl. (nº),17,1,13,50,12,25,5,- ,8
,,SAU (ha),1,... ,o ,40,2,6,25,- ,7
Policultura,,expl. (nº),"1,047",263,299,"1,207",485,187,250,- ,285
,,SAU (ha),"1,774",589,915,"1,582",667,223,342,- ,350
Polipecuária-herbívoros,,expl. (nº),92,42,99,"1,129",431,134,133,- ,431
,,SAU (ha),164,219,491,"1,511",706,152,163,- ,490
Polipecuária-granívoros,,expl. (nº),19,- ,2,70,17,25,16,- ,12
,,SAU (ha),10,- ,... ,39,10,16,4,- ,9
Agricultura geral e herbívoros,,expl. (nº),70,42,49,522,141,117,150,- ,114
,,SAU (ha),118,198,209,821,279,135,230,- ,177
Culturas diversas e gado,,expl. (nº),70,40,52,310,128,59,31,- ,92
,,SAU (ha),95,145,264,385,172,52,40,- ,121
Não classificadas,,expl. (nº),- ,- ,- ,- ,- ,- ,- ,- ,- 
,,SAU (ha),- ,- ,- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,
