Efectivo animal (Ilha da Madeira - Funchal),,,,,,,,,,,,,
,,,,,,,,,,,,,Pág. 1/3
,,,,MADEIRA,,Ilha da Madeira,,Calheta,,Câmara de Lobos,,Funchal,
,,,,Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº)
BOVINOS,,,,  1 967 ,  4 355 ,  1 952 ,  4 212 ,   442 ,  1 155 ,   52 ,   154 ,   28 ,   65 
,Bovinos com menos de 1 ano,,,   815 ,  1 272 ,   803 ,  1 227 ,   238 ,   303 ,   27 ,   71 ,   12 ,   20 
,,Vitelos de carne (para abate < 1 ano),,   211 ,   380 ,   209 ,   378 ,   63 ,   76 ,   10 ,   30 ,   5 ,   9 
,,Outros vitelos,,   612 ,   892 ,   600 ,   849 ,   175 ,   227 ,   18 ,   41 ,   7 ,   11 
,,,Machos,   308 ,   424 ,   301 ,   411 ,   87 ,   100 ,   18 ,   31 ,   6 ,   9 
,,,Fêmeas,   343 ,   468 ,   333 ,   438 ,   105 ,   127 ,   1 ,... ,   1 ,... 
,Bovinos de 1 a menos de 2 anos,,,   709 ,  1 162 ,   698 ,  1 133 ,   149 ,   223 ,   18 ,   63 ,   7 ,   10 
,,Machos,,   275 ,   459 ,   269 ,   447 ,   56 ,   77 ,   12 ,   36 ,   7 ,   9 
,,Fêmeas reprodutoras,,   364 ,   488 ,   356 ,   471 ,   86 ,   114 ,   6 ,   7 ,   1 ,... 
,,Fêmeas não reprodutoras,,   111 ,   215 ,   111 ,   215 ,   24 ,   32 ,   1 ,... ,- ,- 
,Bovinos de 2 anos e mais,,,   922 ,  1 921 ,   909 ,  1 852 ,   228 ,   629 ,   12 ,   20 ,   12 ,   35 
,,Machos,,   124 ,   182 ,   122 ,   175 ,   16 ,   25 ,   9 ,   15 ,   6 ,   18 
,,Novilhas reprodutoras,,   290 ,   469 ,   279 ,   417 ,   95 ,   162 ,   3 ,   4 ,   3 ,   7 
,,Novilhas não reprodutoras,,   36 ,   45 ,   36 ,   45 ,   8 ,   15 ,- ,- ,   1 ,... 
,,Vacas leiteiras,,   449 ,   907 ,   447 ,   898 ,   72 ,   228 ,   1 ,... ,   1 ,... 
,,Outras vacas,,   175 ,   318 ,   174 ,   317 ,   91 ,   199 ,- ,- ,   2 ,... 
SUÍNOS,,,,  3 761 ,  23 668 ,  3 757 ,  23 639 ,   492 ,   626 ,   311 ,   672 ,   123 ,   541 
,Suínos com menos de 20 kg de PV,,,   731 ,  6 364 ,   730 ,  6 361 ,   108 ,   143 ,   51 ,   173 ,   30 ,   221 
,Fêmeas reprodutoras de 50 kg de PV e mais,,,   401 ,  2 559 ,   399 ,  2 555 ,   73 ,   104 ,   23 ,   65 ,   18 ,   66 
,Outros suínos,,,  2 933 ,  14 745 ,  2 929 ,  14 723 ,   336 ,   379 ,   258 ,   434 ,   100 ,   254 
