Explorações segundo o número de bovinos,,,,,,,,,,
,,,,,,,,,,Pág. 1/2
REGIÃO AGRÁRIA,,,Total,Classes do número de animais,,,,,,
Ilha / Concelho,,,,1,2,3 a 4,5 a 9,10 a 14,15 a 19,20 a 29
MADEIRA,,expl (nº),  1 967 ,  1 242 ,   424 ,   165 ,   94 ,   26 ,   5 ,   5 
,,efect (nº),  4 355 ,  1 242 ,   848 ,   553 ,   586 ,   301 ,   79 ,   109 
Ilha da Madeira,,expl (nº),  1 952 ,  1 242 ,   423 ,   162 ,   89 ,   23 ,   4 ,   3 
,,efect (nº),  4 212 ,  1 242 ,   846 ,   543 ,   551 ,   267 ,   62 ,   64 
,Calheta,expl (nº),   442 ,   224 ,   83 ,   62 ,   60 ,   8 ,   2 ,   3 
,,efect (nº),  1 155 ,   224 ,   166 ,   212 ,   366 ,   93 ,... ,   64 
,Câmara de Lobos,expl (nº),   52 ,   38 ,   9 ,   3 ,   1 ,- ,- ,- 
,,efect (nº),   154 ,   38 ,   18 ,   10 ,... ,- ,- ,- 
,Funchal,expl (nº),   28 ,   16 ,   8 ,   1 ,   2 ,- ,   1 ,- 
,,efect (nº),   65 ,   16 ,   16 ,... ,... ,- ,... ,- 
,Machico,expl (nº),   210 ,   168 ,   34 ,   8 ,- ,- ,- ,- 
,,efect (nº),   262 ,   168 ,   68 ,   26 ,- ,- ,- ,- 
,Ponta do Sol,expl (nº),   152 ,   116 ,   29 ,   5 ,   2 ,- ,- ,- 
,,efect (nº),   204 ,   116 ,   58 ,   17 ,... ,- ,- ,- 
,Porto Moniz,expl (nº),   216 ,   133 ,   48 ,   21 ,   7 ,   6 ,- ,- 
,,efect (nº),   520 ,   133 ,   96 ,   74 ,   50 ,   70 ,- ,- 
,Ribeira Brava,expl (nº),   204 ,   146 ,   39 ,   12 ,   5 ,   2 ,- ,- 
,,efect (nº),   320 ,   146 ,   78 ,   40 ,   29 ,... ,- ,- 
,Santa Cruz,expl (nº),   172 ,   95 ,   46 ,   16 ,   5 ,   5 ,   1 ,- 
,,efect (nº),   798 ,   95 ,   92 ,   50 ,   31 ,   53 ,... ,- 
,Santana,expl (nº),   404 ,   241 ,   123 ,   32 ,   6 ,   2 ,- ,- 
,,efect (nº),   650 ,   241 ,   246 ,   104 ,   35 ,... ,- ,- 
,São Vicente,expl (nº),   72 ,   65 ,   4 ,   2 ,   1 ,- ,- ,- 
,,efect (nº),   84 ,   65 ,   8 ,... ,... ,- ,- ,- 
Ilha de Porto Santo ( Porto Santo ),,expl (nº),   15 ,- ,   1 ,   3 ,   5 ,   3 ,   1 ,   2 
,,efect (nº),   143 ,- ,... ,   10 ,   35 ,   34 ,... ,... 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,,
