Explorações segundo o número de suínos,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA,,,Total,Classes de número de animais,,,,,,,,,,,
Ilha / Concelho,,,,1 a 2,3 a 4,5 a 9,10 a 19,20 a 49,50 a 99,100 a 199,200 a 399,400 a 999,> = 1000,,
MADEIRA,,expl (nº),  3 761 ,  3 455 ,   154 ,   78 ,   45 ,   18 ,   5 ,   1 ,   2 ,- ,   3 ,,
,,efect (nº),  23 668 ,  3 985 ,   509 ,   497 ,   563 ,   561 ,   351 ,... ,... ,- ,  16 675 ,,
Ilha da Madeira,,expl (nº),  3 757 ,  3 455 ,   154 ,   75 ,   44 ,   18 ,   5 ,   1 ,   2 ,- ,   3 ,,
,,efect (nº),  23 639 ,  3 985 ,   509 ,   481 ,   550 ,   561 ,   351 ,... ,... ,- ,  16 675 ,,
,Calheta,expl (nº),   492 ,   477 ,   7 ,   4 ,   4 ,- ,- ,- ,- ,- ,- ,,
,,efect (nº),   626 ,   525 ,   24 ,   27 ,   50 ,- ,- ,- ,- ,- ,- ,,
,Câmara de Lobos,expl (nº),   311 ,   281 ,   17 ,   6 ,   5 ,- ,   1 ,   1 ,- ,- ,- ,,
,,efect (nº),   672 ,   309 ,   58 ,   36 ,   58 ,- ,... ,... ,- ,- ,- ,,
,Funchal,expl (nº),   123 ,   96 ,   15 ,   8 ,- ,   2 ,   1 ,- ,   1 ,- ,- ,,
,,efect (nº),   541 ,   116 ,   50 ,   51 ,- ,... ,... ,- ,... ,- ,- ,,
,Machico,expl (nº),   309 ,   292 ,   8 ,   4 ,   2 ,   2 ,   1 ,- ,- ,- ,- ,,
,,efect (nº),   561 ,   329 ,   25 ,   28 ,... ,... ,... ,- ,- ,- ,- ,,
,Ponta do Sol,expl (nº),   476 ,   446 ,   21 ,   6 ,   3 ,- ,- ,- ,- ,- ,- ,,
,,efect (nº),   662 ,   530 ,   65 ,   37 ,   30 ,- ,- ,- ,- ,- ,- ,,
,Porto Moniz,expl (nº),   217 ,   208 ,   5 ,   2 ,   1 ,   1 ,- ,- ,- ,- ,- ,,
,,efect (nº),   317 ,   235 ,   17 ,... ,... ,... ,- ,- ,- ,- ,- ,,
,Ribeira Brava,expl (nº),   665 ,   616 ,   27 ,   10 ,   11 ,   1 ,- ,- ,- ,- ,- ,,
,,efect (nº),   998 ,   678 ,   91 ,   62 ,   138 ,... ,- ,- ,- ,- ,- ,,
,Santa Cruz,expl (nº),   324 ,   267 ,   20 ,   14 ,   10 ,   7 ,   2 ,- ,   1 ,- ,   3 ,,
,,efect (nº),  17 854 ,   333 ,   67 ,   90 ,   130 ,   253 ,... ,- ,... ,- ,  16 675 ,,
,Santana,expl (nº),   566 ,   523 ,   21 ,   16 ,   5 ,   1 ,- ,- ,- ,- ,- ,,
,,efect (nº),   915 ,   645 ,   68 ,   105 ,   72 ,... ,- ,- ,- ,- ,- ,,
,São Vicente,expl (nº),   274 ,   249 ,   13 ,   5 ,   3 ,   4 ,- ,- ,- ,- ,- ,,
,,efect (nº),   493 ,   285 ,   44 ,   35 ,   34 ,   95 ,- ,- ,- ,- ,- ,,
Ilha de Porto Santo ( Porto Santo ),,expl (nº),   4 ,- ,- ,   3 ,   1 ,- ,- ,- ,- ,- ,- ,,
,,efect (nº),   29 ,- ,- ,   16 ,... ,- ,- ,- ,- ,- ,- ,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
