Mão-de-obra agrícola não familiar permanente segundo o tempo de actividade ( Ilha da Madeira - Ponta do Sol),,,,,,,,
,,,,,,,,Pág. 1/2
,,MADEIRA,Ilha da Madeira,Calheta,Câmara de Lobos,Funchal,Machico,Ponta do Sol
Tempo de actividade agrícola dos trabalhadores permanentes,,  1 805 ,  1 735 ,   186 ,   438 ,   379 ,   65 ,   125 
Tempo parcial,,  1 122 ,  1 106 ,   160 ,   321 ,   186 ,   29 ,   64 
,> 0 - < 25%,   519 ,   519 ,   104 ,   145 ,   76 ,   21 ,   34 
,25 - < 50%,   310 ,   310 ,   38 ,   119 ,   52 ,   1 ,   16 
,50 - < 75%,   123 ,   111 ,   7 ,   30 ,   29 ,   2 ,   8 
,75 - < 100%,   170 ,   166 ,   11 ,   27 ,   29 ,   5 ,   6 
Tempo completo,,   683 ,   629 ,   26 ,   117 ,   193 ,   36 ,   61 
Homem,,  1 331 ,  1 266 ,   102 ,   363 ,   296 ,   50 ,   77 
Tempo parcial,,   848 ,   834 ,   88 ,   279 ,   143 ,   26 ,   47 
,> 0 - < 25%,   406 ,   406 ,   52 ,   136 ,   59 ,   20 ,   24 
,25 - < 50%,   241 ,   241 ,   29 ,   95 ,   45 ,- ,   12 
,50 - < 75%,   87 ,   76 ,   3 ,   24 ,   21 ,   1 ,   8 
,75 - < 100%,   114 ,   111 ,   4 ,   24 ,   18 ,   5 ,   3 
Tempo completo,,   483 ,   432 ,   14 ,   84 ,   153 ,   24 ,   30 
Mulher,,   474 ,   469 ,   84 ,   75 ,   83 ,   15 ,   48 
Tempo parcial,,   274 ,   272 ,   72 ,   42 ,   43 ,   3 ,   17 
,> 0 - < 25%,   113 ,   113 ,   52 ,   9 ,   17 ,   1 ,   10 
,25 - < 50%,   69 ,   69 ,   9 ,   24 ,   7 ,   1 ,   4 
,50 - < 75%,   36 ,   35 ,   4 ,   6 ,   8 ,   1 ,- 
,75 - < 100%,   56 ,   55 ,   7 ,   3 ,   11 ,- ,   3 
Tempo completo,,   200 ,   197 ,   12 ,   33 ,   40 ,   12 ,   31 
Tempo de actividade agrícola dos dirigentes assalariados,,   393 ,   391 ,   56 ,   138 ,   110 ,   5 ,   19 
Tempo parcial,,   351 ,   350 ,   53 ,   132 ,   94 ,   5 ,   16 
,> 0 - < 25%,   163 ,   163 ,   43 ,   39 ,   50 ,- ,   6 
,25 - < 50%,   109 ,   109 ,- ,   70 ,   27 ,   1 ,   2 
,50 - < 75%,   42 ,   42 ,   5 ,   15 ,   10 ,- ,   5 
,75 - < 100%,   37 ,   36 ,   5 ,   8 ,   7 ,   4 ,   3 
Tempo completo,,   42 ,   41 ,   3 ,   6 ,   16 ,- ,   3 
Homem,,   295 ,   294 ,   28 ,   116 ,   89 ,   4 ,   15 
Tempo parcial,,   255 ,   255 ,   25 ,   110 ,   73 ,   4 ,   12 
,> 0 - < 25%,   112 ,   112 ,   20 ,   36 ,   36 ,- ,   4 
,25 - < 50%,   84 ,   84 ,- ,   53 ,   23 ,- ,   1 
,50 - < 75%,   33 ,   33 ,   3 ,   14 ,   8 ,- ,   5 
,75 - < 100%,   26 ,   26 ,   2 ,   7 ,   6 ,   4 ,   2 
Tempo completo,,   40 ,   39 ,   3 ,   6 ,   16 ,- ,   3 
Mulher,,   98 ,   97 ,   28 ,   22 ,   21 ,   1 ,   4 
Tempo parcial,,   96 ,   95 ,   28 ,   22 ,   21 ,   1 ,   4 
,> 0 - < 25%,   51 ,   51 ,   23 ,   3 ,   14 ,- ,   2 
,25 - < 50%,   25 ,   25 ,- ,   17 ,   4 ,   1 ,   1 
,50 - < 75%,   9 ,   9 ,   2 ,   1 ,   2 ,- ,- 
,75 - < 100%,   11 ,   10 ,   3 ,   1 ,   1 ,- ,   1 
Tempo completo,,   2 ,   2 ,- ,- ,- ,- ,- 
Tempo de actividade agrícola dos outros trabalhadores permanentes,,  1 412 ,  1 344 ,   130 ,   300 ,   269 ,   60 ,   106 
Tempo parcial,,   771 ,   756 ,   107 ,   189 ,   92 ,   24 ,   48 
,> 0 - < 25%,   356 ,   356 ,   61 ,   106 ,   26 ,   21 ,   28 
,25 - < 50%,   201 ,   201 ,   38 ,   49 ,   25 ,- ,   14 
,50 - < 75%,   81 ,   69 ,   2 ,   15 ,   19 ,   2 ,   3 
,75 - < 100%,   133 ,   130 ,   6 ,   19 ,   22 ,   1 ,   3 
Tempo completo,,   641 ,   588 ,   23 ,   111 ,   177 ,   36 ,   58 
Homem,,  1 036 ,   972 ,   74 ,   247 ,   207 ,   46 ,   62 
Tempo parcial,,   593 ,   579 ,   63 ,   169 ,   70 ,   22 ,   35 
,> 0 - < 25%,   294 ,   294 ,   32 ,   100 ,   23 ,   20 ,   20 
,25 - < 50%,   157 ,   157 ,   29 ,   42 ,   22 ,- ,   11 
,50 - < 75%,   54 ,   43 ,- ,   10 ,   13 ,   1 ,   3 
,75 - < 100%,   88 ,   85 ,   2 ,   17 ,   12 ,   1 ,   1 
Tempo completo,,   443 ,   393 ,   11 ,   78 ,   137 ,   24 ,   27 
Mulher,,   376 ,   372 ,   56 ,   53 ,   62 ,   14 ,   44 
Tempo parcial,,   178 ,   177 ,   44 ,   20 ,   22 ,   2 ,   13 
,> 0 - < 25%,   62 ,   62 ,   29 ,   6 ,   3 ,   1 ,   8 
,25 - < 50%,   44 ,   44 ,   9 ,   7 ,   3 ,- ,   3 
,50 - < 75%,   27 ,   26 ,   2 ,   5 ,   6 ,   1 ,- 
,75 - < 100%,   45 ,   45 ,   4 ,   2 ,   10 ,- ,   2 
Tempo completo,,   198 ,   195 ,   12 ,   33 ,   40 ,   12 ,   31 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
