"Explorações, SAU e MB segundo a origem do rendimento do agregado doméstico do produtor",,,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA,,,Rendimento proveniente,,,,,,,,,,,,,,,
Ilha,,,Exclusivamente da actividade                                       da exploração,,,Principalmente da actividade                                       da exploração,,,Principalmente de origem exterior                                            à exploração,,,,,,,,,
Concelho,,,Expl (nº),SAU (ha),MB (1000 esc),Expl (nº),SAU (ha),MB (1000 esc),Expl (nº),SAU (ha),MB (1000 esc),,,,,,,
MADEIRA,,,   850 ,   558 , 1 369 612 ,  3 739 ,  1 994 , 4 003 223 ,  9 695 ,  2 889 , 5 730 665 ,,,,,,,
,Ilha da Madeira,,   848 ,   493 , 1 366 247 ,  3 726 ,  1 819 , 3 978 707 ,  9 576 ,  2 711 , 5 638 361 ,,,,,,,
,,Calheta,   221 ,   93 ,  200 946 ,   702 ,   262 ,  480 353 ,   908 ,   225 ,  401 834 ,,,,,,,
,,Câmara de Lobos,   121 ,   61 ,  181 501 ,   794 ,   301 ,  766 406 ,   821 ,   129 ,  302 508 ,,,,,,,
,,Funchal,   26 ,   20 ,  99 815 ,   102 ,   43 ,  126 971 ,  1 106 ,   185 ,  540 481 ,,,,,,,
,,Machico,   52 ,   37 ,  62 749 ,   289 ,   196 ,  312 987 ,   979 ,   291 ,  617 496 ,,,,,,,
,,Ponta do Sol,   81 ,   54 ,  210 210 ,   535 ,   251 ,  662 324 ,   635 ,   131 ,  296 305 ,,,,,,,
,,Porto Moniz,   27 ,   14 ,  16 424 ,   285 ,   169 ,  226 206 ,   269 ,   112 ,  186 879 ,,,,,,,
,,Ribeira Brava,   22 ,   17 ,  86 073 ,   222 ,   125 ,  307 755 ,  1 446 ,   359 ,  792 441 ,,,,,,,
,,Santa Cruz,   62 ,   39 ,  195 841 ,   325 ,   135 ,  468 579 ,   698 ,   175 ,  530 204 ,,,,,,,
,,Santana,   177 ,   133 ,  279 941 ,   315 ,   255 ,  488 802 ,  1 525 ,   719 , 1 395 713 ,,,,,,,
,,São Vicente,   59 ,   25 ,  32 747 ,   157 ,   82 ,  138 324 ,  1 189 ,   385 ,  574 500 ,,,,,,,
,Ilha de Porto Santo ( Porto Santo ),,   2 ,... ,... ,   13 ,   175 ,  24 516 ,   119 ,   178 ,  92 304 ,,,,,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma da Madeira",,,,,,,,,,,,,,,,,,
