Principais Culturas Temporárias (Pinhal Litoral),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 5/9
Região Agrária,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
Concelho,,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
Pinhal Litoral,,,,,,,,,,,,
,,Culturas temporárias,"10,070","12,707","9,744","10,166","4,447","2,543","1,892","1,003","3,144","1,536"
,,Cereais para grão,"8,064","6,034","7,853","5,548","1,349",477,240,80,"1,165",399
,,Leguminosas secas para grão,"4,346",777,"3,747",595,"1,104",190,119,19,"1,003",163
,,Prados temporários,368,183,309,136,101,47,- ,- ,101,47
,,Culturas forrageiras,"5,807","4,593","4,484","2,848","3,127","1,745","1,553",877,"1,905",869
,,Batata,"3,099",410,"2,742",359,441,50,91,15,352,32
,,Beterraba sacarina,10,92,10,92,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,105,98,104,97,2,... ,1,... ,1,... 
,,Culturas hortícolas,"1,047",475,897,442,214,35,100,8,117,26
,,Flores e plantas ornamentais,45,26,45,26,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,12,1,11,1,1,... ,- ,- ,1,... 
,,Sementes e propágulos de outras culturas não lenhosas,20,13,19,13,1,... ,- ,- ,1,... 
,,Outras culturas temporárias,4,o ,3,o ,1,... ,- ,- ,1,... 
,Batalha,,,,,,,,,,,
,,Culturas temporárias,770,720,748,620,224,101,50,29,190,73
,,Cereais para grão,513,180,503,177,15,3,9,3,6,o 
,,Leguminosas secas para grão,357,62,320,52,72,11,9,1,65,10
,,Prados temporários,10,5,7,4,3,1,- ,- ,3,1
,,Culturas forrageiras,349,344,275,261,161,84,35,24,134,59
,,Batata,311,70,300,69,20,2,8,1,12,1
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,84,34,82,34,3,1,- ,- ,3,1
,,Flores e plantas ornamentais,4,18,4,18,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,Leiria,,,,,,,,,,,
,,Culturas temporárias,"3,687","5,009","3,579","4,330","1,169",678,595,435,631,244
,,Cereais para grão,"2,920","2,517","2,881","2,458",162,57,64,30,101,28
,,Leguminosas secas para grão,"1,119",209,"1,000",169,199,41,42,9,158,28
,,Prados temporários,57,28,53,26,4,2,- ,- ,4,2
,,Culturas forrageiras,"1,709","1,655","1,249","1,111",821,542,480,384,369,158
,,Batata,"1,132",164,975,141,181,23,53,8,129,14
,,Beterraba sacarina,10,92,10,92,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,20,39,20,39,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,421,289,403,276,45,14,13,1,33,13
