Explorações com rega e drenagem (Pinhal Litoral),,,,,,,,,
,,,,,,,,,1999
,,,,,,,,,pág. 4/8
,,,,Pinhal Litoral,Batalha,Leiria,Marinha Grande,Pombal,Porto de Mós
Superfície irrigável,,,expl (nº),"8,196",419,"3,187",172,"3,973",445
,,,área (ha),"9,937",604,"4,761",203,"3,733",636
Sistema de rega ,,,,,,,,,
,Colectivo estatal,,expl (nº),966,20,625,36,261,24
,Colectivo privado,,expl (nº),529,1,111,1,412,4
,Individual,,expl (nº),"7,566",408,"2,873",147,"3,706",432
Origem das águas de rega,,,,,,,,,
,"Furo, poço, nascente",,expl (nº),"7,377",401,"2,759",140,"3,670",407
,Albufeira (barragem),,expl (nº),21,- ,9,- ,11,1
,Açude,,expl (nº),250,4,152,- ,83,11
,Charca,,expl (nº),59,2,33,- ,23,1
,Curso de água natural,,expl (nº),"2,032",87,991,66,822,66
,Outra,,expl (nº),135,4,49,- ,53,29
Método de colocação de água no terreno,,,,,,,,,
,Sem elevação,,expl (nº),"1,331",13,757,36,489,36
,Com elevação,,expl (nº),"7,726",416,"2,947",152,"3,776",435
,,Motor electrico,expl (nº),"5,710",287,"2,144",129,"2,867",283
,,Motor a carburante,expl (nº),"4,007",282,"1,386",68,"2,042",229
,,Outros meios,expl (nº),88,3,26,1,36,22
Superfície drenada,,,expl (nº),96,2,33,- ,25,36
,,,área (ha),225,... ,36,- ,141,48
Superfície com encharcamento,,,expl (nº),383,- ,38,- ,302,43
,,,área (ha),218,- ,68,- ,129,21
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
