"Máquinas e equipamentos (Dão-Lafões, página 2)",,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,pág. 8/8
,,,Penalva do Castelo,Santa Comba Dão,São Pedro do Sul,Sátão,Tondela,Vila Nova de Paiva,Viseu,Vouzela
Explorações que utilizam tractores Máquinas pertencentes à exploração,,expl (nº),"1,295",761,"1,625","1,098","3,162",644,"3,947","1,221"
Tractores ( de rodas e de rasto),,expl (nº),341,353,660,557,"1,289",231,"1,842",555
,,máq (nº),365,383,706,588,"1,388",244,"1,963",587
,De menos de 20 c.v.,expl (nº),42,55,17,39,141,6,206,22
,,máq (nº),44,55,17,39,141,6,206,22
,De 20 a menos de 34 c.v.,expl (nº),74,120,151,130,381,53,797,160
,,máq (nº),77,120,151,130,384,53,798,160
,De 34 a menos de 55 c.v.,expl (nº),213,168,461,357,714,150,821,351
,,máq (nº),220,182,481,372,729,155,859,366
,De 55 a menos de 82 c.v.,expl (nº),19,20,45,42,106,26,80,35
,,máq (nº),21,21,48,42,123,27,89,37
,De 82 a menos de 109 c.v,expl (nº),3,4,6,3,8,3,9,2
,,máq (nº),3,4,6,3,9,3,9,... 
,De 109 c.v. e mais,expl (nº),- ,1,3,2,2,- ,2,- 
,,máq (nº),- ,... ,3,... ,... ,- ,... ,- 
Motocultivadores,,expl (nº),115,81,117,177,719,18,995,133
,,máq (nº),119,84,119,180,743,18,"1,024",135
Motoenxadas (motofresas),,expl (nº),16,19,30,6,134,6,164,32
,,máq (nº),16,20,31,6,140,6,167,32
Motoceifeiras (motogadanheiras),,expl (nº),14,31,47,119,120,84,229,26
,,máq (nº),15,31,48,124,124,85,232,26
Electrobomba/motobomba,,expl (nº),985,738,246,"1,175","2,887",360,"2,357",408
,,máq (nº),"1,651","1,730",504,"1,849","5,472",552,"5,186",702
Distribuidores de adubos e correctivos,,expl (nº),6,6,11,3,19,4,30,8
,,máq (nº),6,7,11,3,19,4,32,10
Semeadores,,expl (nº),3,3,- ,10,7,10,95,2
,,máq (nº),4,3,- ,10,9,11,100,... 
Plantadores/transplantadores,,expl (nº),- ,1,1,- ,3,3,9,- 
,,máq (nº),- ,... ,... ,- ,3,3,9,- 
Pulverizadores e polvilhadores,,expl (nº),28,4,2,55,23,15,191,5
,,máq (nº),34,6,... ,67,32,15,221,14
Gadanheiras,,expl (nº),11,11,57,55,18,115,79,97
,,máq (nº),13,12,58,60,20,124,80,106
Colhedores de forragem,,expl (nº),1,3,7,2,4,21,12,11
,,máq (nº),... ,3,7,... ,5,24,12,11
Enfardadeiras,,expl (nº),6,3,11,45,6,46,23,21
,,máq (nº),6,3,12,46,6,48,23,21
Ceifeiras-debulhadoras,,expl (nº),1,- ,- ,- ,- ,1,1,- 
,,máq (nº),... ,- ,- ,- ,- ,... ,... ,- 
Secadores de cereais,,expl (nº),- ,- ,- ,- ,- ,- ,2,- 
,,máq (nº),- ,- ,- ,- ,- ,- ,... ,- 
Viradores de feno,,expl (nº),- ,5,10,14,5,25,12,58
,,máq (nº),- ,5,10,14,6,28,12,58
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,
