"Principais Características da População Familiar - Mulher (Dão-Lafões, página 8)",,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,pág. 24/24
,,,Penalva do Castelo,Santa Comba Dão,São Pedro do Sul,Sátão,Tondela,Vila Nova de Paiva,Viseu,Vouzela
,,,nº de indivíduos,,,,,,,
Mulher,,,,,,,,,,
População familiar,,,"1,864","1,305","2,953","2,568","5,285","1,188","6,898","2,215"
Nível de instrução,,,,,,,,,,
,Não sabe ler nem escrever,,494,175,673,554,744,268,"1,371",371
,Sabe ler e escrever,,288,323,499,405,"1,418",200,"1,327",499
,Básico - 1º ciclo,,715,402,955,824,"1,678",355,"2,105",684
,Básico - 2º ciclo,,127,173,428,349,539,180,792,282
,Básico - 3º ciclo,,103,99,164,154,361,110,575,156
,Secundário agrícola,,1,4,6,4,9,4,14,2
,Secundário não agrícola,,76,85,142,173,340,49,430,147
,Politécnico / Superior agrícola,,- ,2,6,1,8,- ,16,3
,Politécnico / Superior não agrícola,,60,42,80,104,188,22,268,71
Formação profissional agrícola,,,,,,,,,,
,Exclusivamente prática,,"1,646","1,115","2,500","2,230","4,645","1,002","6,029","1,879"
,Curta duração,,18,7,31,14,26,2,50,22
,Longa duração,,10,4,6,- ,13,10,20,10
,Longa e curta duração,,4,2,7,3,12,1,10,6
,Completa,,1,6,12,5,17,4,30,5
Tempo de actividade agrícola ,,,,,,,,,,
,Sem actividade,,221,153,452,412,833,191,923,248
,Tempo parcial,,"1,600","1,127","2,261","1,887","4,250",972,"5,798","1,558"
,,> 0 - < 25%,351,397,689,508,"1,471",298,"1,801",724
,,25 - < 50%,215,174,238,288,688,265,979,149
,,50 - < 75%,395,240,304,170,"1,105",300,"1,666",253
,,75 - < 100%,639,316,"1,030",921,986,109,"1,352",432
,Tempo completo,,43,25,240,269,202,25,177,409
Actividades remuneradas exterior à exploração,,,,,,,,,,
,Principal,,243,208,398,327,906,117,"1,091",383
,,Sector primário,20,16,22,17,121,19,32,40
,,Sector secundário,103,70,107,88,239,7,173,154
,,Sector terciário,120,122,269,222,546,91,886,189
,Secundária,,1,3,68,4,46,- ,74,18
,,Sector primário,- ,2,52,- ,27,- ,22,4
,,Sector secundário,- ,- ,3,1,2,- ,5,2
,,Sector terciário,1,1,13,3,17,- ,47,12
Situação na profissão exterior à exploração,,,,,,,,,,
,Patrão/empregador,,8,11,21,14,31,5,39,12
,Trabalhador por conta própria,,18,33,107,30,106,21,126,30
,Trabalhador por conta de outrem,,183,159,335,280,788,90,958,355
,Trabalhador familiar remunerado,,7,2,- ,1,6,- ,14,2
,Outra situação,,28,6,3,6,21,1,28,2
Dirigente na população familiar,,,388,205,734,500,"1,074",280,"1,661",404
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,
