"Principais características do Produtor Singular - Mulher (Total e Baixo Vouga, página 1)",,,,,,,,,
,,,,,,,,,1999
,,,,,,,,,pág. 3/24
,,,BEIRA LITORAL,Baixo Vouga,Águeda,Albergaria-a-Velha,Anadia,Aveiro,Estarreja
,,,nº de indivíduos,,,,,,
Mulher,,,,,,,,,
Produtor singular,,,"19,659","3,724",419,236,377,328,410
,Autónomo,,"19,167","3,539",413,213,363,308,366
,Empresário,,492,185,6,23,14,20,44
Nível de instrução,,,,,,,,,
,Não sabe ler nem escrever,,"2,836",371,45,20,58,16,19
,Sabe ler e escrever,,"4,845",933,117,69,86,98,77
,Básico - 1º ciclo,,"9,652","1,915",218,115,177,176,238
,Básico - 2º ciclo,,"1,618",384,30,27,22,32,65
,Básico - 3º ciclo,,303,41,3,1,13,1,6
,Secundário agrícola,,11,3,- ,- ,1,- ,- 
,Secundário não agrícola,,168,34,4,2,11,2,3
,Politécnico / Superior agrícola,,16,7,- ,- ,1,2,1
,Politécnico / Superior não agrícola,,210,36,2,2,8,1,1
Formação profissional agrícola,,,,,,,,,
,Exclusivamente prática,,"18,598","3,500",416,225,361,315,366
,Curta duração,,607,125,3,2,4,3,26
,Longa duração,,278,53,- ,9,3,7,9
,Longa e curta duração,,149,36,- ,- ,7,1,8
,Completa,,27,10,- ,- ,2,2,1
Tempo de actividade agrícola ,,,,,,,,,
,Tempo parcial,,"15,968","2,897",381,208,288,281,404
,,> 0 - < 25%,"2,227",462,73,38,122,35,22
,,25 - < 50%,"2,924",530,68,21,63,53,79
,,50 - < 75%,"3,933",574,102,35,49,60,76
,,75 - < 100%,"6,884","1,331",138,114,54,133,227
,Tempo completo,,"3,691",827,38,28,89,47,6
Actividades remuneradas exterior à exploração,,,,,,,,,
,Principal,,"2,566",527,85,32,89,36,46
,,Sector primário,394,73,12,1,24,4,6
,,Sector secundário,744,214,43,13,23,15,19
,,Sector terciário,"1,428",240,30,18,42,17,21
,Secúndária,,274,102,4,13,8,19,4
,,Sector primário,123,34,2,2,7,4,- 
,,Sector secundário,21,14,1,- ,- ,2,2
,,Sector terciário,130,54,1,11,1,13,2
Situação na profissão exterior à exploração,,,,,,,,,
,Patrão/empregador,,183,47,6,3,5,5,3
,Trabalhador por conta própria,,517,91,11,10,15,5,8
,Trabalhador por conta de outrem,,"2,062",487,70,32,77,44,39
,Trabalhador familiar remunerado,,7,- ,- ,- ,- ,- ,- 
,Outra situação,,71,4,2,- ,- ,1,- 
Produtor singular dirigente,,,"18,876","3,613",414,222,370,298,404
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro."
