"Produtor singular segundo a OTE e as Classes de Idade  (Pinhal Litoral, página 2)",,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 6/10
Região Agrária,,,Bovinos para leite / gado / carne,Ovinos / caprinos / out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
Nut III,,,,,,,,,,,
Concelho,,,nº de indivíduos,,,,,,,,
Pinhal Litoral,,,,,,,,,,,
,,Total,40,577,"1,024","2,810","1,334",959,351,"1,526",16
,,15 - 24,- ,1,3,1,1,- ,- ,- ,1
,,25 - 34,- ,14,60,23,7,22,3,23,1
,,35 - 44,4,63,233,179,97,106,25,133,1
,,45 - 54,16,88,306,496,242,290,44,333,7
,,55 - 64,16,160,279,923,432,332,105,502,3
,,>= 65,4,251,143,"1,188",555,209,174,535,3
,Batalha,,,,,,,,,,
,,Total,4,46,43,222,60,15,36,100,3
,,15 - 24,- ,- ,- ,1,- ,- ,- ,- ,- 
,,25 - 34,- ,- ,1,2,- ,- ,- ,2,- 
,,35 - 44,- ,3,4,8,4,1,1,10,- 
,,45 - 54,3,4,16,35,8,3,4,18,2
,,55 - 64,1,5,12,69,20,5,4,30,- 
,,>= 65,- ,34,10,107,28,6,27,40,1
,Leiria,,,,,,,,,,
,,Total,5,133,446,"1,179",343,251,125,551,9
,,15 - 24,- ,1,2,- ,- ,- ,- ,- ,1
,,25 - 34,- ,8,25,10,2,6,- ,5,1
,,35 - 44,1,9,89,70,20,33,11,40,- 
,,45 - 54,1,27,144,208,65,69,14,121,4
,,55 - 64,2,39,127,403,108,88,44,182,3
,,>= 65,1,49,59,488,148,55,56,203,- 
,Marinha Grande,,,,,,,,,,
,,Total,- ,9,23,34,15,14,6,24,2
,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,25 - 34,- ,1,- ,1,- ,- ,1,- ,- 
,,35 - 44,- ,- ,2,1,- ,1,- ,2,- 
,,45 - 54,- ,1,5,6,4,7,1,2,- 
,,55 - 64,- ,4,8,12,4,2,3,13,- 
,,>= 65,- ,3,8,14,7,4,1,7,2
,Pombal,,,,,,,,,,
,,Total,2,177,445,"1,183",795,627,179,675,1
,,15 - 24,- ,- ,1,- ,- ,- ,- ,- ,- 
,,25 - 34,- ,3,31,9,4,15,2,15,- 
,,35 - 44,- ,25,126,87,68,65,13,69,- 
,,45 - 54,2,22,114,211,147,198,25,160,1
,,55 - 64,- ,57,118,380,270,216,52,229,- 
,,>= 65,- ,70,55,496,306,133,87,202,- 
,Porto de Mós,,,,,,,,,,
,,Total,29,212,67,192,121,52,5,176,1
,,15 - 24,- ,- ,- ,- ,1,- ,- ,- ,- 
,,25 - 34,- ,2,3,1,1,1,- ,1,- 
,,35 - 44,3,26,12,13,5,6,- ,12,1
,,45 - 54,10,34,27,36,18,13,- ,32,- 
,,55 - 64,13,55,14,59,30,21,2,48,- 
,,>= 65,3,95,11,83,66,11,3,83,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,
,,
,,
