"Explorações segundo a OTE e a dimensão económica (Baixo Vouga, página 2)",,,,,,,,,,
,,,,,,,,1999,,
,,,,,,,,pág. 2/8,,
,,Ílhavo,Mealhada,Murtosa,Oliveira do Bairro,Ovar,Sever do Vouga,Vagos,,
,,expl (nº),,,,,,,,
Classes de dimensão económica (UDE),,286,"1,444",380,"1,616",630,709,"2,068",,
,> 0 a < 2,120,951,115,"1,023",201,450,831,,
,2 a < 4,79,325,87,377,166,192,630,,
,4 a < 8,52,129,68,127,103,42,402,,
,8 a < 16,16,22,50,48,60,14,139,,
,16 a < 40,11,10,45,36,78,8,55,,
,40 a < 100,6,2,15,5,20,3,7,,
,> = 100,2,5,- ,- ,2,- ,4,,
OTE,,286,"1,444",380,"1,617",630,713,"2,069",,
,Cereais e plantas olea./proteaginosas,12,8,2,12,7,9,14,,
,Culturas agrícolas diversas,57,44,35,179,116,43,326,,
,Horticultura,51,32,38,34,10,2,261
,Viticultura,- ,176,- ,112,- ,- ,6
,Fruticultura,- ,15,- ,36,2,2,10
,Olivicultura,- ,1,- ,- ,- ,- ,- 
,Culturas permanentes diversas,- ,68,1,31,1,1,- 
,Bovinos de leite,22,4,115,30,191,126,274
,Bovinos para gado/carne,6,3,7,10,60,6,54
,Bovinos para leite/gado/carne,10,1,8,4,31,13,49
,Ovinos/caprinos/outros herbívoros,- ,10,12,11,11,44,10
,Granívoros,5,43,8,102,9,33,45
,Policultura,46,741,55,635,52,60,366
,Polipecuária-herbívoros,14,51,32,65,47,125,160
,Polipecuária-granívoros,5,71,16,82,8,26,60
,Agricultura geral e herbívoros,49,6,16,29,67,193,312
,Culturas diversas e gado,9,170,35,244,18,26,121
,Não classificadas,- ,- ,- ,1,- ,4,1
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",

,
,













,
