Efectivo animal (Página 3),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 3/7
,,,Peso da Régua,,Sabrosa,,Santa Marta de Penaguião,,São João da Pesqueira,,Sernancelhe,
,,,Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº)
Bovinos  ,,,12,28,120,398,12,21,22,102,241,820
Bovinos com menos de 1 ano,,,6,16,46,101,7,10,11,22,112,211
,Vitelos de carne (para abate < 1 ano),,3,11,35,77,6,8,5,8,32,48
,Outros vitelos,,3,5,12,24,1,... ,7,14,85,163
,,Machos,1,... ,7,11,1,... ,6,9,42,69
,,Fêmeas,2,... ,7,13,- ,- ,2,... ,54,94
Bovinos de 1 a menos de 2 anos,,,2,... ,6,35,2,... ,6,9,45,113
,Machos,,1,... ,1,... ,1,... ,2,... ,16,39
,Fêmeas reprodutoras,,1,... ,3,26,- ,- ,3,4,32,69
,Fêmeas não reprodutoras,,- ,- ,2,... ,1,... ,1,... ,1,... 
Bovinos de 2 anos e mais,,,4,6,100,262,5,9,13,71,187,496
,Machos,,3,4,3,5,1,... ,5,6,5,7
,Novilhas reprodutoras,,- ,- ,8,95,- ,- ,1,... ,12,26
,Novilhas não reprodutoras,,- ,- ,6,9,- ,- ,- ,- ,4,4
,Vacas leiteiras,,1,... ,5,6,2,... ,8,24,170,409
,Outras vacas,,- ,- ,85,147,3,4,5,40,13,50
SUÍNOS,,,121,236,143,294,80,973,142,426,424,984
,Suínos com menos de 20 kg de PV,,7,25,5,14,2,... ,27,97,20,134
,Fêmeas reprodutoras de 50 kg de PV e mais,,6,8,6,9,2,... ,10,44,31,67
,Outros suínos,,113,203,136,271,80,531,120,285,405,783
OVINOS,,,62,783,64,"1,352",29,745,35,"3,152",53,"2,732"
,Fêmeas reprodutoras,,58,663,62,"1,229",26,491,30,"2,772",49,"2,174"
,Outros ovinos,,15,120,13,123,15,254,22,380,36,558
CAPRINOS,,,18,415,31,938,12,252,65,"1,949",95,638
,Fêmeas reprodutoras,,18,396,30,857,12,198,64,"1,792",89,560
,Outros caprinos,,3,19,9,81,4,54,19,157,30,78
EQUÍDEOS,,,56,73,274,302,28,37,483,505,452,489
,Gado equino,,28,35,43,53,5,11,199,206,102,111
,,Fêmeas reprodutoras,7,9,3,5,- ,- ,4,4,87,91
,,Outros equinos,24,26,42,48,5,11,195,202,19,20
,Gado asinino,,9,9,182,186,18,19,127,128,288,307
,Gado muar,,21,29,60,63,7,7,169,171,70,71
COELHAS reprodutoras,,,130,414,126,809,53,204,73,725,192,485
AVES,,,,,,,,,,,,
,Frangos de carne (inclui galos),,209,"1,148",245,"1,290",127,698,270,"2,115",206,"14,913"
,Galinhas poedeiras e reprodutoras,,372,"3,253",414,"2,779",269,"2,216",337,"3,373",623,"4,660"
,Perús,,18,93,15,62,2,... ,21,57,12,42
,"Patos, Gansos e pintadas",,66,445,65,340,25,137,65,459,29,101
ABELHAS,,,,,,,,,,,,
,Número de colmeias povoadas,,28,131,42,486,27,269,39,"1,327",43,506
,Número de cortiços povoadas,,1,... ,6,46,- ,- ,5,29,12,49
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,
