Explorações segundo o número de caprinos,,,,,,,,,,
,,,,,,,,,,1999
Região Agrária,,,,Total,Classes do número de animais,,,,,
,Nut III,,,,,,,,,
,,Concelho,,,1 a 9,10 a 19,20 a 49,50 a 99,100 a 499,> = 500
Trás os Montes ,,,expl (nº),"3,096","2,038",244,253,326,234,1
,,,efect (nº),"73,522","5,651","3,263","8,025","23,486","32,377",... 
,Douro,,expl (nº),919,626,77,68,84,63,1
,,,efect (nº),"20,533","1,923","1,007","2,181","5,989","8,713",... 
,,Alijó,expl (nº),43,16,5,7,10,5,- 
,,,efect (nº),"1,764",41,67,211,773,672,- 
,,Armamar,expl (nº),23,16,1,5,- ,1,- 
,,,efect (nº),345,38,... ,182,- ,... ,- 
,,Carrazeda de Ansiães,expl (nº),26,14,1,1,6,4,- 
,,,efect (nº),"1,033",33,... ,... ,414,534,- 
,,Freixo de Espada à Cinta,expl (nº),15,8,1,- ,2,4,- 
,,,efect (nº),782,25,... ,- ,... ,620,- 
,,Lamego,expl (nº),74,61,9,2,1,1,- 
,,,efect (nº),614,201,120,... ,... ,... ,- 
,,Mesão Frio,expl (nº),2,1,- ,1,- ,- ,- 
,,,efect (nº),... ,... ,- ,... ,- ,- ,- 
,,Moimenta da Beira,expl (nº),133,101,9,13,7,3,- 
,,,efect (nº),"1,639",305,109,418,477,330,- 
,,Penedono,expl (nº),58,33,11,7,6,1,- 
,,,efect (nº),"1,038",125,144,243,417,... ,- 
,,Peso da Régua,expl (nº),18,10,1,4,2,1,- 
,,,efect (nº),415,24,... ,119,... ,... ,- 
,,Sabrosa,expl (nº),31,17,2,2,8,2,- 
,,,efect (nº),938,73,... ,... ,545,... ,- 
,,Santa Marta de Penaguião,expl (nº),12,10,- ,- ,1,1,- 
,,,efect (nº),252,26,- ,- ,... ,... ,- 
,,São João da Pesqueira,expl (nº),65,40,1,5,13,6,- 
,,,efect (nº),"1,949",161,... ,175,943,660,- 
,,Sernancelhe,expl (nº),95,75,10,9,1,- ,- 
,,,efect (nº),638,175,144,249,... ,- ,- 
,,Tabuaço,expl (nº),16,10,2,- ,3,1,- 
,,,efect (nº),389,32,... ,- ,180,... ,- 
,,Tarouca,expl (nº),125,111,12,2,- ,- ,- 
,,,efect (nº),611,386,152,... ,- ,- ,- 
,,Torre de Moncorvo,expl (nº),31,16,3,- ,6,6,- 
,,,efect (nº),"1,250",46,38,- ,449,717,- 
,,Vila Flor,expl (nº),28,10,2,1,5,10,- 
,,,efect (nº),"1,608",18,... ,... ,351,"1,181",- 
,,Vila Nova de Foz Côa,expl (nº),24,20,1,1,1,1,- 
,,,efect (nº),302,66,... ,... ,... ,... ,- 
,,Vila Real,expl (nº),100,57,6,8,12,16,1
,,,efect (nº),"4,918",139,87,275,920,"2,777",... 
,Alto Trás os Montes ,,expl (nº),"2,177","1,412",167,185,242,171,- 
,,,efect (nº),"52,989","3,728","2,256","5,844","17,497","23,664",- 
,,Alfândega da Fé,expl (nº),28,9,1,1,7,10,- 
,,,efect (nº),"2,054",37,... ,... ,578,"1,398",- 
,,Boticas,expl (nº),118,46,9,20,26,17,- 
,,,efect (nº),"5,111",129,124,712,"1,817","2,329",- 
,,Bragança,expl (nº),147,79,14,15,17,22,- 
,,,efect (nº),"5,584",274,182,428,"1,303","3,397",- 
,,Chaves,expl (nº),285,272,1,7,3,2,- 
,,,efect (nº),"1,235",553,... ,241,177,... ,- 
,,Macedo de Cavaleiros,expl (nº),90,41,2,5,19,23,- 
,,,efect (nº),"4,548",111,... ,175,"1,471","2,763",- 
,,Miranda do Douro,expl (nº),22,13,- ,3,2,4,- 
,,,efect (nº),925,45,- ,79,... ,626,- 
,,Mirandela,expl (nº),186,134,14,10,19,9,- 
,,,efect (nº),"3,214",345,177,321,"1,331","1,040",- 
,,Mogadouro,expl (nº),113,31,1,9,44,28,- 
,,,efect (nº),"7,223",102,... ,296,"3,277","3,536",- 
,,Montalegre,expl (nº),421,210,91,67,35,18,- 
,,,efect (nº),"9,293",883,"1,260","2,003","2,331","2,816",- 
,,Murça,expl (nº),88,43,7,8,17,13,- 
,,,efect (nº),"3,497",101,91,275,"1,217","1,813",- 
,,Valpaços,expl (nº),373,326,6,13,20,8,- 
,,,efect (nº),"3,749",607,75,382,"1,519","1,166",- 
,,Vila Pouca de Aguiar,expl (nº),123,65,12,18,17,11,- 
,,,efect (nº),"3,876",189,173,615,"1,138","1,761",- 
,,Vimioso,expl (nº),13,7,- ,- ,2,4,- 
,,,efect (nº),765,17,- ,- ,... ,567,- 
,,Vinhais,expl (nº),170,136,9,9,14,2,- 
,,,efect (nº),"1,915",335,108,290,982,... ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,
,,,,,,,,,,
