Explorações segundo o número de suínos,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999
Região Agrária,,,,Total,Classes do número de animais,,,,,,,,,
,Nut III,,,,,,,,,,,,,
,,Concelho,,,1 a 2,3 a 4,5 a 9,10 a 19,20 a 49,50 a 99,100 a 199,200 a 399,400 a 999,> = 1000
Trás os Montes ,,,expl (nº),"14,872","9,919","3,174","1,250",364,110,22,15,6,8,4
,,,efect (nº),"63,261","15,841","10,654","7,689","4,611","3,006","1,363","2,080","1,423","4,545","12,049"
,Douro,,expl (nº),"3,506","2,765",532,123,43,23,7,4,3,4,2
,,,efect (nº),"20,126","4,345","1,750",734,540,631,410,527,730,"2,502",... 
,,Alijó,expl (nº),231,171,47,9,3,1,- ,- ,- ,- ,- 
,,,efect (nº),557,289,159,49,40,... ,- ,- ,- ,- ,- 
,,Armamar,expl (nº),101,86,10,3,1,1,- ,- ,- ,- ,- 
,,,efect (nº),237,143,33,20,... ,... ,- ,- ,- ,- ,- 
,,Carrazeda de Ansiães,expl (nº),187,149,22,9,2,4,- ,1,- ,- ,- 
,,,efect (nº),648,225,71,64,... ,105,- ,... ,- ,- ,- 
,,Freixo de Espada à Cinta,expl (nº),81,70,9,1,- ,- ,1,- ,- ,- ,- 
,,,efect (nº),202,110,30,... ,- ,- ,... ,- ,- ,- ,- 
,,Lamego,expl (nº),205,153,35,15,- ,1,- ,- ,- ,1,- 
,,,efect (nº),"1,368",252,119,91,- ,... ,- ,- ,- ,... ,- 
,,Mesão Frio,expl (nº),37,31,6,- ,- ,- ,- ,- ,- ,- ,- 
,,,efect (nº),61,42,19,- ,- ,- ,- ,- ,- ,- ,- 
,,Moimenta da Beira,expl (nº),395,263,109,12,6,3,- ,- ,- ,2,- 
,,,efect (nº),"1,842",439,349,68,81,89,- ,- ,- ,... ,- 
,,Penedono,expl (nº),197,159,25,9,2,1,1,- ,- ,- ,- 
,,,efect (nº),502,252,81,57,... ,... ,... ,- ,- ,- ,- 
,,Peso da Régua,expl (nº),121,99,15,6,1,- ,- ,- ,- ,- ,- 
,,,efect (nº),236,140,50,31,... ,- ,- ,- ,- ,- ,- 
,,Sabrosa,expl (nº),143,122,18,2,- ,1,- ,- ,- ,- ,- 
,,,efect (nº),294,192,59,... ,- ,... ,- ,- ,- ,- ,- 
,,Santa Marta de Penaguião,expl (nº),80,71,5,- ,2,1,- ,- ,- ,1,- 
,,,efect (nº),973,97,17,- ,... ,... ,- ,- ,- ,... ,- 
,,São João da Pesqueira,expl (nº),142,106,25,7,2,1,1,- ,- ,- ,- 
,,,efect (nº),426,174,81,44,... ,... ,... ,- ,- ,- ,- 
,,Sernancelhe,expl (nº),424,344,56,17,6,- ,1,- ,- ,- ,- 
,,,efect (nº),984,553,187,101,72,- ,... ,- ,- ,- ,- 
,,Tabuaço,expl (nº),115,88,19,5,- ,1,- ,1,1,- ,- 
,,,efect (nº),669,140,63,28,- ,... ,- ,... ,... ,- ,- 
,,Tarouca,expl (nº),213,176,29,2,2,- ,1,- ,1,- ,2
,,,efect (nº),"8,676",277,97,... ,... ,- ,... ,- ,... ,- ,... 
,,Torre de Moncorvo,expl (nº),185,154,20,5,2,2,- ,2,- ,- ,- 
,,,efect (nº),603,230,63,26,... ,... ,- ,... ,- ,- ,- 
,,Vila Flor,expl (nº),115,91,11,6,4,3,- ,- ,- ,- ,- 
,,,efect (nº),349,134,36,38,51,90,- ,- ,- ,- ,- 
,,Vila Nova de Foz Côa,expl (nº),31,23,3,3,2,- ,- ,- ,- ,- ,- 
,,,efect (nº),85,31,11,18,... ,- ,- ,- ,- ,- ,- 
,,Vila Real,expl (nº),503,409,68,12,8,3,2,- ,1,- ,- 
,,,efect (nº),"1,414",625,225,70,93,73,... ,- ,... ,- ,- 
,Alto Trás os Montes ,,expl (nº),"11,366","7,154","2,642","1,127",321,87,15,11,3,4,2
,,,efect (nº),"43,135","11,496","8,904","6,955","4,071","2,375",953,"1,553",693,"2,043",... 
,,Alfândega da Fé,expl (nº),173,152,15,3,2,1,- ,- ,- ,- ,- 
,,,efect (nº),343,205,52,15,... ,... ,- ,- ,- ,- ,- 
,,Boticas,expl (nº),532,305,149,51,19,6,- ,2,- ,- ,- 
,,,efect (nº),"2,004",535,510,311,226,170,- ,... ,- ,- ,- 
,,Bragança,expl (nº),"1,614",821,484,247,50,11,- ,1,- ,- ,- 
,,,efect (nº),"5,611","1,341","1,650","1,536",653,287,- ,... ,- ,- ,- 
,,Chaves,expl (nº),"2,142","1,457",445,182,44,11,- ,2,- ,- ,1
,,,efect (nº),"8,232","2,372","1,485","1,105",531,290,- ,... ,- ,- ,... 
,,Macedo de Cavaleiros,expl (nº),788,580,130,46,25,4,2,- ,1,- ,- 
,,,efect (nº),"2,341",856,428,276,312,109,... ,- ,... ,- ,- 
,,Miranda do Douro,expl (nº),355,273,57,12,3,6,- ,1,2,1,- 
,,,efect (nº),"1,967",458,184,75,38,178,- ,... ,... ,... ,- 
,,Mirandela,expl (nº),802,547,161,68,19,5,1,- ,- ,- ,1
,,,efect (nº),"4,169",804,540,437,251,116,... ,- ,- ,- ,... 
,,Mogadouro,expl (nº),262,195,39,19,5,2,- ,2,- ,- ,- 
,,,efect (nº),966,334,126,128,55,... ,- ,... ,- ,- ,- 
,,Montalegre,expl (nº),991,461,363,128,31,5,2,- ,- ,1,- 
,,,efect (nº),"3,885",838,"1,222",752,399,123,... ,- ,- ,... ,- 
,,Murça,expl (nº),333,257,55,10,10,1,- ,- ,- ,- ,- 
,,,efect (nº),805,396,184,65,135,... ,- ,- ,- ,- ,- 
,,Valpaços,expl (nº),"1,506","1,062",267,123,40,11,2,1,- ,- ,- 
,,,efect (nº),"4,385","1,626",888,766,521,353,... ,... ,- ,- ,- 
,,Vila Pouca de Aguiar,expl (nº),380,304,54,17,2,2,- ,- ,- ,1,- 
,,,efect (nº),"1,575",487,176,113,... ,... ,- ,- ,- ,... ,- 
,,Vimioso,expl (nº),213,130,57,17,6,1,- ,1,- ,1,- 
,,,efect (nº),"1,282",232,190,101,84,... ,- ,... ,- ,... ,- 
,,Vinhais,expl (nº),"1,275",610,366,204,65,21,8,1,- ,- ,- 
,,,efect (nº),"5,570","1,012","1,269","1,275",817,524,502,... ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
