Produtor singular segundo a dimensão económica e as classes de idade (Página 1),,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 1/3
Região Agrária,,,,Total,Classes de dimensão económica (UDE),,,,,,
,Nut III,,,,> 0 a < 2,2 a < 4,4 a < 8,8 a < 16,16 a < 40,40 a < 100,> = 100
,,Concelho,,,nº de indíviduos,,,,,,
Trás os Montes,,,,,,,,,,,
,,,Total,"69,082","35,404","15,869","10,188","5,203","2,085",293,40
,,,15 - 24,258,101,39,35,49,34,- ,- 
,,,25 - 34,"2,637","1,141",439,377,396,251,29,4
,,,35 - 44,"8,403","4,025","1,689","1,269",900,456,60,4
,,,45 - 54,"13,397","6,363","3,101","2,180","1,216",471,57,9
,,,55 - 64,"18,187","8,509","4,635","3,058","1,452",458,64,11
,,,>= 65,"26,200","15,265","5,966","3,269","1,190",415,83,12
,Douro,,,,,,,,,,
,,,Total,"31,035","16,354","6,808","4,437","2,192","1,021",195,28
,,,15 - 24,127,65,17,9,17,19,- ,- 
,,,25 - 34,"1,209",617,195,138,151,93,14,1
,,,35 - 44,"3,758","2,002",754,506,301,160,32,3
,,,45 - 54,"6,076","3,129","1,304",880,480,239,37,7
,,,55 - 64,"8,059","3,906","1,957","1,320",580,239,49,8
,,,>= 65,"11,806","6,635","2,581","1,584",663,271,63,9
,,Alijó,,,,,,,,,
,,,Total,"2,878","1,559",674,388,169,71,14,3
,,,15 - 24,4,2,- ,1,1,- ,- ,- 
,,,25 - 34,118,68,18,16,9,7,- ,- 
,,,35 - 44,371,203,78,46,27,14,1,2
,,,45 - 54,565,305,125,73,44,14,4,- 
,,,55 - 64,770,370,213,126,38,19,4,- 
,,,>= 65,"1,050",611,240,126,50,17,5,1
,,Armamar,,,,,,,,,
,,,Total,"1,257",656,243,174,95,76,11,2
,,,15 - 24,5,1,- ,- ,- ,4,- ,- 
,,,25 - 34,63,22,12,12,7,10,- ,- 
,,,35 - 44,168,75,37,26,15,14,1,- 
,,,45 - 54,231,117,45,26,20,19,4,- 
,,,55 - 64,321,152,70,59,25,12,2,1
,,,>= 65,469,289,79,51,28,17,4,1
,,Carrazeda de Ansiães,,,,,,,,,
,,,Total,"1,895",940,471,279,134,52,18,1
,,,15 - 24,8,6,1,- ,1,- ,- ,- 
,,,25 - 34,55,26,8,7,7,5,2,- 
,,,35 - 44,180,99,33,22,16,8,2,- 
,,,45 - 54,333,150,82,48,33,16,4,- 
,,,55 - 64,485,218,131,88,35,9,4,- 
,,,>= 65,834,441,216,114,42,14,6,1
,,Freixo de Espada à Cinta,,,,,,,,,
,,,Total,937,353,223,193,102,51,14,1
,,,15 - 24,3,- ,- ,1,1,1,- ,- 
,,,25 - 34,23,12,3,2,4,2,- ,- 
,,,35 - 44,72,29,10,13,8,10,2,- 
,,,45 - 54,144,43,38,28,19,15,1,- 
,,,55 - 64,284,103,67,61,39,11,3,- 
,,,>= 65,411,166,105,88,31,12,8,1
,,Lamego,,,,,,,,,
,,,Total,"2,047","1,190",401,266,111,66,12,1
,,,15 - 24,5,3,- ,- ,2,- ,- ,- 
,,,25 - 34,83,43,9,13,11,5,2,- 
,,,35 - 44,297,171,56,41,18,10,1,- 
,,,45 - 54,391,218,84,51,15,19,4,- 
,,,55 - 64,542,310,115,84,23,9,1,- 
,,,>= 65,729,445,137,77,42,23,4,1
,,Mesão Frio,,,,,,,,,
,,,Total,593,396,89,55,33,16,4,- 
,,,15 - 24,6,3,- ,2,- ,1,- ,- 
,,,25 - 34,20,13,3,1,2,1,- ,- 
,,,35 - 44,71,45,7,11,3,3,2,- 
,,,45 - 54,135,88,20,10,12,4,1,- 
,,,55 - 64,136,100,23,7,5,1,- ,- 
,,,>= 65,225,147,36,24,11,6,1,- 
,,Moimenta da Beira,,,,,,,,,
,,,Total,"1,296",669,276,182,112,52,5,- 
,,,15 - 24,9,3,1,3,2,- ,- ,- 
,,,25 - 34,53,13,9,6,14,10,1,- 
,,,35 - 44,208,102,37,36,24,8,1,- 
,,,45 - 54,283,118,63,49,33,18,2,- 
,,,55 - 64,366,177,96,57,25,10,1,- 
,,,>= 65,377,256,70,31,14,6,- ,- 
,,Penedono,,,,,,,,,
,,,Total,717,390,160,94,49,18,5,1
,,,15 - 24,4,2,1,- ,- ,1,- ,- 
,,,25 - 34,34,18,7,1,4,4,- ,- 
,,,35 - 44,93,38,19,19,9,5,3,- 
,,,45 - 54,117,57,27,14,16,3,- ,- 
,,,55 - 64,177,86,47,31,8,3,1,1
,,,>= 65,292,189,59,29,12,2,1,- 
,,Peso da Régua,,,,,,,,,
,,,Total,"1,445",857,263,171,85,53,15,1
,,,15 - 24,10,7,2,- ,1,- ,- ,- 
,,,25 - 34,82,59,12,5,5,1,- ,- 
,,,35 - 44,200,127,32,22,6,7,5,1
,,,45 - 54,310,167,67,42,19,14,1,- 
,,,55 - 64,359,194,76,52,23,11,3,- 
,,,>= 65,484,303,74,50,31,20,6,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,
