Produtor singular segundo a OTE e as classes de idade (Página 1),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 1/6
Região Agrária,,,,Total,Cereais Plantas olea./prot.,Culturas agrícolas diversas,Horticultura,Viticultura,Fruticultura,Olivicultura,Culturas permanentes diversas,Bovinos                de leite,Bovinos para gado/carne
,Nut III,,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,,
Trás os Montes,,,,,,,,,,,,,
,,,Total,"69,108",175,"1,446",143,"13,857","5,067","5,717","15,865",888,"1,726"
,,,15 - 24,258,- ,2,13,63,25,17,45,10,22
,,,25 - 34,"2,639",12,50,49,600,226,202,421,66,126
,,,35 - 44,"8,405",17,193,54,"1,789",618,664,"1,547",195,282
,,,45 - 54,"13,402",34,258,14,"2,818",912,"1,086","2,947",239,355
,,,55 - 64,"18,192",54,330,7,"3,455","1,215","1,343","4,196",272,480
,,,>= 65,"26,212",58,613,6,"5,132","2,071","2,405","6,709",106,461
,Douro,,,,,,,,,,,,
,,,Total,"31,039",36,426,46,"12,343","2,359","1,588","7,987",328,499
,,,15 - 24,127,- ,1,1,55,19,7,27,2,1
,,,25 - 34,"1,209",3,19,15,526,140,63,237,14,12
,,,35 - 44,"3,758",- ,54,18,"1,588",319,179,784,60,55
,,,45 - 54,"6,077",5,70,2,"2,540",433,304,"1,469",85,107
,,,55 - 64,"8,061",13,98,5,"3,105",571,354,"2,145",109,155
,,,>= 65,"11,807",15,184,5,"4,529",877,681,"3,325",58,169
,,Alijó,,,,,,,,,,,
,,,Total,"2,878",1,24,3,"2,018",27,37,361,7,19
,,,15 - 24,4,- ,- ,- ,2,- ,1,1,- ,- 
,,,25 - 34,118,- ,1,2,90,1,2,11,1,1
,,,35 - 44,371,- ,5,1,260,2,10,47,- ,1
,,,45 - 54,565,- ,3,- ,406,5,4,76,2,2
,,,55 - 64,770,1,7,- ,542,10,9,87,1,7
,,,>= 65,"1,050",- ,8,- ,718,9,11,139,3,8
,,Armamar,,,,,,,,,,,
,,,Total,"1,257",1,7,- ,526,310,39,268,- ,- 
