"Explorações que recorreram a subsídios segundo a SAU, a dimensão económica e a OTE (Página 4)",,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 4/4
,,,Miranda do Douro,Mirandela,Mogadouro,Montalegre,Murça,Valpaços,Vila Pouca de Aguiar,Vimioso,Vinhais
Explorações agrícolas,,expl. (nº),"1,722","3,781","2,696","2,478","1,430","4,841","1,924","1,418","2,545"
,,SAU (ha),"21,474","27,955","37,061","34,418","4,890","26,203","11,181","14,731","22,836"
,Sem SAU,expl. (nº),5,19,5,6,4,9,7,5,2
,> 0 a < 1,expl. (nº),160,249,61,40,287,312,67,74,71
,,SAU (ha),94,182,46,18,177,213,37,50,54
,1 a < 2,expl. (nº),193,792,273,279,395,"1,006",446,215,398
,,SAU (ha),276,"1,138",412,401,568,"1,452",636,314,576
,2 a < 5,expl. (nº),334,"1,254",654,688,463,"1,744",724,379,701
,,SAU (ha),"1,123","4,088","2,246","2,327","1,486","5,769","2,331","1,279","2,351"
,5 a < 10,expl. (nº),337,807,574,644,196,"1,140",431,309,604
,,SAU (ha),"2,439","5,739","4,166","4,643","1,329","8,073","3,067","2,206","4,319"
,10 a < 20,expl. (nº),357,393,555,532,71,506,189,249,501
,,SAU (ha),"5,070","5,427","7,986","7,450",933,"6,753","2,549","3,505","6,982"
,20 a < 50,expl. (nº),284,212,480,241,14,114,50,152,246
,,SAU (ha),"8,385","6,169","14,556","6,913",394,"3,024","1,413","4,649","7,056"
,50 a < 100,expl. (nº),42,41,82,22,- ,8,7,28,19
,,SAU (ha),"2,788","2,675","5,387","1,573",- ,479,441,"1,813","1,158"
,>= 100,expl. (nº),10,14,12,26,- ,2,3,7,3
,,SAU (ha),"1,300","2,535","2,271","11,090",- ,... ,714,918,348
Classes de dimensão económica (UDE),,expl. (nº),"1,722","3,775","2,694","2,478","1,430","4,840","1,924","1,416","2,544"
,,SAU (ha),"21,474","27,948","37,053","34,418","4,890","26,181","11,181","14,723","22,835"
,> 0 a < 2,expl. (nº),865,"1,901",929,"1,149",727,"2,396","1,118",641,"1,030"
,,SAU (ha),"3,569","4,409","3,410","6,431","1,001","5,250","3,461","2,136","2,891"
,2 a < 4,expl. (nº),373,862,650,608,329,"1,269",435,384,686
,,SAU (ha),"4,148","4,751","5,171","6,284","1,039","6,811","2,565","3,048","4,923"
,4 a < 8,expl. (nº),262,525,529,466,214,772,207,233,495
,,SAU (ha),"4,997","5,162","7,789","8,943","1,110","7,042","2,297","3,824","6,570"
,8 a < 16,expl. (nº),148,326,380,194,120,315,118,110,271
,,SAU (ha),"4,596","5,588","9,935","7,518","1,044","4,282","1,796","3,329","6,144"
,16 a < 40,expl. (nº),69,132,194,56,36,76,36,46,60
,,SAU (ha),"3,794","4,826","9,581","3,031",578,"1,938",834,"2,310","2,213"
,40 a < 100,expl. (nº),5,21,12,5,4,9,9,2,2
,,SAU (ha),367,"1,816","1,166","2,205",118,455,181,... ,... 
,> = 100,expl. (nº),- ,8,- ,- ,- ,3,1,- ,- 
,,SAU (ha),- ,"1,402",- ,- ,- ,399,... ,- ,- 
OTE,,expl. (nº),"1,722","3,781","2,696","2,478","1,430","4,841","1,924","1,418","2,545"
,,SAU (ha),"21,474","27,955","37,061","34,418","4,890","26,203","11,181","14,731","22,836"
Cereais plantas olea./proteaginosas,,expl. (nº),22,6,30,5,1,2,11,3,- 
,,SAU (ha),500,37,440,17,... ,... ,42,53,- 
Culturas agrícolas diversas,,expl. (nº),30,16,48,121,10,49,202,6,22
,,SAU (ha),377,56,508,790,25,245,"1,004",51,104
Horticultura,,expl. (nº),1,10,1,3,3,17,14,- ,- 
,,SAU (ha),... ,34,... ,1,10,38,18,- ,- 
Viticultura,,expl. (nº),171,32,113,- ,525,119,24,44,8
,,SAU (ha),381,190,397,- ,"1,612",215,35,67,12
Fruticultura,,expl. (nº),68,68,84,25,57,592,54,84,531
,,SAU (ha),179,412,846,135,337,"3,818",363,405,"4,170"
Olivicultura,,expl. (nº),25,"1,485",449,- ,40,331,2,168,37
,,SAU (ha),113,"10,420","2,957",- ,99,"1,850",... ,761,87
Culturas permanentes diversas,,expl. (nº),249,"1,240",749,8,349,"1,668",56,394,494
,,SAU (ha),"1,365","9,723","7,153",32,"1,333","9,483",288,"2,666","3,075"
Bovinos de leite,,expl. (nº),79,1,146,34,4,19,152,9,8
,,SAU (ha),"2,204",... ,"4,851",818,27,308,"2,021",400,233
Bovinos para gado/carne,,expl. (nº),55,3,21,605,10,7,217,25,20
,,SAU (ha),"1,721",9,608,"8,731",24,28,"1,295",883,195
Bovinos para leite/gado/carne,,expl. (nº),28,- ,35,35,- ,4,51,4,5
,,SAU (ha),810,- ,919,540,- ,74,371,236,83
Ovinos/caprinos/out. herbívoros,,expl. (nº),216,125,243,553,71,148,284,97,157
